날짜,종가,시가,고가,저가,거래량
2020.09.11,"5,100","5,080","5,120","5,070","386,217"
2020.09.10,"5,110","5,110","5,150","5,100","1,200,660"
2020.09.09,"5,080","5,060","5,120","5,050","1,152,343"
2020.09.08,"5,110","5,130","5,160","5,100","1,167,086"
2020.09.07,"5,110","5,140","5,150","5,100","810,794"
2020.09.04,"5,140","5,110","5,140","5,090","1,207,679"
2020.09.03,"5,200","5,220","5,250","5,150","886,233"
2020.09.02,"5,200","5,180","5,230","5,140","1,136,773"
2020.09.01,"5,140","5,080","5,160","5,070","1,186,841"
2020.08.31,"5,080","5,200","5,250","5,080","1,836,918"
2020.08.28,"5,190","5,230","5,270","5,160","1,124,376"
2020.08.27,"5,200","5,250","5,250","5,160","789,553"
2020.08.26,"5,300","5,260","5,300","5,140","1,121,356"
2020.08.25,"5,290","5,200","5,290","5,140","1,286,540"
2020.08.24,"5,120","5,130","5,140","5,060","871,730"
2020.08.21,"5,130","5,110","5,180","5,110","992,379"
2020.08.20,"5,100","5,320","5,320","5,100","1,589,009"
2020.08.19,"5,360","5,350","5,500","5,340","1,045,085"
2020.08.18,"5,380","5,450","5,460","5,320","1,809,183"
2020.08.14,"5,470","5,500","5,510","5,370","1,895,327"
2020.08.13,"5,520","5,530","5,570","5,450","1,818,052"
2020.08.12,"5,500","5,440","5,500","5,320","1,771,575"
2020.08.11,"5,400","5,360","5,450","5,300","2,373,604"
2020.08.10,"5,290","5,160","5,320","5,140","2,034,241"
2020.08.07,"5,160","5,240","5,240","5,120","1,257,789"
2020.08.06,"5,240","5,150","5,280","5,110","1,539,785"
2020.08.05,"5,130","5,160","5,190","5,100","867,305"
2020.08.04,"5,160","5,070","5,170","5,070","1,069,101"
2020.08.03,"5,070","5,130","5,140","5,060","1,243,431"
2020.07.31,"5,140","5,230","5,260","5,120","1,128,034"
2020.07.30,"5,240","5,300","5,340","5,200","1,035,199"
2020.07.29,"5,270","5,090","5,280","5,070","1,803,374"
2020.07.28,"5,120","5,130","5,200","5,110","1,342,177"
2020.07.27,"5,090","5,060","5,150","5,060","659,206"
2020.07.24,"5,080","5,110","5,150","5,080","752,036"
2020.07.23,"5,140","5,160","5,190","5,100","900,000"
2020.07.22,"5,170","5,240","5,340","5,170","1,146,120"
2020.07.21,"5,210","5,210","5,260","5,170","909,152"
2020.07.20,"5,190","5,170","5,230","5,110","802,415"
2020.07.17,"5,180","5,200","5,270","5,180","609,650"
2020.07.16,"5,210","5,160","5,250","5,150","805,748"
2020.07.15,"5,160","5,170","5,270","5,100","1,334,311"
2020.07.14,"5,130","5,090","5,130","5,060","780,546"
2020.07.13,"5,130","5,100","5,170","5,030","735,744"
2020.07.10,"5,030","5,150","5,180","5,010","971,176"
2020.07.09,"5,160","5,160","5,210","5,140","1,008,602"
2020.07.08,"5,150","5,130","5,160","5,060","1,138,060"
2020.07.07,"5,060","5,280","5,290","5,060","1,690,154"
2020.07.06,"5,230","5,180","5,270","5,070","1,093,727"
2020.07.03,"5,150","5,170","5,190","5,100","422,143"
