날짜,종가,시가,고가,저가,거래량
2020.09.11,"127,800","129,500","130,800","127,500","56,554"
2020.09.10,"130,000","128,900","131,000","126,800","142,481"
2020.09.09,"125,700","127,200","127,400","125,400","114,331"
2020.09.08,"128,400","130,000","130,900","126,400","110,634"
2020.09.07,"128,200","132,800","133,000","128,100","180,728"
2020.09.04,"131,500","131,200","133,700","130,200","275,287"
2020.09.03,"135,700","128,500","138,200","127,600","448,816"
2020.09.02,"126,200","125,800","127,500","124,500","127,656"
2020.09.01,"124,400","121,300","124,600","121,100","165,973"
2020.08.31,"118,700","118,900","121,500","118,700","131,899"
2020.08.28,"118,100","120,300","121,400","117,500","114,817"
2020.08.27,"118,000","121,900","121,900","118,000","142,667"
2020.08.26,"121,600","122,300","124,200","120,200","110,258"
2020.08.25,"124,400","120,600","125,300","120,300","95,457"
2020.08.24,"120,000","119,500","120,000","115,700","106,881"
2020.08.21,"120,200","120,500","122,200","118,900","110,661"
2020.08.20,"119,700","126,100","126,100","119,500","165,715"
2020.08.19,"126,400","123,400","128,600","122,400","177,476"
2020.08.18,"122,000","130,600","130,600","120,500","301,898"
2020.08.14,"133,600","133,300","136,500","129,300","219,952"
2020.08.13,"133,000","131,300","136,900","129,900","416,807"
2020.08.12,"129,500","126,100","129,500","123,100","252,375"
2020.08.11,"126,000","125,400","128,900","123,900","297,560"
2020.08.10,"123,900","122,600","125,500","121,700","203,390"
2020.08.07,"121,300","123,900","124,100","120,700","235,651"
2020.08.06,"122,200","118,300","122,500","117,100","288,733"
2020.08.05,"116,800","114,800","116,800","114,700","95,484"
2020.08.04,"114,700","112,600","115,500","112,500","79,416"
2020.08.03,"112,500","114,600","114,700","112,500","107,426"
2020.07.31,"115,100","116,700","116,800","114,500","97,701"
2020.07.30,"117,000","117,900","117,900","116,100","52,876"
2020.07.29,"117,200","117,900","118,000","116,000","84,824"
2020.07.28,"116,500","115,800","117,400","114,900","93,709"
2020.07.27,"116,000","115,300","118,100","114,200","69,541"
2020.07.24,"116,000","116,800","117,200","115,200","74,209"
2020.07.23,"117,500","119,200","119,200","116,100","121,389"
2020.07.22,"119,300","120,500","121,500","118,800","75,789"
2020.07.21,"120,400","119,900","122,400","119,700","80,145"
2020.07.20,"119,000","120,500","121,800","118,700","92,689"
2020.07.17,"120,600","120,800","122,700","120,400","66,114"
2020.07.16,"120,800","122,700","124,100","120,100","96,099"
2020.07.15,"122,700","126,400","127,300","122,200","96,949"
2020.07.14,"124,400","124,100","126,200","121,100","120,813"
2020.07.13,"125,000","126,500","127,000","124,000","106,328"
2020.07.10,"125,900","129,000","129,700","124,600","198,974"
2020.07.09,"128,300","126,600","129,900","125,300","364,585"
2020.07.08,"123,200","116,000","123,900","115,500","418,362"
2020.07.07,"115,000","117,800","117,800","113,900","86,051"
2020.07.06,"115,400","114,000","115,400","112,200","86,675"
2020.07.03,"113,700","112,200","116,500","111,300","114,660"
