날짜,종가,시가,고가,저가,거래량
2020.09.11,"81,400","81,500","81,800","81,100","29,073"
2020.09.10,"81,500","82,200","82,300","81,500","95,378"
2020.09.09,"82,300","81,200","82,300","81,000","67,049"
2020.09.08,"82,000","82,700","83,100","81,900","68,209"
2020.09.07,"82,000","82,100","82,600","81,500","62,056"
2020.09.04,"82,600","81,000","83,600","80,900","93,026"
2020.09.03,"82,400","83,600","84,000","82,300","63,421"
2020.09.02,"83,500","82,300","83,500","82,000","66,827"
2020.09.01,"82,200","81,100","82,300","81,100","65,991"
2020.08.31,"81,000","83,000","85,900","81,000","134,185"
2020.08.28,"82,300","82,500","83,400","81,600","71,899"
2020.08.27,"82,300","83,400","83,400","81,800","75,136"
2020.08.26,"83,400","84,500","84,500","82,100","69,713"
2020.08.25,"84,600","81,900","85,000","81,600","83,910"
2020.08.24,"81,200","82,200","82,800","80,800","74,105"
2020.08.21,"82,200","82,300","83,300","81,300","75,113"
2020.08.20,"82,000","85,700","86,300","81,700","129,346"
2020.08.19,"86,100","86,100","88,200","85,800","85,211"
2020.08.18,"86,100","89,300","91,700","85,200","168,713"
2020.08.14,"89,200","91,200","93,800","88,800","147,090"
2020.08.13,"91,600","90,400","93,100","89,900","236,544"
2020.08.12,"91,100","84,200","94,200","84,200","592,982"
2020.08.11,"83,500","82,400","83,600","82,300","111,301"
2020.08.10,"82,400","81,900","82,800","81,500","92,018"
2020.08.07,"82,200","83,800","83,800","81,500","95,973"
2020.08.06,"83,700","83,600","85,100","83,500","75,398"
2020.08.05,"83,500","83,200","84,100","83,000","49,842"
2020.08.04,"83,800","81,500","83,800","81,500","86,350"
2020.08.03,"81,400","81,900","82,800","81,400","80,314"
2020.07.31,"82,400","82,100","82,600","81,600","61,384"
2020.07.30,"82,200","81,700","82,900","81,300","67,461"
2020.07.29,"81,800","82,100","83,200","81,500","99,533"
2020.07.28,"82,900","84,100","84,700","82,500","115,831"
2020.07.27,"84,100","85,200","85,700","84,100","48,223"
2020.07.24,"85,200","84,600","85,800","84,300","50,128"
2020.07.23,"85,000","86,600","86,600","84,600","94,279"
2020.07.22,"86,500","86,800","88,100","86,500","64,980"
2020.07.21,"87,200","87,600","88,500","87,200","85,155"
2020.07.20,"88,000","87,500","88,600","86,900","45,787"
2020.07.17,"87,800","88,100","89,600","87,600","37,011"
2020.07.16,"88,200","88,200","90,100","88,000","52,096"
2020.07.15,"88,900","89,900","90,700","87,800","77,113"
2020.07.14,"88,900","88,200","89,300","88,100","43,572"
2020.07.13,"88,700","87,300","88,800","86,800","33,797"
2020.07.10,"87,100","88,500","88,800","86,400","68,243"
2020.07.09,"88,400","87,700","89,100","87,700","83,498"
2020.07.08,"87,600","90,000","90,400","87,600","76,690"
2020.07.07,"90,100","91,600","91,600","90,100","51,881"
2020.07.06,"91,100","90,400","91,500","89,100","60,943"
2020.07.03,"90,500","91,800","91,900","89,900","48,696"
