날짜,종가,시가,고가,저가,거래량
2020.09.11,"44,400","43,550","44,450","43,500","47,378"
2020.09.10,"44,000","44,300","44,950","44,000","160,565"
2020.09.09,"44,650","43,950","44,800","43,450","167,463"
2020.09.08,"44,000","43,650","44,400","43,650","169,455"
2020.09.07,"43,700","43,550","44,450","43,100","137,730"
2020.09.04,"43,550","43,950","44,300","43,250","216,986"
2020.09.03,"44,400","45,450","45,450","44,300","205,937"
2020.09.02,"45,450","45,500","45,500","44,500","127,241"
2020.09.01,"45,100","43,700","45,100","43,700","170,612"
2020.08.31,"43,650","44,400","45,050","43,600","241,323"
2020.08.28,"44,350","44,800","45,050","44,150","108,596"
2020.08.27,"44,500","44,800","44,900","44,350","206,057"
2020.08.26,"44,950","45,500","45,700","44,600","155,012"
2020.08.25,"45,700","45,050","45,700","44,650","135,809"
2020.08.24,"44,850","45,200","45,750","43,900","138,049"
2020.08.21,"45,200","45,550","46,350","45,100","130,393"
2020.08.20,"45,100","47,250","47,500","45,000","270,688"
2020.08.19,"48,050","45,900","48,300","45,500","264,669"
2020.08.18,"45,900","48,850","49,850","45,350","333,794"
2020.08.14,"48,500","50,000","50,000","47,550","267,759"
2020.08.13,"49,300","50,700","52,000","48,600","739,824"
2020.08.12,"49,450","48,350","49,750","48,050","269,993"
2020.08.11,"48,700","44,250","48,900","44,100","473,612"
2020.08.10,"44,350","45,250","45,500","44,050","248,638"
2020.08.07,"45,600","46,150","46,450","45,100","149,719"
2020.08.06,"46,300","45,550","46,600","45,500","140,465"
2020.08.05,"45,700","45,850","46,100","45,450","97,204"
2020.08.04,"46,150","45,700","47,200","45,550","158,271"
2020.08.03,"45,700","47,200","47,200","45,700","149,544"
2020.07.31,"47,100","46,600","47,100","46,050","145,191"
2020.07.30,"46,600","46,050","47,150","46,050","74,965"
2020.07.29,"46,500","45,800","46,950","45,300","108,069"
2020.07.28,"46,600","46,200","47,400","45,500","152,647"
2020.07.27,"46,100","45,750","46,900","45,600","103,933"
2020.07.24,"45,800","45,750","46,250","45,150","84,921"
2020.07.23,"45,900","46,600","46,850","45,750","138,491"
2020.07.22,"46,950","46,350","47,700","46,350","128,670"
2020.07.21,"47,000","46,450","47,000","45,800","195,193"
2020.07.20,"46,450","47,750","47,950","46,400","155,387"
2020.07.17,"47,950","49,300","49,850","47,550","152,293"
2020.07.16,"49,150","47,600","50,100","47,500","295,716"
2020.07.15,"47,950","48,300","48,950","47,950","159,790"
2020.07.14,"47,900","46,400","48,450","46,050","157,441"
2020.07.13,"46,900","45,550","47,350","45,450","131,431"
2020.07.10,"45,500","46,850","47,050","45,500","157,252"
2020.07.09,"46,900","46,650","47,850","46,600","176,755"
2020.07.08,"46,400","46,300","46,900","46,000","171,782"
2020.07.07,"45,650","47,400","47,400","45,650","149,000"
2020.07.06,"46,100","45,950","46,250","44,750","95,722"
2020.07.03,"45,300","45,450","45,950","44,750","70,257"
