날짜,종가,시가,고가,저가,거래량
2020.09.11,"12,250","12,150","12,350","12,100","113,141"
2020.09.10,"12,200","12,300","12,350","12,150","405,170"
2020.09.09,"12,200","12,150","12,300","12,100","329,823"
2020.09.08,"12,350","12,200","12,500","12,150","319,786"
2020.09.07,"12,150","12,200","12,250","12,050","378,149"
2020.09.04,"12,200","11,850","12,250","11,850","280,122"
2020.09.03,"12,250","12,250","12,350","12,200","236,170"
2020.09.02,"12,250","12,150","12,450","12,050","301,871"
2020.09.01,"12,100","11,800","12,150","11,800","300,898"
2020.08.31,"11,850","11,950","12,100","11,800","404,125"
2020.08.28,"11,850","11,850","12,000","11,800","242,910"
2020.08.27,"11,800","12,150","12,150","11,700","469,438"
2020.08.26,"12,150","12,350","12,350","12,050","221,070"
2020.08.25,"12,400","12,300","12,450","12,150","251,922"
2020.08.24,"12,100","12,250","12,250","11,850","347,213"
2020.08.21,"12,300","12,100","12,400","12,100","220,746"
2020.08.20,"12,050","12,650","12,700","12,050","662,579"
2020.08.19,"12,700","12,600","12,850","12,550","327,300"
2020.08.18,"12,650","13,400","13,600","12,600","997,795"
2020.08.14,"13,950","13,950","14,200","13,700","765,788"
2020.08.13,"13,800","13,750","14,000","13,550","748,989"
2020.08.12,"13,800","13,250","14,000","13,000","2,283,315"
2020.08.11,"13,100","13,050","13,100","12,900","533,706"
2020.08.10,"12,950","13,050","13,100","12,750","351,071"
2020.08.07,"13,050","12,900","13,500","12,900","943,678"
2020.08.06,"12,850","12,700","12,950","12,600","298,349"
2020.08.05,"12,700","12,650","12,900","12,550","278,285"
2020.08.04,"12,650","12,600","12,750","12,550","261,575"
2020.08.03,"12,600","12,800","12,800","12,500","286,453"
2020.07.31,"12,750","13,000","13,100","12,700","365,204"
2020.07.30,"13,000","12,750","13,250","12,700","584,061"
2020.07.29,"12,750","12,700","12,900","12,600","376,396"
2020.07.28,"12,700","12,750","12,800","12,600","371,854"
2020.07.27,"12,700","12,900","13,000","12,700","297,892"
2020.07.24,"12,900","12,850","13,000","12,750","205,673"
2020.07.23,"12,900","13,100","13,100","12,850","296,731"
2020.07.22,"13,200","13,250","13,350","13,100","275,020"
2020.07.21,"13,200","13,000","13,300","12,900","419,424"
2020.07.20,"13,000","13,150","13,200","12,900","250,990"
2020.07.17,"12,950","13,200","13,250","12,850","307,707"
2020.07.16,"13,150","13,050","13,350","13,000","849,256"
2020.07.15,"13,050","12,950","13,100","12,700","672,260"
2020.07.14,"12,600","12,600","12,650","12,350","396,891"
2020.07.13,"12,650","12,450","12,750","12,400","311,691"
2020.07.10,"12,350","12,550","12,550","12,250","350,881"
2020.07.09,"12,600","12,750","12,750","12,550","313,278"
2020.07.08,"12,750","12,600","12,850","12,600","394,210"
2020.07.07,"12,600","12,750","12,850","12,500","460,055"
2020.07.06,"12,600","12,700","12,700","12,500","393,776"
2020.07.03,"12,700","12,800","12,900","12,550","543,002"
