날짜,종가,시가,고가,저가,거래량
2020.09.11,"33,000","32,900","33,200","32,850","103,768"
2020.09.10,"33,000","33,300","33,550","33,000","249,415"
2020.09.09,"33,150","33,250","33,250","32,900","292,143"
2020.09.08,"33,650","33,500","34,450","33,400","278,772"
2020.09.07,"33,500","33,350","33,650","33,050","203,592"
2020.09.04,"33,450","32,800","33,650","32,750","350,177"
2020.09.03,"33,500","33,500","34,050","33,150","339,095"
2020.09.02,"33,650","32,700","33,650","32,700","264,978"
2020.09.01,"32,650","32,550","32,800","32,400","213,176"
2020.08.31,"32,500","33,300","33,600","32,500","414,193"
2020.08.28,"33,250","33,000","33,500","32,850","216,242"
2020.08.27,"32,850","33,300","33,350","32,700","291,530"
2020.08.26,"33,200","33,250","33,250","32,600","255,479"
2020.08.25,"33,200","32,800","33,250","32,750","411,729"
2020.08.24,"32,500","32,650","32,800","32,250","333,247"
2020.08.21,"32,900","33,000","33,400","32,600","393,710"
2020.08.20,"33,000","34,450","34,550","33,000","538,532"
2020.08.19,"34,850","34,650","35,000","34,450","291,927"
2020.08.18,"34,550","35,950","35,950","34,500","501,111"
2020.08.14,"35,950","36,100","36,100","35,400","372,956"
2020.08.13,"35,850","36,450","36,800","35,850","480,465"
2020.08.12,"36,150","35,400","36,450","35,350","568,532"
2020.08.11,"35,500","35,000","35,700","34,950","697,120"
2020.08.10,"35,000","35,400","35,450","34,700","552,855"
2020.08.07,"35,600","35,300","36,150","35,100","480,115"
2020.08.06,"35,300","35,250","35,950","35,050","450,476"
2020.08.05,"35,250","34,850","35,350","34,550","362,971"
2020.08.04,"34,800","34,300","34,800","34,150","219,579"
2020.08.03,"34,300","35,000","35,000","34,250","217,390"
2020.07.31,"35,000","35,350","35,450","34,900","194,384"
2020.07.30,"35,450","35,150","35,450","34,950","199,280"
2020.07.29,"35,100","34,850","35,500","34,650","222,619"
2020.07.28,"34,900","35,150","35,300","34,850","314,826"
2020.07.27,"35,050","35,350","35,550","35,050","226,297"
2020.07.24,"35,350","35,550","35,700","35,300","137,268"
2020.07.23,"35,700","36,100","36,250","35,400","249,040"
2020.07.22,"36,100","36,400","37,200","36,100","339,316"
2020.07.21,"35,900","35,700","36,200","35,650","195,232"
2020.07.20,"35,600","36,000","36,000","35,500","172,761"
2020.07.17,"36,000","36,100","36,150","35,800","115,194"
2020.07.16,"35,900","35,900","36,150","35,700","169,712"
2020.07.15,"35,750","36,100","36,500","35,550","242,530"
2020.07.14,"35,800","35,450","35,800","35,350","110,319"
2020.07.13,"35,850","35,300","35,900","35,000","188,498"
2020.07.10,"35,000","36,150","36,150","34,950","299,791"
2020.07.09,"36,150","36,700","36,700","36,150","212,654"
2020.07.08,"36,650","36,700","36,950","36,400","160,029"
2020.07.07,"36,750","37,400","37,550","36,750","214,800"
2020.07.06,"37,000","37,000","37,200","36,400","148,789"
2020.07.03,"36,950","37,200","37,500","36,600","180,077"
