날짜,종가,시가,고가,저가,거래량
2020.09.11,"32,350","32,350","32,750","32,300","99,189"
2020.09.10,"32,500","33,050","33,150","32,500","267,846"
2020.09.09,"32,700","32,550","33,050","32,500","185,455"
2020.09.08,"33,000","32,950","33,700","32,950","337,384"
2020.09.07,"32,950","32,550","33,100","32,300","285,038"
2020.09.04,"32,300","31,800","32,400","31,650","265,876"
2020.09.03,"32,850","33,150","33,150","32,600","327,672"
2020.09.02,"33,200","34,250","34,250","33,150","315,397"
2020.09.01,"33,650","33,900","34,100","33,050","479,440"
2020.08.31,"32,950","33,200","34,550","32,700","955,271"
2020.08.28,"31,950","31,650","32,200","31,450","218,768"
2020.08.27,"31,700","31,950","32,250","31,600","248,839"
2020.08.26,"32,250","33,000","33,000","32,000","297,515"
2020.08.25,"33,000","32,550","33,000","32,300","164,683"
2020.08.24,"32,300","32,000","33,100","31,400","309,962"
2020.08.21,"31,600","32,100","32,150","31,200","390,758"
2020.08.20,"32,050","33,400","33,500","31,900","372,691"
2020.08.19,"34,000","32,900","34,100","32,800","515,822"
2020.08.18,"32,750","35,000","35,000","32,750","623,963"
2020.08.14,"35,150","35,000","35,300","34,600","327,614"
2020.08.13,"34,650","35,050","35,350","34,650","341,642"
2020.08.12,"34,950","33,900","35,000","33,600","457,460"
2020.08.11,"33,850","33,350","34,000","33,250","257,531"
2020.08.10,"33,350","33,700","33,750","33,200","372,265"
2020.08.07,"33,900","34,150","34,200","33,500","412,366"
2020.08.06,"34,800","34,600","35,250","34,450","269,480"
2020.08.05,"34,450","34,150","34,600","34,000","181,983"
2020.08.04,"34,250","33,850","34,600","33,850","213,971"
2020.08.03,"33,750","34,050","34,300","33,700","193,762"
2020.07.31,"34,350","34,550","34,850","34,000","323,383"
2020.07.30,"34,650","34,900","35,000","34,600","149,030"
2020.07.29,"34,900","34,450","35,400","34,250","226,371"
2020.07.28,"34,550","34,600","35,000","34,400","202,961"
2020.07.27,"34,700","35,200","35,500","34,700","238,335"
2020.07.24,"35,250","35,000","35,250","34,750","143,004"
2020.07.23,"35,250","35,800","35,850","35,100","275,878"
2020.07.22,"36,000","36,200","36,250","35,800","218,576"
2020.07.21,"36,250","36,600","36,800","36,200","266,262"
2020.07.20,"36,650","36,700","36,950","36,500","120,008"
2020.07.17,"36,700","36,500","36,850","36,500","114,075"
2020.07.16,"36,850","37,000","37,000","36,500","106,273"
2020.07.15,"36,800","37,350","37,500","36,800","188,945"
2020.07.14,"37,100","37,000","37,700","36,550","206,182"
2020.07.13,"36,900","36,650","36,900","36,350","97,230"
2020.07.10,"36,600","36,800","37,300","36,150","163,637"
2020.07.09,"36,850","37,450","37,850","36,850","223,822"
2020.07.08,"37,750","37,450","37,750","37,000","188,851"
2020.07.07,"37,500","36,300","37,950","36,250","439,113"
2020.07.06,"36,250","37,300","37,300","36,150","301,885"
2020.07.03,"37,000","36,850","37,100","36,550","155,180"
