날짜,종가,시가,고가,저가,거래량
2020.09.11,"37,100","37,250","37,550","37,000","885,765"
2020.09.10,"37,550","37,600","38,050","37,550","1,649,298"
2020.09.09,"37,500","37,150","37,750","37,050","1,325,683"
2020.09.08,"37,800","38,500","39,150","37,800","1,861,721"
2020.09.07,"38,250","37,250","38,500","37,000","2,246,561"
2020.09.04,"36,950","36,500","37,050","36,500","1,622,570"
2020.09.03,"37,400","38,000","38,300","37,300","1,493,906"
2020.09.02,"37,700","37,400","37,700","37,050","1,363,294"
2020.09.01,"37,400","36,650","37,600","36,550","1,747,651"
2020.08.31,"36,850","38,150","38,300","36,850","3,473,865"
2020.08.28,"38,000","37,350","38,800","37,200","3,094,558"
2020.08.27,"36,950","36,850","37,000","36,500","1,518,005"
2020.08.26,"37,100","37,650","37,850","36,800","2,118,673"
2020.08.25,"37,950","37,500","38,100","37,400","1,577,837"
2020.08.24,"36,950","36,700","37,100","36,250","1,254,718"
2020.08.21,"36,750","36,800","37,200","36,300","1,682,480"
2020.08.20,"36,450","38,100","38,100","36,300","2,376,891"
2020.08.19,"38,000","38,300","38,900","38,000","1,283,988"
2020.08.18,"38,150","39,800","39,850","38,050","2,848,865"
2020.08.14,"39,800","40,850","41,000","39,750","2,859,261"
2020.08.13,"41,500","40,050","41,500","39,700","4,253,152"
2020.08.12,"40,350","39,900","40,500","38,550","5,024,954"
2020.08.11,"38,800","38,000","39,000","37,600","4,668,361"
2020.08.10,"37,150","36,700","37,200","36,400","2,482,203"
2020.08.07,"36,150","36,700","36,700","35,800","1,831,365"
2020.08.06,"36,550","35,700","37,100","35,650","3,369,375"
2020.08.05,"35,500","35,500","35,650","35,250","1,272,456"
2020.08.04,"35,500","35,250","35,750","35,250","1,345,023"
2020.08.03,"35,250","35,350","35,600","35,050","1,056,472"
2020.07.31,"35,250","35,850","35,900","35,250","1,893,355"
2020.07.30,"35,950","36,550","36,850","35,750","1,773,544"
2020.07.29,"36,200","35,400","36,350","35,350","1,543,911"
2020.07.28,"35,700","35,500","36,100","35,250","1,739,731"
2020.07.27,"35,450","35,100","35,950","34,950","1,154,928"
2020.07.24,"35,400","35,450","35,800","35,150","1,583,429"
2020.07.23,"35,850","36,200","36,200","35,350","1,829,737"
2020.07.22,"36,200","37,400","37,950","36,150","3,174,680"
2020.07.21,"36,700","36,950","37,350","36,200","2,060,791"
2020.07.20,"36,900","35,600","37,000","35,300","2,428,100"
2020.07.17,"35,650","35,950","36,400","35,400","1,595,399"
2020.07.16,"35,950","36,000","36,550","35,650","1,721,130"
2020.07.15,"35,650","35,250","36,450","35,200","2,786,466"
2020.07.14,"35,100","35,200","35,350","34,850","973,577"
2020.07.13,"35,350","34,500","35,450","34,150","1,765,624"
2020.07.10,"33,950","34,650","34,650","33,950","1,914,633"
2020.07.09,"34,700","35,000","35,050","34,650","1,962,294"
2020.07.08,"35,050","35,750","35,750","35,000","1,613,501"
2020.07.07,"35,800","35,900","36,100","35,300","1,837,584"
2020.07.06,"35,750","34,850","35,750","34,500","2,081,699"
2020.07.03,"34,800","34,750","35,000","34,500","1,032,764"
