날짜,종가,시가,고가,저가,거래량
2020.09.11,"84,500","83,200","84,600","83,200","170,269"
2020.09.10,"83,700","84,000","84,500","83,500","438,009"
2020.09.09,"84,100","83,700","85,000","83,100","388,876"
2020.09.08,"84,200","83,000","85,000","83,000","369,415"
2020.09.07,"83,000","82,500","83,500","82,200","320,690"
2020.09.04,"82,700","82,900","83,300","82,200","401,566"
2020.09.03,"83,600","84,200","84,900","83,500","410,587"
2020.09.02,"84,700","84,400","84,900","83,700","306,320"
2020.09.01,"84,200","82,900","85,200","82,700","490,720"
2020.08.31,"83,100","84,800","85,300","83,100","611,585"
2020.08.28,"84,800","85,400","85,400","83,800","482,447"
2020.08.27,"85,200","85,400","86,200","84,600","401,985"
2020.08.26,"85,400","84,900","86,000","84,300","370,504"
2020.08.25,"85,400","84,900","86,000","84,300","335,795"
2020.08.24,"85,100","84,000","85,300","83,400","340,614"
2020.08.21,"84,200","83,400","85,200","83,000","382,680"
2020.08.20,"83,100","84,700","85,400","83,000","583,720"
2020.08.19,"85,800","85,100","86,700","84,700","301,404"
2020.08.18,"85,400","88,100","88,100","84,800","553,417"
2020.08.14,"88,100","88,000","88,700","87,000","398,445"
2020.08.13,"88,000","87,700","89,500","87,500","650,555"
2020.08.12,"88,300","87,700","88,400","86,700","562,328"
2020.08.11,"88,100","85,500","89,100","85,500","719,614"
2020.08.10,"86,200","85,400","87,000","84,500","526,803"
2020.08.07,"86,300","86,500","87,100","83,600","960,954"
2020.08.06,"86,000","81,600","86,300","80,600","1,395,915"
2020.08.05,"80,100","79,800","80,400","79,700","394,896"
2020.08.04,"80,000","79,500","80,500","79,500","299,120"
2020.08.03,"79,800","80,900","81,000","79,700","442,146"
2020.07.31,"80,900","82,100","82,500","80,700","376,445"
2020.07.30,"82,100","81,100","82,400","81,000","281,870"
2020.07.29,"81,200","80,900","81,600","80,300","222,110"
2020.07.28,"81,200","80,400","81,500","80,400","286,483"
2020.07.27,"80,600","80,100","81,600","80,100","242,690"
2020.07.24,"80,400","80,100","81,400","80,000","304,253"
2020.07.23,"80,800","81,800","81,900","80,600","381,136"
2020.07.22,"81,800","82,100","83,800","81,700","375,696"
2020.07.21,"82,300","82,800","83,400","82,300","319,485"
2020.07.20,"83,100","82,900","83,500","81,800","293,503"
2020.07.17,"82,400","83,300","84,000","82,200","275,081"
2020.07.16,"83,700","81,400","84,100","81,100","671,017"
2020.07.15,"80,700","80,800","81,000","80,200","428,085"
2020.07.14,"80,500","78,700","80,500","78,600","340,521"
2020.07.13,"79,000","78,400","79,400","77,800","300,756"
2020.07.10,"77,800","78,600","78,600","77,700","352,754"
2020.07.09,"78,600","79,500","79,600","78,600","389,124"
2020.07.08,"79,500","79,700","79,700","78,700","311,324"
2020.07.07,"79,200","79,900","80,500","78,500","468,900"
2020.07.06,"79,900","80,600","80,600","79,300","239,282"
2020.07.03,"79,800","79,300","80,900","79,200","279,821"
