날짜,종가,시가,고가,저가,거래량
2020.09.11,"23,300","23,300","23,450","23,250","491,016"
2020.09.10,"23,250","23,500","23,550","23,250","1,422,767"
2020.09.09,"23,350","23,450","23,550","23,350","951,491"
2020.09.08,"23,650","23,600","23,850","23,550","838,018"
2020.09.07,"23,550","23,450","23,600","23,350","761,462"
2020.09.04,"23,500","23,450","23,550","23,400","969,573"
2020.09.03,"23,800","23,900","23,900","23,750","650,207"
2020.09.02,"23,850","23,800","23,900","23,650","1,052,376"
2020.09.01,"23,800","23,800","23,950","23,750","898,243"
2020.08.31,"23,900","23,900","24,100","23,750","1,181,214"
2020.08.28,"23,750","23,800","23,850","23,650","912,553"
2020.08.27,"23,800","24,000","24,050","23,650","1,153,732"
2020.08.26,"24,000","24,450","24,450","23,900","1,039,045"
2020.08.25,"24,300","24,050","24,450","23,900","1,018,821"
2020.08.24,"23,900","23,950","24,050","23,700","934,061"
2020.08.21,"23,900","23,650","24,200","23,650","1,263,928"
2020.08.20,"23,650","24,300","24,350","23,650","1,676,593"
2020.08.19,"24,400","24,450","24,750","24,400","794,141"
2020.08.18,"24,400","25,250","25,300","24,300","2,040,007"
2020.08.14,"25,350","25,550","25,800","25,250","1,163,616"
2020.08.13,"25,500","25,750","25,900","25,350","1,893,949"
2020.08.12,"25,600","24,800","25,850","24,500","3,065,716"
2020.08.11,"24,750","24,750","24,850","24,550","2,002,443"
2020.08.10,"24,450","23,950","24,600","23,900","2,047,371"
2020.08.07,"23,850","23,800","23,950","23,650","1,180,577"
2020.08.06,"23,800","23,700","23,850","23,600","1,264,301"
2020.08.05,"23,700","23,750","23,950","23,600","989,341"
2020.08.04,"23,750","23,600","23,900","23,500","773,606"
2020.08.03,"23,600","24,000","24,000","23,550","766,693"
2020.07.31,"23,800","23,800","24,000","23,700","707,167"
2020.07.30,"23,800","23,900","24,000","23,750","797,423"
2020.07.29,"23,850","23,600","24,000","23,500","820,778"
2020.07.28,"23,700","23,800","23,950","23,650","894,018"
2020.07.27,"23,600","23,550","23,750","23,550","663,557"
2020.07.24,"23,650","23,700","23,850","23,600","708,548"
2020.07.23,"23,850","24,150","24,150","23,800","983,940"
2020.07.22,"24,100","24,150","24,250","24,050","735,029"
2020.07.21,"24,100","24,200","24,350","24,100","833,055"
2020.07.20,"24,150","24,350","24,500","24,050","758,518"
2020.07.17,"24,300","24,500","24,700","24,250","576,148"
2020.07.16,"24,450","24,700","24,700","24,400","908,630"
2020.07.15,"24,700","24,750","24,950","24,550","1,061,696"
2020.07.14,"24,600","24,250","24,750","24,200","1,166,434"
2020.07.13,"24,350","24,200","24,400","23,950","879,676"
2020.07.10,"23,900","23,750","24,150","23,550","1,096,378"
2020.07.09,"23,750","23,700","24,100","23,650","958,115"
2020.07.08,"23,600","23,850","24,050","23,600","1,093,324"
2020.07.07,"23,950","24,350","24,600","23,900","1,091,231"
2020.07.06,"24,250","24,350","24,450","24,000","779,570"
2020.07.03,"24,200","24,250","24,500","24,150","957,977"
