날짜,종가,시가,고가,저가,거래량
2020.09.11,"78,600","79,300","79,700","78,300","100,186"
2020.09.10,"79,700","80,100","80,800","79,500","388,054"
2020.09.09,"79,500","78,900","80,400","78,000","286,174"
2020.09.08,"79,500","80,000","80,400","79,200","230,927"
2020.09.07,"80,000","79,800","80,300","79,200","205,067"
2020.09.04,"80,100","80,600","81,400","79,800","360,976"
2020.09.03,"83,000","83,600","84,100","82,600","330,537"
2020.09.02,"83,300","83,300","84,700","82,500","297,160"
2020.09.01,"82,700","82,300","84,300","82,100","341,958"
2020.08.31,"82,700","84,900","85,800","82,700","469,671"
2020.08.28,"84,800","85,400","86,200","84,100","347,883"
2020.08.27,"85,300","87,700","87,700","84,700","295,849"
2020.08.26,"88,100","87,300","89,800","85,900","303,647"
2020.08.25,"87,800","87,600","88,400","86,000","289,524"
2020.08.24,"85,400","85,100","86,600","83,500","302,517"
2020.08.21,"85,800","80,000","87,000","79,900","548,515"
2020.08.20,"79,100","81,600","84,000","78,000","475,768"
2020.08.19,"82,700","82,300","84,700","82,200","237,344"
2020.08.18,"82,500","86,000","86,900","81,900","396,942"
2020.08.14,"86,000","89,700","89,700","85,200","438,723"
2020.08.13,"90,000","89,500","93,400","87,000","749,333"
2020.08.12,"88,600","86,700","88,900","83,400","604,173"
2020.08.11,"87,300","90,000","94,400","86,500","822,047"
2020.08.10,"90,000","85,100","90,200","84,000","546,654"
2020.08.07,"86,000","82,700","86,200","81,700","487,203"
2020.08.06,"82,600","82,000","83,200","81,300","339,434"
2020.08.05,"82,300","78,100","82,500","77,800","469,770"
2020.08.04,"78,200","75,000","79,700","75,000","550,498"
2020.08.03,"74,800","74,100","75,400","73,200","329,908"
2020.07.31,"74,000","73,400","74,400","72,000","359,103"
2020.07.30,"73,400","74,200","74,800","73,000","208,248"
2020.07.29,"74,200","74,200","75,600","74,000","335,786"
2020.07.28,"75,800","73,500","76,200","73,200","315,872"
2020.07.27,"74,300","72,600","74,600","72,400","289,475"
2020.07.24,"72,100","71,800","73,000","71,600","145,534"
2020.07.23,"72,600","72,800","73,100","71,500","249,194"
2020.07.22,"73,200","71,800","73,800","71,700","217,777"
2020.07.21,"72,200","71,600","73,000","71,500","308,056"
2020.07.20,"71,800","72,400","72,800","71,500","134,809"
2020.07.17,"72,200","74,000","74,000","72,100","166,315"
2020.07.16,"73,400","72,600","73,700","72,000","237,423"
2020.07.15,"73,600","72,700","73,800","71,700","344,404"
2020.07.14,"72,800","69,600","73,000","69,200","395,871"
2020.07.13,"70,200","68,000","70,200","67,500","288,151"
2020.07.10,"67,900","70,600","70,600","67,200","407,636"
2020.07.09,"70,100","69,300","70,200","68,500","352,074"
2020.07.08,"69,300","72,000","72,000","69,100","365,597"
2020.07.07,"71,300","72,300","72,300","71,200","471,517"
2020.07.06,"72,000","72,100","72,400","71,000","218,439"
2020.07.03,"71,800","72,100","72,800","71,100","240,876"
