날짜,종가,시가,고가,저가,거래량
2020.09.11,"16,450","16,350","16,750","16,200","1,941,988"
2020.09.10,"16,400","16,150","16,400","15,950","3,415,847"
2020.09.09,"15,950","15,700","16,400","15,500","4,984,989"
2020.09.08,"15,950","15,650","16,050","15,400","4,747,935"
2020.09.07,"15,500","14,950","15,750","14,850","7,013,744"
2020.09.04,"14,850","14,250","14,950","14,250","3,702,015"
2020.09.03,"14,850","15,000","15,100","14,650","2,704,839"
2020.09.02,"14,900","15,000","15,350","14,550","3,540,764"
2020.09.01,"14,900","14,600","14,950","14,550","2,362,025"
2020.08.31,"14,600","14,950","15,100","14,550","3,740,750"
2020.08.28,"14,850","15,150","15,600","14,800","5,436,465"
2020.08.27,"14,950","15,400","15,600","14,850","4,824,965"
2020.08.26,"15,350","15,100","15,800","14,850","8,143,707"
2020.08.25,"15,150","15,200","15,400","14,800","6,737,779"
2020.08.24,"15,100","13,650","15,200","13,500","16,215,702"
2020.08.21,"13,350","12,850","13,600","12,800","5,879,552"
2020.08.20,"12,550","12,850","13,050","12,500","2,943,718"
2020.08.19,"12,900","13,000","13,200","12,800","2,011,512"
2020.08.18,"13,000","13,700","13,750","12,850","4,192,002"
2020.08.14,"13,700","13,300","13,950","13,200","4,977,332"
2020.08.13,"13,250","13,450","13,900","13,150","6,314,005"
2020.08.12,"13,150","13,050","13,250","12,800","2,681,052"
2020.08.11,"13,150","13,200","13,350","12,900","3,378,387"
2020.08.10,"13,150","12,450","13,200","12,400","5,966,549"
2020.08.07,"12,400","12,650","12,700","12,350","1,510,924"
2020.08.06,"12,600","12,700","12,800","12,500","2,131,227"
2020.08.05,"12,450","12,500","12,500","12,300","1,424,761"
2020.08.04,"12,500","12,400","12,500","12,300","1,822,439"
2020.08.03,"12,400","12,650","12,650","12,300","1,518,351"
2020.07.31,"12,600","12,850","13,050","12,600","1,661,670"
2020.07.30,"12,800","12,650","12,850","12,550","2,070,225"
2020.07.29,"12,550","12,550","12,800","12,450","1,987,733"
2020.07.28,"12,400","12,400","12,550","12,250","2,331,110"
2020.07.27,"12,250","12,350","12,500","12,150","1,615,695"
2020.07.24,"12,350","12,800","12,950","12,350","3,005,545"
2020.07.23,"12,750","12,850","12,850","12,550","1,862,511"
2020.07.22,"12,900","13,150","13,300","12,850","2,733,250"
2020.07.21,"13,100","12,800","13,250","12,700","3,858,036"
2020.07.20,"12,650","12,650","12,650","12,450","1,151,788"
2020.07.17,"12,600","12,750","12,800","12,550","1,080,943"
2020.07.16,"12,750","12,750","12,850","12,600","1,438,333"
2020.07.15,"12,700","12,650","12,850","12,500","2,910,039"
2020.07.14,"12,450","12,400","12,450","12,200","1,560,728"
2020.07.13,"12,450","12,500","12,700","12,300","2,538,507"
2020.07.10,"12,200","12,300","12,300","11,950","2,029,556"
2020.07.09,"12,250","12,500","12,700","12,200","2,710,482"
2020.07.08,"12,250","12,300","12,600","12,200","2,348,815"
2020.07.07,"12,200","12,850","13,100","12,200","4,885,103"
2020.07.06,"12,800","11,750","12,900","11,650","6,978,606"
2020.07.03,"11,650","11,900","11,950","11,600","1,239,187"
