날짜,종가,시가,고가,저가,거래량
2020.09.11,"1,519,000","1,523,000","1,542,000","1,517,000","12,630"
2020.09.10,"1,527,000","1,511,000","1,539,000","1,496,000","34,347"
2020.09.09,"1,510,000","1,510,000","1,513,000","1,480,000","36,196"
2020.09.08,"1,493,000","1,478,000","1,493,000","1,465,000","22,557"
2020.09.07,"1,475,000","1,436,000","1,476,000","1,436,000","22,370"
2020.09.04,"1,453,000","1,482,000","1,483,000","1,445,000","32,181"
2020.09.03,"1,483,000","1,485,000","1,506,000","1,483,000","20,737"
2020.09.02,"1,499,000","1,510,000","1,513,000","1,480,000","25,102"
2020.09.01,"1,513,000","1,495,000","1,514,000","1,488,000","29,672"
2020.08.31,"1,473,000","1,509,000","1,525,000","1,473,000","36,969"
2020.08.28,"1,509,000","1,515,000","1,518,000","1,497,000","26,011"
2020.08.27,"1,499,000","1,500,000","1,516,000","1,497,000","21,958"
2020.08.26,"1,517,000","1,531,000","1,531,000","1,500,000","42,308"
2020.08.25,"1,539,000","1,544,000","1,556,000","1,536,000","19,954"
2020.08.24,"1,543,000","1,585,000","1,600,000","1,537,000","25,732"
2020.08.21,"1,563,000","1,506,000","1,596,000","1,506,000","36,757"
2020.08.20,"1,500,000","1,502,000","1,535,000","1,493,000","36,587"
2020.08.19,"1,519,000","1,475,000","1,544,000","1,472,000","33,302"
2020.08.18,"1,500,000","1,595,000","1,596,000","1,499,000","50,554"
2020.08.14,"1,565,000","1,572,000","1,593,000","1,543,000","26,191"
2020.08.13,"1,560,000","1,548,000","1,600,000","1,525,000","43,833"
2020.08.12,"1,548,000","1,569,000","1,596,000","1,541,000","34,961"
2020.08.11,"1,573,000","1,455,000","1,600,000","1,452,000","93,232"
2020.08.10,"1,445,000","1,411,000","1,446,000","1,405,000","36,558"
2020.08.07,"1,432,000","1,395,000","1,432,000","1,388,000","65,788"
2020.08.06,"1,385,000","1,385,000","1,390,000","1,367,000","26,783"
2020.08.05,"1,364,000","1,358,000","1,399,000","1,358,000","38,836"
2020.08.04,"1,354,000","1,350,000","1,368,000","1,343,000","27,230"
2020.08.03,"1,350,000","1,366,000","1,377,000","1,348,000","39,951"
2020.07.31,"1,371,000","1,400,000","1,400,000","1,370,000","27,006"
2020.07.30,"1,385,000","1,391,000","1,414,000","1,382,000","31,061"
2020.07.29,"1,390,000","1,341,000","1,397,000","1,340,000","56,276"
2020.07.28,"1,350,000","1,335,000","1,352,000","1,325,000","37,319"
2020.07.27,"1,346,000","1,323,000","1,348,000","1,317,000","24,832"
2020.07.24,"1,323,000","1,341,000","1,341,000","1,306,000","50,471"
2020.07.23,"1,341,000","1,384,000","1,414,000","1,325,000","100,071"
2020.07.22,"1,383,000","1,385,000","1,397,000","1,363,000","32,388"
2020.07.21,"1,385,000","1,319,000","1,400,000","1,316,000","77,971"
2020.07.20,"1,321,000","1,351,000","1,353,000","1,311,000","20,409"
2020.07.17,"1,345,000","1,357,000","1,357,000","1,340,000","22,386"
2020.07.16,"1,339,000","1,331,000","1,357,000","1,330,000","25,129"
2020.07.15,"1,350,000","1,356,000","1,360,000","1,336,000","38,328"
2020.07.14,"1,340,000","1,319,000","1,343,000","1,302,000","42,225"
2020.07.13,"1,300,000","1,316,000","1,316,000","1,298,000","20,748"
2020.07.10,"1,295,000","1,307,000","1,312,000","1,288,000","27,608"
2020.07.09,"1,307,000","1,317,000","1,331,000","1,307,000","43,377"
2020.07.08,"1,317,000","1,321,000","1,342,000","1,315,000","41,906"
2020.07.07,"1,348,000","1,377,000","1,380,000","1,326,000","50,630"
2020.07.06,"1,356,000","1,378,000","1,378,000","1,355,000","33,829"
2020.07.03,"1,380,000","1,377,000","1,389,000","1,357,000","41,681"
