날짜,종가,시가,고가,저가,거래량
2020.09.11,"11,950","11,850","12,000","11,850","768,769"
2020.09.10,"11,900","12,000","12,100","11,900","1,869,587"
2020.09.09,"11,850","11,850","12,000","11,750","1,538,987"
2020.09.08,"12,000","12,000","12,200","11,950","2,123,655"
2020.09.07,"11,900","11,800","11,950","11,700","1,330,737"
2020.09.04,"11,800","11,800","11,850","11,600","1,599,945"
2020.09.03,"12,000","12,150","12,200","11,900","1,849,689"
2020.09.02,"12,100","12,150","12,250","12,000","1,457,999"
2020.09.01,"12,050","11,950","12,150","11,900","1,772,066"
2020.08.31,"11,950","12,200","12,400","11,950","2,068,701"
2020.08.28,"12,150","12,150","12,200","12,000","1,730,580"
2020.08.27,"12,100","12,350","12,400","12,000","2,094,957"
2020.08.26,"12,350","12,550","12,550","12,150","2,426,787"
2020.08.25,"12,400","12,050","12,600","12,050","3,878,741"
2020.08.24,"12,000","11,900","12,100","11,800","1,841,775"
2020.08.21,"11,850","11,550","12,050","11,500","2,584,158"
2020.08.20,"11,500","11,850","12,000","11,500","2,331,403"
2020.08.19,"11,850","11,750","12,150","11,750","1,854,424"
2020.08.18,"11,750","12,200","12,300","11,700","3,295,087"
2020.08.14,"12,300","12,300","12,450","12,100","2,233,279"
2020.08.13,"12,300","12,550","12,700","12,250","4,268,848"
2020.08.12,"12,400","12,050","12,450","12,000","5,613,573"
2020.08.11,"11,900","12,250","12,250","11,900","3,978,583"
2020.08.10,"12,200","11,750","12,250","11,600","5,829,345"
2020.08.07,"11,600","11,750","11,800","11,400","3,455,481"
2020.08.06,"11,500","11,400","11,650","11,350","2,782,923"
2020.08.05,"11,350","11,450","11,500","11,300","1,473,374"
2020.08.04,"11,400","11,250","11,500","11,250","2,829,179"
2020.08.03,"11,300","11,450","11,550","11,300","1,309,081"
2020.07.31,"11,450","11,600","11,750","11,450","1,809,616"
2020.07.30,"11,650","11,700","11,800","11,550","1,910,810"
2020.07.29,"11,750","11,500","11,800","11,450","1,702,730"
2020.07.28,"11,600","11,300","11,650","11,300","2,006,886"
2020.07.27,"11,400","11,300","11,600","11,250","1,535,081"
2020.07.24,"11,300","11,400","11,450","11,200","3,698,843"
2020.07.23,"11,600","11,750","11,800","11,400","6,049,921"
2020.07.22,"12,100","12,200","12,200","12,100","1,089,688"
2020.07.21,"12,150","12,250","12,250","12,100","1,886,996"
2020.07.20,"12,300","12,250","12,350","12,050","1,816,233"
2020.07.17,"12,250","12,350","12,450","12,200","1,109,292"
2020.07.16,"12,250","12,300","12,400","12,150","1,288,427"
2020.07.15,"12,300","12,500","12,600","12,200","2,245,097"
2020.07.14,"12,450","12,000","12,500","11,950","2,621,526"
2020.07.13,"12,050","12,050","12,100","11,900","1,489,773"
2020.07.10,"11,950","12,100","12,150","11,900","1,519,687"
2020.07.09,"12,150","12,350","12,400","12,150","2,397,548"
2020.07.08,"12,350","12,400","12,550","12,300","1,623,165"
2020.07.07,"12,500","12,550","12,700","12,400","2,011,341"
2020.07.06,"12,500","12,300","12,500","12,250","1,057,418"
2020.07.03,"12,300","12,400","12,500","12,250","1,405,154"
