날짜,종가,시가,고가,저가,거래량
2020.09.11,"167,000","168,500","170,000","166,000","109,240"
2020.09.10,"169,500","169,000","172,500","165,000","481,188"
2020.09.09,"166,000","161,000","167,500","160,000","333,883"
2020.09.08,"162,000","160,000","164,500","160,000","194,051"
2020.09.07,"158,500","160,000","161,000","156,500","116,202"
2020.09.04,"158,000","155,500","160,500","155,000","270,454"
2020.09.03,"163,000","168,500","169,000","162,000","269,915"
2020.09.02,"169,000","158,500","169,000","158,000","818,324"
2020.09.01,"153,500","145,500","154,500","141,500","322,368"
2020.08.31,"145,000","147,500","149,000","144,500","128,873"
2020.08.28,"147,000","147,000","149,000","146,000","101,248"
2020.08.27,"146,500","149,500","150,000","146,500","114,677"
2020.08.26,"149,500","151,000","151,000","147,500","177,660"
2020.08.25,"152,000","156,500","157,000","149,000","267,834"
2020.08.24,"155,000","148,000","156,000","145,500","228,720"
2020.08.21,"146,500","148,000","149,000","143,500","171,356"
2020.08.20,"145,000","153,000","153,500","143,500","325,065"
2020.08.19,"154,500","154,500","156,000","152,000","153,435"
2020.08.18,"154,500","162,500","165,000","151,000","418,830"
2020.08.14,"163,500","166,500","168,000","161,500","169,898"
2020.08.13,"166,000","163,000","167,500","162,000","438,222"
2020.08.12,"161,500","159,000","161,500","158,000","192,240"
2020.08.11,"160,000","161,000","162,500","157,000","195,262"
2020.08.10,"160,500","165,000","165,000","158,000","321,918"
2020.08.07,"165,000","164,500","166,500","163,000","264,314"
2020.08.06,"163,000","163,500","164,500","161,500","182,359"
2020.08.05,"163,000","167,500","167,500","162,000","253,805"
2020.08.04,"167,000","167,000","167,000","163,000","192,571"
2020.08.03,"165,000","161,000","165,500","161,000","210,011"
2020.07.31,"161,000","165,500","166,500","161,000","165,939"
2020.07.30,"162,000","164,000","165,000","162,000","114,044"
2020.07.29,"162,000","162,500","164,500","160,000","149,108"
2020.07.28,"163,000","159,500","165,000","159,500","292,320"
2020.07.27,"157,000","156,000","160,000","156,000","182,513"
2020.07.24,"156,000","158,500","160,500","155,000","287,131"
2020.07.23,"160,500","167,000","170,000","159,500","510,467"
2020.07.22,"164,500","171,500","171,500","163,000","326,333"
2020.07.21,"171,000","162,500","172,000","161,500","440,261"
2020.07.20,"161,000","167,000","167,000","159,500","234,878"
2020.07.17,"165,000","164,000","166,000","163,500","126,754"
2020.07.16,"163,500","168,500","171,000","161,500","246,792"
2020.07.15,"169,000","174,500","175,000","168,000","219,888"
2020.07.14,"174,000","173,000","175,000","171,500","131,599"
2020.07.13,"173,500","179,500","179,500","172,000","214,564"
2020.07.10,"177,000","180,500","181,000","174,500","126,707"
2020.07.09,"179,500","174,500","179,500","173,000","171,069"
2020.07.08,"173,500","175,500","179,000","173,500","185,304"
2020.07.07,"175,500","180,000","180,000","175,500","131,564"
2020.07.06,"178,500","177,000","178,500","172,500","137,135"
2020.07.03,"176,000","172,500","177,500","172,000","109,482"
