날짜,종가,시가,고가,저가,거래량
2020.09.11,"90,900","93,200","93,900","89,700","959,212"
2020.09.10,"93,200","91,100","95,000","90,500","2,880,767"
2020.09.09,"90,200","87,200","92,000","84,600","3,555,936"
2020.09.08,"85,800","84,300","87,200","83,100","1,367,597"
2020.09.07,"83,800","83,700","85,300","82,900","629,528"
2020.09.04,"84,000","83,000","84,600","83,000","974,597"
2020.09.03,"85,700","86,500","87,300","85,600","764,553"
2020.09.02,"86,500","89,300","89,700","85,300","1,170,481"
2020.09.01,"87,700","85,100","87,900","84,700","1,133,236"
2020.08.31,"84,200","86,100","87,300","84,200","1,388,783"
2020.08.28,"85,900","87,100","87,900","85,200","954,228"
2020.08.27,"86,200","87,700","88,700","85,500","1,330,067"
2020.08.26,"87,900","90,200","90,200","86,800","1,571,474"
2020.08.25,"90,300","90,500","92,400","89,600","1,161,120"
2020.08.24,"90,600","90,000","91,600","89,100","1,265,081"
2020.08.21,"90,300","86,800","91,000","86,700","2,978,055"
2020.08.20,"84,900","84,700","87,300","84,000","1,424,255"
2020.08.19,"85,000","84,000","88,000","83,600","1,316,003"
2020.08.18,"84,000","88,300","89,200","82,500","1,462,971"
2020.08.14,"88,700","87,400","90,000","85,900","1,669,303"
2020.08.13,"87,000","87,700","90,300","85,000","1,950,559"
2020.08.12,"87,300","82,900","88,900","81,300","2,704,977"
2020.08.11,"83,000","86,300","86,300","83,000","1,684,857"
2020.08.10,"85,700","77,100","86,200","76,500","3,706,582"
2020.08.07,"77,200","77,800","78,300","76,300","759,800"
2020.08.06,"77,200","78,300","78,900","76,900","899,941"
2020.08.05,"78,300","78,900","78,900","76,500","1,197,933"
2020.08.04,"77,900","74,900","78,100","74,000","1,738,014"
2020.08.03,"74,000","71,300","74,500","71,000","1,183,563"
2020.07.31,"70,700","72,200","72,500","70,600","851,076"
2020.07.30,"72,100","72,700","73,500","71,800","735,701"
2020.07.29,"72,000","72,500","73,400","71,700","804,210"
2020.07.28,"72,500","74,000","74,200","72,100","975,596"
2020.07.27,"73,600","73,700","75,300","73,300","568,984"
2020.07.24,"74,100","73,400","75,200","73,000","698,830"
2020.07.23,"74,100","74,800","74,800","73,100","759,138"
2020.07.22,"75,000","75,000","76,300","74,500","801,570"
2020.07.21,"74,900","76,200","76,300","74,600","912,127"
2020.07.20,"76,000","75,600","76,200","74,500","901,831"
2020.07.17,"75,700","75,100","76,700","74,200","1,266,762"
2020.07.16,"74,500","75,100","76,000","73,000","1,184,023"
2020.07.15,"74,900","71,700","75,000","71,600","2,504,840"
2020.07.14,"70,800","68,700","71,200","68,600","1,780,194"
2020.07.13,"68,500","69,200","69,400","68,200","569,857"
2020.07.10,"68,200","68,100","68,600","66,500","781,290"
2020.07.09,"67,700","67,500","68,400","67,100","984,866"
2020.07.08,"66,400","66,200","67,900","65,600","1,111,546"
2020.07.07,"65,500","69,400","69,500","64,600","1,720,050"
2020.07.06,"68,100","65,500","68,800","65,000","1,461,414"
2020.07.03,"65,000","65,000","65,400","64,100","494,161"
