날짜,종가,시가,고가,저가,거래량
2020.09.11,"697,000","707,000","709,000","695,000","247,123"
2020.09.10,"713,000","716,000","716,000","699,000","541,097"
2020.09.09,"699,000","682,000","704,000","682,000","575,376"
2020.09.08,"709,000","720,000","727,000","697,000","811,834"
2020.09.07,"720,000","743,000","743,000","718,000","635,302"
2020.09.04,"743,000","734,000","751,000","734,000","773,517"
2020.09.03,"768,000","756,000","774,000","756,000","690,256"
2020.09.02,"742,000","743,000","747,000","728,000","462,821"
2020.09.01,"743,000","741,000","753,000","723,000","645,681"
2020.08.31,"740,000","763,000","775,000","731,000","835,300"
2020.08.28,"759,000","767,000","776,000","751,000","496,857"
2020.08.27,"762,000","774,000","785,000","759,000","1,060,767"
2020.08.26,"757,000","718,000","768,000","716,000","1,094,918"
2020.08.25,"713,000","712,000","714,000","703,000","450,237"
2020.08.24,"702,000","695,000","708,000","687,000","574,924"
2020.08.21,"699,000","676,000","709,000","676,000","1,078,744"
2020.08.20,"667,000","681,000","697,000","662,000","841,507"
2020.08.19,"683,000","708,000","710,000","677,000","746,732"
2020.08.18,"690,000","689,000","722,000","673,000","1,051,815"
2020.08.14,"700,000","716,000","724,000","695,000","1,160,403"
2020.08.13,"737,000","758,000","776,000","722,000","970,866"
2020.08.12,"741,000","746,000","764,000","740,000","673,527"
2020.08.11,"758,000","715,000","771,000","708,000","1,087,515"
2020.08.10,"720,000","747,000","748,000","716,000","1,035,305"
2020.08.07,"746,000","680,000","758,000","680,000","1,399,982"
2020.08.06,"680,000","672,000","688,000","659,000","634,951"
2020.08.05,"670,000","640,000","681,000","637,000","917,661"
2020.08.04,"642,000","652,000","665,000","635,000","894,736"
2020.08.03,"635,000","578,000","650,000","577,000","1,715,295"
2020.07.31,"568,000","541,000","580,000","532,000","1,376,453"
2020.07.30,"530,000","530,000","533,000","523,000","244,581"
2020.07.29,"527,000","527,000","538,000","523,000","315,710"
2020.07.28,"528,000","526,000","532,000","521,000","372,041"
2020.07.27,"517,000","509,000","520,000","509,000","257,568"
2020.07.24,"516,000","521,000","526,000","513,000","406,633"
2020.07.23,"532,000","535,000","535,000","522,000","270,382"
2020.07.22,"527,000","524,000","529,000","516,000","332,150"
2020.07.21,"531,000","525,000","537,000","522,000","489,307"
2020.07.20,"511,000","518,000","519,000","506,000","318,383"
2020.07.17,"516,000","516,000","522,000","505,000","540,426"
2020.07.16,"523,000","547,000","547,000","520,000","504,937"
2020.07.15,"544,000","539,000","546,000","536,000","341,645"
2020.07.14,"534,000","535,000","545,000","531,000","441,154"
2020.07.13,"547,000","540,000","548,000","531,000","368,579"
2020.07.10,"529,000","544,000","548,000","527,000","470,969"
2020.07.09,"539,000","515,000","549,000","512,000","819,218"
2020.07.08,"513,000","518,000","521,000","509,000","358,194"
2020.07.07,"516,000","525,000","531,000","515,000","630,054"
2020.07.06,"509,000","507,000","511,000","498,500","317,805"
2020.07.03,"507,000","509,000","515,000","502,000","443,404"
