날짜,종가,시가,고가,저가,거래량
2020.09.11,"302,000","302,500","305,000","301,000","304,088"
2020.09.10,"307,500","309,000","311,000","305,000","834,946"
2020.09.09,"304,500","303,000","307,000","300,000","925,825"
2020.09.08,"311,000","316,000","318,000","305,500","989,171"
2020.09.07,"314,500","325,500","325,500","313,500","1,308,247"
2020.09.04,"328,500","322,500","335,000","322,000","1,174,337"
2020.09.03,"339,000","333,500","339,500","329,500","776,547"
2020.09.02,"332,500","332,500","335,500","327,000","808,064"
2020.09.01,"324,500","322,500","329,500","322,000","691,864"
2020.08.31,"322,500","336,500","340,000","322,000","1,528,978"
2020.08.28,"333,000","337,000","338,500","329,500","969,408"
2020.08.27,"337,000","337,000","347,000","336,500","1,232,239"
2020.08.26,"334,000","321,500","338,500","321,000","1,155,853"
2020.08.25,"325,000","323,000","325,000","317,000","897,649"
2020.08.24,"320,000","313,000","320,000","310,000","783,392"
2020.08.21,"312,500","311,500","314,500","308,000","781,961"
2020.08.20,"305,500","315,000","319,000","302,500","1,186,809"
2020.08.19,"315,000","311,500","316,000","305,500","941,038"
2020.08.18,"307,500","307,500","317,500","305,000","1,494,966"
2020.08.14,"305,000","305,000","308,500","303,000","608,156"
2020.08.13,"307,000","310,000","311,500","304,000","1,406,370"
2020.08.12,"305,000","308,000","311,000","303,500","856,711"
2020.08.11,"311,500","311,000","314,500","307,500","665,863"
2020.08.10,"313,500","308,500","314,500","303,500","968,592"
2020.08.07,"314,000","324,500","325,500","312,000","1,063,254"
2020.08.06,"322,000","313,000","322,000","310,500","1,032,045"
2020.08.05,"313,500","312,000","314,500","306,500","809,939"
2020.08.04,"311,000","317,500","322,000","307,500","1,330,818"
2020.08.03,"314,500","301,500","314,500","299,000","1,341,104"
2020.07.31,"301,000","299,000","303,000","296,500","1,567,503"
2020.07.30,"294,000","296,000","297,500","291,000","1,150,474"
2020.07.29,"292,000","286,000","292,000","283,000","964,066"
2020.07.28,"288,000","289,500","292,000","284,000","978,238"
2020.07.27,"284,500","281,000","287,500","276,500","691,075"
2020.07.24,"281,000","281,000","290,500","278,500","1,233,584"
2020.07.23,"284,000","272,000","284,000","271,000","1,396,607"
2020.07.22,"270,000","264,000","272,500","261,500","905,784"
2020.07.21,"270,000","273,000","273,500","269,000","1,179,638"
2020.07.20,"263,000","276,500","278,000","260,500","1,556,415"
2020.07.17,"276,000","270,000","279,500","266,000","926,932"
2020.07.16,"273,000","283,000","285,000","272,000","1,338,814"
2020.07.15,"286,500","290,500","293,000","280,500","1,276,196"
2020.07.14,"287,000","290,000","291,000","285,000","1,360,849"
2020.07.13,"297,000","303,500","303,500","288,000","1,254,800"
2020.07.10,"299,000","291,500","308,500","290,000","2,120,904"
2020.07.09,"287,500","286,500","296,500","284,500","2,006,662"
2020.07.08,"282,500","280,000","284,500","274,000","1,353,345"
2020.07.07,"279,500","285,000","289,500","279,000","1,365,047"
2020.07.06,"281,500","278,000","287,500","278,000","1,211,636"
2020.07.03,"277,500","276,500","280,500","274,500","971,940"
