날짜,종가,시가,고가,저가,거래량
2020.09.11,"68,800","71,000","71,000","68,500","266,161"
2020.09.10,"71,800","72,900","73,100","69,800","406,031"
2020.09.09,"71,800","69,200","72,200","68,500","595,907"
2020.09.08,"70,000","71,600","75,400","69,900","973,530"
2020.09.07,"70,000","69,200","73,500","67,700","1,638,068"
2020.09.04,"67,700","63,000","69,200","62,700","1,638,165"
2020.09.03,"65,900","66,300","68,400","64,800","644,450"
2020.09.02,"65,800","65,500","66,000","64,100","261,919"
2020.09.01,"64,900","64,700","65,200","63,100","267,426"
2020.08.31,"64,700","63,900","66,900","63,500","674,724"
2020.08.28,"63,100","64,500","65,800","62,500","507,129"
2020.08.27,"63,900","67,900","68,700","63,400","831,801"
2020.08.26,"68,700","68,500","69,900","65,800","763,158"
2020.08.25,"68,200","68,000","70,700","67,300","994,317"
2020.08.24,"68,300","62,000","68,300","61,000","1,882,621"
2020.08.21,"61,200","61,300","62,600","60,100","478,539"
2020.08.20,"59,700","61,000","63,400","59,100","688,488"
2020.08.19,"60,600","56,900","62,200","56,900","690,872"
2020.08.18,"56,400","60,300","60,700","56,100","502,935"
2020.08.14,"60,900","62,300","62,900","60,500","332,265"
2020.08.13,"63,000","65,600","66,500","62,200","661,956"
2020.08.12,"65,600","62,600","65,600","60,900","591,550"
2020.08.11,"63,500","64,600","64,900","63,000","483,933"
2020.08.10,"64,800","61,500","66,000","60,900","1,036,574"
2020.08.07,"61,400","61,800","62,100","60,000","552,409"
2020.08.06,"61,200","63,500","63,600","61,000","840,966"
2020.08.05,"64,100","58,100","66,300","57,200","2,991,692"
2020.08.04,"57,000","54,600","57,700","54,600","544,493"
2020.08.03,"54,500","56,300","56,400","53,500","319,313"
2020.07.31,"56,100","56,400","57,400","55,500","372,687"
2020.07.30,"56,200","57,600","58,500","55,300","815,693"
2020.07.29,"55,200","52,900","56,800","52,600","1,251,127"
2020.07.28,"52,900","54,200","54,700","52,200","465,498"
2020.07.27,"53,700","53,400","55,400","53,400","709,612"
2020.07.24,"53,500","56,000","56,400","52,500","1,241,635"
2020.07.23,"56,900","61,400","61,700","56,600","1,503,331"
2020.07.22,"60,200","58,000","68,400","56,100","7,968,944"
2020.07.21,"59,000","48,400","59,000","47,850","4,869,651"
2020.07.20,"45,400","43,600","45,500","43,200","307,058"
2020.07.17,"43,550","44,900","45,350","43,500","285,125"
2020.07.16,"44,950","45,600","46,200","44,700","419,715"
2020.07.15,"44,850","44,000","45,650","42,950","461,849"
2020.07.14,"43,850","46,750","46,750","43,850","508,168"
2020.07.13,"46,900","46,050","47,100","45,550","408,452"
2020.07.10,"45,300","47,750","47,850","44,400","730,005"
2020.07.09,"47,500","43,750","49,300","43,700","2,547,860"
2020.07.08,"42,900","41,450","43,800","41,200","342,310"
2020.07.07,"41,550","42,400","42,800","41,250","320,763"
2020.07.06,"42,100","41,000","42,100","39,800","386,172"
2020.07.03,"40,450","40,000","41,350","39,800","365,999"
