날짜,종가,시가,고가,저가,거래량
2020.09.11,"184,500","185,000","185,500","184,000","95,985"
2020.09.10,"185,500","185,500","187,500","184,000","412,264"
2020.09.09,"185,000","184,500","185,500","183,500","326,016"
2020.09.08,"187,000","190,500","190,500","186,500","268,589"
2020.09.07,"188,000","186,500","191,000","185,000","316,466"
2020.09.04,"186,000","185,000","188,000","185,000","285,469"
2020.09.03,"189,000","188,000","189,500","187,000","263,157"
2020.09.02,"188,000","187,500","188,500","185,500","220,654"
2020.09.01,"186,500","185,500","188,000","185,000","323,816"
2020.08.31,"184,500","189,500","191,500","184,500","542,851"
2020.08.28,"189,500","187,000","192,500","187,000","377,563"
2020.08.27,"188,500","191,500","192,000","186,500","432,450"
2020.08.26,"193,000","198,000","198,000","192,000","512,515"
2020.08.25,"200,500","200,000","202,000","198,000","223,434"
2020.08.24,"199,000","196,500","199,500","194,000","205,330"
2020.08.21,"199,000","196,000","201,000","195,500","257,961"
2020.08.20,"195,000","199,500","201,500","193,000","373,768"
2020.08.19,"201,000","203,500","203,500","199,000","220,589"
2020.08.18,"203,000","208,500","209,500","202,000","437,588"
2020.08.14,"210,500","207,000","211,000","205,000","438,014"
2020.08.13,"206,000","209,000","210,000","204,000","397,625"
2020.08.12,"208,500","205,500","210,000","203,500","360,782"
2020.08.11,"207,000","201,000","209,500","200,500","655,895"
2020.08.10,"198,500","194,500","199,500","193,000","302,994"
2020.08.07,"197,000","201,000","202,000","194,500","335,833"
2020.08.06,"201,000","195,500","201,000","195,500","384,949"
2020.08.05,"194,000","194,000","195,000","192,500","196,344"
2020.08.04,"194,000","192,000","197,000","192,000","226,337"
2020.08.03,"192,000","193,000","195,000","190,000","240,285"
2020.07.31,"193,500","198,000","198,500","193,000","379,886"
2020.07.30,"199,000","201,000","201,000","197,500","361,731"
2020.07.29,"201,500","199,500","203,000","198,500","333,000"
2020.07.28,"202,000","197,000","202,000","197,000","466,607"
2020.07.27,"196,000","193,500","199,000","193,500","243,664"
2020.07.24,"194,000","194,000","199,500","191,500","327,478"
2020.07.23,"195,500","198,500","199,000","192,500","444,433"
2020.07.22,"197,500","192,500","202,000","191,500","810,125"
2020.07.21,"191,500","187,000","193,000","186,000","461,232"
2020.07.20,"187,500","185,000","189,500","184,500","198,370"
2020.07.17,"186,500","189,000","191,500","186,000","222,271"
2020.07.16,"186,500","186,500","188,000","184,500","267,345"
2020.07.15,"186,500","188,000","193,500","185,000","471,306"
2020.07.14,"184,500","186,500","186,500","183,000","188,702"
2020.07.13,"187,000","184,000","188,000","182,000","261,632"
2020.07.10,"182,000","186,500","187,500","180,500","327,123"
2020.07.09,"188,500","192,000","192,000","187,000","375,630"
2020.07.08,"190,500","185,500","191,500","184,000","537,845"
2020.07.07,"185,000","185,500","189,000","184,000","358,072"
2020.07.06,"183,000","184,000","184,000","179,500","190,812"
2020.07.03,"181,500","181,000","183,500","180,000","189,200"
