날짜,종가,시가,고가,저가,거래량
2020.09.11,"55,200","55,900","55,900","55,000","229,287"
2020.09.10,"55,900","56,300","56,400","55,800","548,579"
2020.09.09,"56,000","56,300","56,600","55,800","460,805"
2020.09.08,"57,200","56,700","58,100","56,500","376,850"
2020.09.07,"56,800","56,600","56,800","56,200","262,513"
2020.09.04,"56,900","56,200","57,200","56,100","256,809"
2020.09.03,"57,400","57,300","57,700","56,800","342,029"
2020.09.02,"57,300","57,200","57,500","56,800","208,962"
2020.09.01,"56,900","56,500","57,200","56,100","242,196"
2020.08.31,"56,500","57,800","58,100","56,500","445,289"
2020.08.28,"57,400","57,600","58,200","57,200","353,523"
2020.08.27,"57,400","58,500","58,800","57,100","556,492"
2020.08.26,"58,600","60,400","60,400","58,200","399,421"
2020.08.25,"59,700","58,800","60,500","58,700","439,178"
2020.08.24,"57,900","58,400","58,500","57,200","233,182"
2020.08.21,"58,500","58,100","59,100","57,700","298,191"
2020.08.20,"58,100","60,400","60,500","57,900","607,801"
2020.08.19,"60,500","60,700","61,400","60,500","354,561"
2020.08.18,"61,100","63,100","63,100","61,000","496,766"
2020.08.14,"63,600","63,300","63,800","62,300","372,293"
2020.08.13,"63,600","64,900","65,500","63,200","651,143"
2020.08.12,"64,300","64,100","64,800","63,100","520,713"
2020.08.11,"64,000","62,400","66,200","62,300","1,738,419"
2020.08.10,"61,400","62,400","62,700","61,100","436,930"
2020.08.07,"62,300","61,800","63,900","61,300","670,373"
2020.08.06,"61,800","61,700","62,500","61,000","552,480"
2020.08.05,"61,100","60,400","61,800","60,000","564,299"
2020.08.04,"60,000","59,900","60,700","59,900","273,418"
2020.08.03,"59,900","61,000","61,100","59,800","394,558"
2020.07.31,"61,000","61,400","62,200","61,000","337,843"
2020.07.30,"61,500","61,600","63,000","61,500","311,229"
2020.07.29,"61,700","61,200","61,900","61,000","199,639"
2020.07.28,"61,600","61,300","61,700","61,200","299,380"
2020.07.27,"61,200","61,300","62,500","61,100","347,273"
2020.07.24,"61,700","61,500","62,100","61,500","361,132"
2020.07.23,"62,200","63,000","63,100","61,700","526,788"
2020.07.22,"63,000","64,500","64,600","63,000","519,541"
2020.07.21,"63,000","62,600","63,400","62,500","282,460"
2020.07.20,"62,500","63,200","63,200","62,100","232,399"
2020.07.17,"63,300","63,800","64,400","63,000","176,155"
2020.07.16,"63,900","64,100","64,300","63,200","256,471"
2020.07.15,"63,500","63,400","64,500","62,800","421,227"
2020.07.14,"62,100","62,500","62,800","61,900","225,675"
2020.07.13,"63,100","62,000","63,100","61,700","282,776"
2020.07.10,"61,700","62,700","63,200","61,500","412,549"
2020.07.09,"63,500","63,400","64,100","62,800","313,948"
2020.07.08,"63,300","64,400","64,600","63,000","350,606"
2020.07.07,"64,000","64,500","65,300","63,800","442,323"
2020.07.06,"64,000","64,200","64,300","63,000","309,957"
2020.07.03,"64,000","64,000","64,700","63,500","311,065"
