날짜,종가,시가,고가,저가,거래량
2020.09.11,"243,100","248,000","251,300","243,000","18,555"
2020.09.10,"251,400","252,000","254,200","245,200","50,775"
2020.09.09,"250,200","258,300","258,900","250,200","66,790"
2020.09.08,"261,000","255,800","262,300","254,000","65,369"
2020.09.07,"255,400","252,700","256,500","246,300","62,978"
2020.09.04,"248,400","239,000","249,700","239,000","55,583"
2020.09.03,"251,500","249,500","256,700","246,300","56,035"
2020.09.02,"247,500","246,600","251,700","245,500","29,294"
2020.09.01,"245,900","243,000","248,000","241,800","36,130"
2020.08.31,"246,600","245,600","252,500","238,400","49,204"
2020.08.28,"245,500","242,000","249,700","242,000","45,971"
2020.08.27,"241,900","242,200","245,900","239,100","45,602"
2020.08.26,"242,000","245,000","246,700","239,100","49,361"
2020.08.25,"247,700","240,200","248,800","240,200","56,949"
2020.08.24,"240,100","230,000","242,000","229,900","64,874"
2020.08.21,"233,500","223,100","239,000","223,100","81,117"
2020.08.20,"222,600","235,000","235,400","221,500","80,181"
2020.08.19,"237,700","227,700","239,800","227,700","77,746"
2020.08.18,"227,500","239,800","242,900","216,600","90,731"
2020.08.14,"240,900","238,800","241,900","237,000","53,890"
2020.08.13,"238,700","242,000","244,400","238,700","89,704"
2020.08.12,"238,700","248,700","249,700","235,400","106,517"
2020.08.11,"250,200","259,900","260,000","248,500","83,769"
2020.08.10,"256,500","243,200","264,000","242,000","168,505"
2020.08.07,"241,500","240,500","242,900","238,100","64,686"
2020.08.06,"240,500","242,500","245,900","239,200","72,762"
2020.08.05,"241,700","242,800","244,200","238,100","77,341"
2020.08.04,"242,800","247,500","251,000","241,000","70,800"
2020.08.03,"244,300","247,600","247,700","240,500","62,762"
2020.07.31,"245,100","248,400","249,300","242,500","72,245"
2020.07.30,"249,200","237,900","249,400","237,900","124,315"
2020.07.29,"236,200","236,500","239,700","235,100","55,432"
2020.07.28,"235,200","239,800","242,000","235,200","81,876"
2020.07.27,"240,100","239,100","243,100","236,400","61,554"
2020.07.24,"239,300","242,400","242,400","235,100","75,569"
2020.07.23,"244,000","241,600","246,600","239,100","85,156"
2020.07.22,"244,000","247,100","250,100","242,900","89,403"
2020.07.21,"246,900","254,500","256,900","243,800","103,584"
2020.07.20,"252,900","246,000","259,700","244,400","185,570"
2020.07.17,"246,000","240,000","248,800","232,000","311,370"
2020.07.16,"227,800","226,500","228,800","218,200","206,816"
2020.07.15,"223,500","218,100","224,600","210,200","113,061"
2020.07.14,"216,600","214,500","223,200","208,000","154,940"
2020.07.13,"215,000","200,400","215,900","199,800","188,039"
2020.07.10,"198,700","199,200","202,000","196,700","68,495"
2020.07.09,"200,000","200,000","203,600","198,400","102,327"
2020.07.08,"198,700","196,300","200,400","196,000","53,431"
2020.07.07,"197,500","204,300","205,000","197,500","80,576"
2020.07.06,"201,900","198,500","205,300","198,000","72,600"
2020.07.03,"199,800","203,100","203,600","198,100","105,160"
