날짜,종가,시가,고가,저가,거래량
2020.09.11,"77,800","76,700","78,200","76,300","1,691,369"
2020.09.10,"76,600","78,000","78,200","76,600","3,541,520"
2020.09.09,"77,300","77,900","78,400","77,200","3,918,435"
2020.09.08,"79,400","78,700","80,000","78,200","3,380,355"
2020.09.07,"78,400","78,600","79,500","77,600","2,786,930"
2020.09.04,"78,700","76,400","79,400","76,100","4,582,566"
2020.09.03,"78,700","77,700","79,700","77,200","7,002,529"
2020.09.02,"75,500","75,900","76,400","74,900","2,369,360"
2020.09.01,"75,200","75,200","76,500","75,200","2,538,676"
2020.08.31,"75,100","78,200","78,800","75,100","5,113,128"
2020.08.28,"77,800","79,500","79,600","77,700","2,511,956"
2020.08.27,"79,100","80,200","80,200","78,800","4,223,450"
2020.08.26,"78,800","78,000","79,100","77,100","4,741,965"
2020.08.25,"77,000","76,300","77,700","75,400","3,473,488"
2020.08.24,"75,500","74,600","77,200","73,700","4,298,619"
2020.08.21,"74,500","72,800","77,000","72,500","7,700,029"
2020.08.20,"71,800","74,400","74,400","71,300","7,260,223"
2020.08.19,"75,000","77,300","78,000","75,000","8,028,305"
2020.08.18,"78,100","80,000","80,200","78,000","4,946,279"
2020.08.14,"80,200","80,200","81,100","80,100","2,589,552"
2020.08.13,"80,700","81,900","82,000","80,300","4,049,387"
2020.08.12,"81,000","81,100","81,300","80,200","3,595,828"
2020.08.11,"81,300","81,700","82,000","81,000","3,234,013"
2020.08.10,"81,400","80,100","81,900","79,800","3,277,238"
2020.08.07,"80,600","81,200","81,300","80,000","4,946,631"
2020.08.06,"81,100","80,700","81,900","80,700","3,391,939"
2020.08.05,"80,700","81,200","81,300","80,500","4,537,005"
2020.08.04,"81,600","81,800","82,500","81,400","3,005,937"
2020.08.03,"81,800","82,400","82,600","81,500","3,483,106"
2020.07.31,"82,800","85,700","86,000","82,800","4,848,989"
2020.07.30,"85,300","83,300","86,400","83,000","6,870,841"
2020.07.29,"83,200","82,900","83,800","82,600","3,719,681"
2020.07.28,"83,100","83,900","83,900","82,700","4,538,720"
2020.07.27,"82,800","83,100","84,000","82,800","2,784,652"
2020.07.24,"83,700","82,300","83,700","82,200","3,667,416"
2020.07.23,"82,400","84,000","84,000","82,300","3,591,647"
2020.07.22,"83,200","84,100","84,200","82,900","2,876,295"
2020.07.21,"84,100","83,400","84,700","83,000","4,181,015"
2020.07.20,"82,200","82,800","83,000","82,100","2,008,624"
2020.07.17,"82,900","82,700","83,500","82,600","1,579,078"
2020.07.16,"82,700","83,000","83,100","82,300","2,312,310"
2020.07.15,"83,000","83,100","83,900","82,900","3,024,429"
2020.07.14,"82,900","82,600","82,900","82,000","2,048,671"
2020.07.13,"83,000","83,100","83,500","82,500","2,080,934"
2020.07.10,"82,800","83,300","83,500","82,400","2,201,557"
2020.07.09,"83,000","84,200","84,600","83,000","4,002,365"
2020.07.08,"83,700","83,800","84,900","83,600","3,523,620"
2020.07.07,"84,800","87,300","87,300","84,600","3,196,352"
2020.07.06,"86,000","86,000","87,000","85,800","2,561,766"
2020.07.03,"85,400","85,000","85,600","84,500","2,195,897"
