날짜,종가,시가,고가,저가,거래량
2020.09.11,"21,050","21,050","21,100","20,950","166,749"
2020.09.10,"21,050","21,150","21,350","21,050","438,466"
2020.09.09,"21,100","21,150","21,400","21,100","424,018"
2020.09.08,"21,450","21,250","21,600","21,100","510,340"
2020.09.07,"21,250","20,850","21,400","20,700","473,972"
2020.09.04,"20,800","20,750","20,950","20,650","656,489"
2020.09.03,"21,100","21,600","21,650","21,050","643,605"
2020.09.02,"21,350","21,000","21,450","21,000","514,721"
2020.09.01,"21,000","20,600","21,150","20,600","517,974"
2020.08.31,"20,650","21,050","21,250","20,650","746,937"
2020.08.28,"20,900","20,500","21,150","20,450","505,574"
2020.08.27,"20,500","20,900","21,050","20,450","599,900"
2020.08.26,"21,000","21,100","21,250","20,800","483,647"
2020.08.25,"21,350","20,950","21,550","20,800","639,655"
2020.08.24,"20,650","20,500","20,750","19,950","781,485"
2020.08.21,"20,650","20,900","21,300","20,650","710,537"
2020.08.20,"20,900","21,600","21,750","20,900","878,512"
2020.08.19,"21,950","22,000","22,250","21,850","589,814"
2020.08.18,"22,100","22,400","22,600","22,050","1,052,861"
2020.08.14,"23,250","23,550","23,750","23,000","684,057"
2020.08.13,"23,500","24,000","24,100","23,200","1,035,539"
2020.08.12,"23,900","23,100","24,200","23,050","1,944,944"
2020.08.11,"23,050","22,700","23,150","22,600","688,826"
2020.08.10,"22,600","22,700","22,700","22,350","578,306"
2020.08.07,"22,800","22,950","23,250","22,750","617,500"
2020.08.06,"22,950","22,450","22,950","22,300","580,519"
2020.08.05,"22,450","22,400","22,550","22,350","453,508"
2020.08.04,"22,450","22,500","22,700","22,400","492,888"
2020.08.03,"22,500","23,000","23,150","22,500","629,024"
2020.07.31,"22,850","22,950","23,300","22,800","546,739"
2020.07.30,"22,950","23,300","23,300","22,850","611,910"
2020.07.29,"23,050","22,600","23,200","22,500","576,330"
2020.07.28,"22,750","23,000","23,100","22,650","668,609"
2020.07.27,"22,950","22,900","23,200","22,850","535,240"
2020.07.24,"22,950","22,800","23,300","22,700","758,832"
2020.07.23,"23,200","23,650","23,700","23,100","977,306"
2020.07.22,"23,900","24,650","24,700","23,850","974,274"
2020.07.21,"24,800","25,300","25,300","24,550","900,155"
2020.07.20,"25,000","24,850","25,700","24,700","1,574,716"
2020.07.17,"24,400","24,450","24,500","24,050","742,324"
2020.07.16,"24,250","24,250","24,400","24,050","682,092"
2020.07.15,"24,000","23,750","24,100","23,750","802,368"
2020.07.14,"23,550","23,350","23,700","23,050","660,641"
2020.07.13,"23,250","23,200","23,400","22,900","657,023"
2020.07.10,"23,250","22,700","23,250","22,500","663,021"
2020.07.09,"23,150","23,400","23,600","22,800","812,624"
2020.07.08,"23,200","22,750","23,200","22,400","886,064"
2020.07.07,"22,400","22,500","22,650","22,000","730,820"
2020.07.06,"22,250","22,000","22,350","21,650","532,446"
2020.07.03,"22,000","22,000","22,200","21,950","648,399"
