날짜,종가,시가,고가,저가,거래량
2020.09.11,"401,000","403,000","404,000","400,500","9,253"
2020.09.10,"403,000","405,000","407,000","401,000","34,945"
2020.09.09,"401,000","403,000","408,500","400,500","45,823"
2020.09.08,"406,000","410,000","415,000","404,500","33,165"
2020.09.07,"404,000","395,500","410,500","394,500","44,931"
2020.09.04,"398,000","393,500","399,500","392,000","48,719"
2020.09.03,"402,000","404,500","406,000","398,500","42,133"
2020.09.02,"403,500","403,000","406,000","397,000","31,641"
2020.09.01,"402,000","397,000","403,000","396,000","36,204"
2020.08.31,"398,500","403,000","412,000","397,500","65,620"
2020.08.28,"398,500","400,500","403,000","396,000","52,231"
2020.08.27,"400,000","407,000","407,500","399,000","42,411"
2020.08.26,"404,000","407,500","412,000","402,000","30,694"
2020.08.25,"410,000","404,000","412,500","403,500","33,957"
2020.08.24,"403,500","411,000","411,000","401,000","45,652"
2020.08.21,"411,500","410,500","418,500","405,000","33,257"
2020.08.20,"405,500","412,000","421,500","403,500","49,256"
2020.08.19,"418,000","421,000","426,000","416,500","32,772"
2020.08.18,"419,500","437,000","437,500","419,000","73,382"
2020.08.14,"429,000","433,500","434,000","422,000","48,893"
2020.08.13,"429,000","430,500","438,000","424,000","88,524"
2020.08.12,"432,000","434,000","443,500","427,500","132,334"
2020.08.11,"450,500","452,000","465,000","448,500","81,894"
2020.08.10,"450,000","448,000","450,000","441,500","86,497"
2020.08.07,"454,000","459,000","467,000","452,000","129,264"
2020.08.06,"450,000","434,500","450,000","434,000","103,885"
2020.08.05,"427,000","424,000","433,500","417,000","99,434"
2020.08.04,"410,500","414,000","420,000","407,500","72,806"
2020.08.03,"413,500","415,000","423,000","412,500","72,486"
2020.07.31,"414,000","417,500","425,000","411,500","78,207"
2020.07.30,"421,500","430,500","433,500","421,500","63,530"
2020.07.29,"433,000","433,500","442,000","424,000","77,581"
2020.07.28,"433,500","446,000","458,000","424,500","179,845"
2020.07.27,"430,500","402,500","431,000","401,500","174,593"
2020.07.24,"395,500","399,500","403,000","392,000","60,595"
2020.07.23,"403,500","403,500","411,500","394,500","106,159"
2020.07.22,"398,500","375,500","404,000","372,500","257,220"
2020.07.21,"369,000","364,000","371,000","363,500","33,128"
2020.07.20,"363,500","367,000","371,500","362,000","35,690"
2020.07.17,"368,000","371,000","376,000","365,500","33,778"
2020.07.16,"364,500","366,000","371,500","364,000","36,953"
2020.07.15,"369,000","377,500","379,000","364,000","59,663"
2020.07.14,"376,500","370,500","376,500","370,500","31,622"
2020.07.13,"375,000","378,000","378,000","370,500","39,119"
2020.07.10,"373,500","378,000","378,000","368,000","44,186"
2020.07.09,"378,000","371,000","378,000","370,500","63,986"
2020.07.08,"370,000","369,000","371,000","364,000","35,707"
2020.07.07,"366,500","373,000","373,000","361,000","42,621"
2020.07.06,"370,500","366,000","371,000","362,500","64,100"
2020.07.03,"364,000","363,000","365,000","359,000","33,955"
