날짜,종가,시가,고가,저가,거래량
2020.09.11,"100,000","100,000","102,000","99,400","64,532"
2020.09.10,"99,400","104,500","104,500","99,200","215,327"
2020.09.09,"103,000","97,900","106,500","97,900","289,415"
2020.09.08,"99,800","111,000","111,000","99,800","362,556"
2020.09.07,"111,500","99,000","115,000","98,200","448,358"
2020.09.04,"98,100","96,100","99,600","95,500","191,314"
2020.09.03,"98,500","100,500","100,500","98,500","99,386"
2020.09.02,"99,500","98,700","102,500","98,300","129,400"
2020.09.01,"98,700","100,000","101,500","97,800","124,204"
2020.08.31,"100,500","98,800","102,500","98,600","248,748"
2020.08.28,"98,100","101,000","102,500","97,200","214,939"
2020.08.27,"100,500","102,000","103,000","100,000","162,927"
2020.08.26,"103,000","105,000","105,500","101,500","168,135"
2020.08.25,"105,500","105,500","109,000","103,500","180,966"
2020.08.24,"104,500","102,500","106,000","100,500","176,179"
2020.08.21,"101,500","103,500","104,500","99,300","188,231"
2020.08.20,"102,000","104,000","108,000","101,000","226,038"
2020.08.19,"104,000","100,500","105,500","100,500","192,293"
2020.08.18,"100,000","101,000","103,500","99,500","217,297"
2020.08.14,"100,000","98,000","102,000","97,800","251,967"
2020.08.13,"97,700","99,700","103,000","96,000","317,852"
2020.08.12,"96,200","96,300","98,000","94,200","166,029"
2020.08.11,"96,000","97,600","101,500","96,000","295,032"
2020.08.10,"97,200","96,500","99,700","96,200","448,661"
2020.08.07,"94,200","88,200","94,500","88,000","463,565"
2020.08.06,"88,000","86,600","88,300","86,400","187,536"
2020.08.05,"86,200","82,700","86,200","82,700","212,410"
2020.08.04,"82,700","81,800","83,600","81,800","117,093"
2020.08.03,"82,100","84,600","84,700","81,300","149,291"
2020.07.31,"84,600","82,500","84,600","82,100","199,238"
2020.07.30,"82,500","83,800","84,600","82,000","158,391"
2020.07.29,"84,100","85,100","86,000","82,400","257,121"
2020.07.28,"85,900","86,800","88,500","85,200","207,488"
2020.07.27,"87,600","90,500","90,600","86,700","215,020"
2020.07.24,"89,300","89,100","90,300","88,500","102,126"
2020.07.23,"89,000","89,100","91,300","88,100","140,611"
2020.07.22,"89,400","89,200","91,800","88,700","203,738"
2020.07.21,"89,100","89,500","90,200","87,300","170,516"
2020.07.20,"89,300","86,300","91,300","86,300","201,015"
2020.07.17,"87,500","88,800","90,300","86,600","170,187"
2020.07.16,"89,000","88,400","91,200","87,100","185,296"
2020.07.15,"88,300","85,700","92,200","85,000","554,799"
2020.07.14,"83,700","78,300","84,500","77,800","550,286"
2020.07.13,"79,300","72,500","79,500","72,100","621,466"
2020.07.10,"71,700","74,300","74,500","71,600","225,266"
2020.07.09,"74,300","73,900","75,000","73,700","118,218"
2020.07.08,"74,200","76,600","76,600","73,800","115,554"
2020.07.07,"76,000","75,500","76,700","74,400","177,803"
2020.07.06,"74,700","74,000","75,300","73,100","136,413"
2020.07.03,"74,400","74,700","75,200","73,500","71,703"
