날짜,종가,시가,고가,저가,거래량
2020.09.11,"42,150","41,900","42,600","41,650","431,484"
2020.09.10,"42,150","42,500","42,550","42,000","1,182,951"
2020.09.09,"42,100","42,150","42,800","41,900","1,352,778"
2020.09.08,"42,300","42,500","42,900","42,200","1,018,948"
2020.09.07,"42,300","41,950","42,450","41,600","875,590"
2020.09.04,"42,150","41,300","42,400","41,250","1,510,688"
2020.09.03,"42,700","42,250","42,800","42,050","1,405,908"
2020.09.02,"42,200","43,050","43,150","41,800","1,776,692"
2020.09.01,"43,150","42,500","43,450","42,450","1,787,286"
2020.08.31,"42,450","43,350","44,300","42,450","2,765,135"
2020.08.28,"42,750","42,300","44,050","42,100","2,038,560"
2020.08.27,"42,200","43,400","43,500","42,050","1,517,260"
2020.08.26,"43,200","42,900","43,500","42,250","1,613,088"
2020.08.25,"43,000","42,200","44,700","42,200","2,755,909"
2020.08.24,"41,550","40,800","41,600","40,100","1,804,120"
2020.08.21,"40,750","40,800","41,500","40,100","1,815,543"
2020.08.20,"40,250","41,850","43,150","39,850","2,611,942"
2020.08.19,"42,300","42,200","43,250","41,950","2,489,110"
2020.08.18,"42,700","44,350","44,600","41,850","1,896,768"
2020.08.14,"44,400","44,950","45,100","43,100","1,557,534"
2020.08.13,"44,900","45,750","46,200","44,000","2,245,671"
2020.08.12,"45,250","46,050","46,600","44,900","2,734,266"
2020.08.11,"47,200","47,000","47,700","45,200","3,721,633"
2020.08.10,"46,350","42,200","47,500","42,200","6,774,254"
2020.08.07,"42,250","42,450","43,200","41,650","2,249,386"
2020.08.06,"42,150","41,450","42,800","41,200","2,504,981"
2020.08.05,"41,100","41,150","41,500","40,600","1,501,565"
2020.08.04,"41,150","40,100","41,300","40,050","1,998,358"
2020.08.03,"39,700","40,250","40,300","38,900","1,823,829"
2020.07.31,"40,400","40,500","41,000","39,700","1,812,196"
2020.07.30,"40,700","40,300","41,350","40,000","2,577,431"
2020.07.29,"39,650","37,700","39,750","37,300","3,410,420"
2020.07.28,"37,700","37,750","37,900","37,200","1,698,056"
2020.07.27,"37,700","37,250","37,950","36,550","2,159,629"
2020.07.24,"36,900","36,150","37,850","35,900","2,719,769"
2020.07.23,"36,700","35,800","37,100","35,200","2,882,165"
2020.07.22,"35,800","36,650","37,250","35,700","2,156,629"
2020.07.21,"36,700","37,900","37,900","36,550","3,208,266"
2020.07.20,"38,000","36,950","38,350","36,900","2,899,647"
2020.07.17,"36,800","35,950","37,000","35,700","2,720,640"
2020.07.16,"35,300","35,500","35,950","35,100","1,891,487"
2020.07.15,"35,200","34,800","35,950","34,700","2,955,272"
2020.07.14,"34,000","33,450","34,000","33,100","1,413,638"
2020.07.13,"33,800","32,300","33,850","32,150","1,924,926"
2020.07.10,"32,050","32,250","32,550","31,900","1,064,282"
2020.07.09,"32,500","32,950","33,250","32,500","1,154,644"
2020.07.08,"32,850","32,200","33,400","32,200","1,704,734"
2020.07.07,"32,200","33,100","33,200","32,200","1,771,225"
2020.07.06,"32,950","32,350","33,300","32,000","1,611,615"
2020.07.03,"32,150","32,400","32,550","32,050","916,274"
