날짜,종가,시가,고가,저가,거래량
2020.09.11,"8,140","8,130","8,180","8,120","600,930"
2020.09.10,"8,200","8,160","8,200","8,140","1,621,707"
2020.09.09,"8,130","8,160","8,190","8,090","2,659,641"
2020.09.08,"8,230","8,300","8,360","8,220","1,994,391"
2020.09.07,"8,270","8,240","8,290","8,180","1,203,100"
2020.09.04,"8,200","8,170","8,230","8,140","1,227,206"
2020.09.03,"8,290","8,230","8,340","8,230","1,464,078"
2020.09.02,"8,220","8,200","8,230","8,160","893,824"
2020.09.01,"8,170","8,090","8,210","8,080","1,375,302"
2020.08.31,"8,090","8,280","8,320","8,090","2,731,627"
2020.08.28,"8,260","8,270","8,360","8,230","1,177,457"
2020.08.27,"8,220","8,310","8,310","8,200","1,176,456"
2020.08.26,"8,350","8,380","8,410","8,220","1,463,232"
2020.08.25,"8,420","8,360","8,440","8,330","1,392,604"
2020.08.24,"8,280","8,190","8,300","8,110","1,120,572"
2020.08.21,"8,190","8,160","8,270","8,150","1,331,757"
2020.08.20,"8,120","8,320","8,380","8,120","2,494,703"
2020.08.19,"8,390","8,320","8,550","8,320","1,330,333"
2020.08.18,"8,300","8,620","8,650","8,300","2,600,765"
2020.08.14,"8,700","8,820","8,830","8,610","1,991,022"
2020.08.13,"8,820","8,800","8,860","8,740","3,430,244"
2020.08.12,"8,800","8,750","8,890","8,570","4,199,990"
2020.08.11,"8,680","8,500","8,690","8,450","4,207,516"
2020.08.10,"8,400","8,260","8,410","8,230","3,094,346"
2020.08.07,"8,230","8,320","8,330","8,170","1,585,276"
2020.08.06,"8,290","8,180","8,400","8,170","2,724,744"
2020.08.05,"8,160","8,200","8,240","8,120","1,253,971"
2020.08.04,"8,200","8,070","8,220","8,070","1,361,938"
2020.08.03,"8,080","8,140","8,160","8,070","1,136,832"
2020.07.31,"8,110","8,240","8,250","8,110","2,051,856"
2020.07.30,"8,240","8,270","8,340","8,220","1,445,972"
2020.07.29,"8,260","8,250","8,340","8,220","1,200,391"
2020.07.28,"8,300","8,300","8,400","8,250","1,916,364"
2020.07.27,"8,290","8,250","8,400","8,250","1,210,824"
2020.07.24,"8,250","8,210","8,330","8,170","1,220,735"
2020.07.23,"8,250","8,350","8,380","8,210","1,877,647"
2020.07.22,"8,350","8,320","8,600","8,300","3,437,481"
2020.07.21,"8,260","8,330","8,400","8,200","1,740,152"
2020.07.20,"8,330","8,180","8,340","8,140","1,604,882"
2020.07.17,"8,200","8,280","8,300","8,180","1,294,068"
2020.07.16,"8,290","8,300","8,370","8,180","1,429,668"
2020.07.15,"8,260","8,170","8,380","8,160","2,221,196"
2020.07.14,"8,100","8,060","8,100","8,020","979,442"
2020.07.13,"8,150","7,980","8,150","7,900","1,537,523"
2020.07.10,"7,870","8,000","8,020","7,860","2,175,370"
2020.07.09,"8,020","8,150","8,160","8,020","1,803,494"
2020.07.08,"8,130","8,090","8,190","8,090","1,331,489"
2020.07.07,"8,140","8,270","8,330","8,140","1,655,384"
2020.07.06,"8,210","8,170","8,220","8,070","1,480,755"
2020.07.03,"8,170","8,170","8,260","8,120","967,410"
