날짜,종가,시가,고가,저가,거래량
2020.09.11,"345,500","349,000","350,500","345,500","10,877"
2020.09.10,"349,000","345,000","349,000","340,500","26,588"
2020.09.09,"343,000","349,000","349,500","341,500","26,969"
2020.09.08,"351,000","345,500","353,500","344,500","36,073"
2020.09.07,"343,000","349,000","349,500","341,500","34,481"
2020.09.04,"347,500","352,000","352,500","346,500","37,468"
2020.09.03,"354,500","360,000","360,500","353,500","35,844"
2020.09.02,"356,000","361,500","361,500","355,000","20,816"
2020.09.01,"358,000","359,500","359,500","355,000","24,518"
2020.08.31,"359,500","365,500","367,500","358,500","27,793"
2020.08.28,"364,000","376,500","376,500","363,000","45,252"
2020.08.27,"375,000","359,000","375,000","359,000","51,644"
2020.08.26,"359,000","362,500","362,500","357,000","24,037"
2020.08.25,"361,500","365,500","365,500","359,500","25,105"
2020.08.24,"361,000","362,000","366,500","360,500","20,928"
2020.08.21,"361,000","365,000","370,000","360,500","33,566"
2020.08.20,"363,500","374,000","378,000","362,000","34,104"
2020.08.19,"374,000","366,500","378,500","366,500","30,897"
2020.08.18,"368,000","374,000","376,500","367,500","41,396"
2020.08.14,"370,500","378,000","382,000","370,500","39,815"
2020.08.13,"379,000","381,000","384,000","371,000","64,079"
2020.08.12,"378,000","377,000","392,000","375,000","70,442"
2020.08.11,"374,000","373,000","376,500","370,500","32,226"
2020.08.10,"372,500","376,500","377,000","370,500","31,024"
2020.08.07,"376,500","372,000","378,000","372,000","23,435"
2020.08.06,"374,000","381,000","386,000","372,500","45,580"
2020.08.05,"381,000","380,500","383,000","376,000","30,704"
2020.08.04,"380,000","381,000","386,000","373,500","30,935"
2020.08.03,"381,500","370,000","384,000","365,000","50,684"
2020.07.31,"369,000","362,000","369,500","359,000","39,033"
2020.07.30,"360,000","362,000","365,000","359,000","22,125"
2020.07.29,"362,000","363,000","368,500","361,000","24,347"
2020.07.28,"365,000","363,500","366,000","361,000","35,075"
2020.07.27,"365,000","367,000","369,000","362,500","24,706"
2020.07.24,"367,000","367,500","370,500","365,500","26,595"
2020.07.23,"367,500","372,000","375,500","367,500","31,236"
2020.07.22,"368,000","370,000","373,500","366,000","30,954"
2020.07.21,"371,000","376,500","383,000","370,500","31,955"
2020.07.20,"374,000","373,000","379,000","370,500","33,206"
2020.07.17,"370,500","378,000","379,000","367,000","26,216"
2020.07.16,"376,500","384,000","387,000","375,000","25,406"
2020.07.15,"383,500","396,500","396,500","381,000","29,205"
2020.07.14,"391,500","388,000","401,500","386,000","46,186"
2020.07.13,"387,000","389,000","389,500","383,000","28,996"
2020.07.10,"383,500","383,500","388,500","382,500","19,442"
2020.07.09,"385,000","381,500","388,500","378,000","32,615"
2020.07.08,"380,500","380,000","383,500","372,500","26,023"
2020.07.07,"380,000","380,500","383,000","374,500","27,918"
2020.07.06,"379,000","370,000","382,500","367,500","38,930"
2020.07.03,"366,000","371,500","374,000","362,500","33,602"
