날짜,종가,시가,고가,저가,거래량
2020.09.11,"86,700","89,300","90,000","84,000","1,066,115"
2020.09.10,"92,800","97,800","97,900","92,800","642,280"
2020.09.09,"94,900","94,200","97,300","93,000","513,910"
2020.09.08,"96,000","96,700","98,400","93,600","385,687"
2020.09.07,"96,700","90,400","99,900","90,300","730,832"
2020.09.04,"90,900","89,400","92,300","87,400","415,768"
2020.09.03,"92,000","94,200","95,700","91,800","301,523"
2020.09.02,"93,800","94,600","95,200","92,700","279,178"
2020.09.01,"94,200","88,100","95,000","87,700","790,761"
2020.08.31,"86,900","89,400","93,500","86,900","783,899"
2020.08.28,"89,200","79,000","89,600","78,800","910,007"
2020.08.27,"78,600","80,300","81,000","78,500","223,885"
2020.08.26,"80,800","81,400","81,600","79,700","160,617"
2020.08.25,"81,400","79,300","82,000","79,100","202,841"
2020.08.24,"78,500","78,800","79,500","77,200","163,717"
2020.08.21,"78,800","78,900","80,100","77,900","224,178"
2020.08.20,"78,900","82,000","82,100","77,400","367,866"
2020.08.19,"82,300","82,500","83,800","82,200","194,522"
2020.08.18,"82,700","87,200","87,200","82,200","384,080"
2020.08.14,"87,200","86,800","88,400","86,300","170,636"
2020.08.13,"86,800","89,200","89,500","85,900","317,748"
2020.08.12,"88,000","87,100","88,000","85,000","207,762"
2020.08.11,"87,300","86,300","89,100","86,300","346,139"
2020.08.10,"85,800","86,100","86,200","84,300","259,209"
2020.08.07,"86,300","85,200","88,100","84,800","355,108"
2020.08.06,"84,900","84,600","85,600","84,200","242,822"
2020.08.05,"84,600","87,600","87,700","83,800","431,556"
2020.08.04,"86,700","83,800","90,400","83,800","807,738"
2020.08.03,"83,200","84,300","84,500","82,400","190,424"
2020.07.31,"83,700","85,100","87,500","83,400","437,698"
2020.07.30,"83,700","84,400","84,400","83,300","141,058"
2020.07.29,"84,100","83,100","84,600","82,600","137,754"
2020.07.28,"83,700","84,400","85,300","82,800","236,271"
2020.07.27,"84,300","86,500","87,600","83,600","218,436"
2020.07.24,"86,500","86,300","87,700","85,500","120,883"
2020.07.23,"87,100","89,500","89,500","86,700","148,736"
2020.07.22,"89,500","90,300","91,700","88,600","202,543"
2020.07.21,"90,000","91,400","92,200","89,600","208,357"
2020.07.20,"91,800","89,000","92,900","88,300","261,412"
2020.07.17,"88,900","89,400","90,300","87,700","116,094"
2020.07.16,"89,400","87,000","90,700","86,800","248,857"
2020.07.15,"87,000","87,400","89,900","86,900","357,192"
2020.07.14,"86,100","84,900","86,500","83,400","215,438"
2020.07.13,"84,900","82,700","85,700","81,600","220,055"
2020.07.10,"82,000","83,000","83,400","81,700","132,392"
2020.07.09,"82,900","83,300","85,100","82,900","167,005"
2020.07.08,"83,300","84,300","85,200","83,300","149,496"
2020.07.07,"84,700","85,400","86,400","84,500","132,270"
2020.07.06,"85,000","84,600","85,000","83,300","105,693"
2020.07.03,"84,600","85,400","85,400","83,600","76,508"
