날짜,종가,시가,고가,저가,거래량
2020.09.11,"165,000","162,000","171,000","160,000","94,083"
2020.09.10,"162,500","164,500","167,000","156,500","227,622"
2020.09.09,"164,000","151,000","173,500","150,500","485,086"
2020.09.08,"153,500","147,000","164,500","145,500","690,399"
2020.09.07,"145,000","118,000","150,000","116,000","915,584"
2020.09.04,"115,500","114,500","116,000","113,000","108,767"
2020.09.03,"119,000","117,500","120,000","116,000","60,617"
2020.09.02,"116,500","115,500","119,000","114,500","50,379"
2020.09.01,"115,000","119,000","119,500","114,000","80,280"
2020.08.31,"118,000","115,000","121,000","115,000","94,774"
2020.08.28,"114,000","116,000","117,500","114,000","39,312"
2020.08.27,"114,500","114,000","116,000","113,000","26,230"
2020.08.26,"114,500","118,000","118,000","112,500","51,938"
2020.08.25,"118,000","115,000","120,000","113,500","54,907"
2020.08.24,"113,500","112,500","115,000","110,500","26,812"
2020.08.21,"112,500","112,000","115,500","112,000","45,950"
2020.08.20,"111,000","116,500","117,000","110,000","56,636"
2020.08.19,"118,000","117,000","120,000","116,000","28,831"
2020.08.18,"117,000","122,500","123,000","117,000","62,621"
2020.08.14,"121,500","120,500","123,500","119,000","66,043"
2020.08.13,"119,000","123,000","123,000","119,000","53,078"
2020.08.12,"120,000","121,000","121,500","117,500","41,395"
2020.08.11,"120,000","121,500","124,000","119,500","74,357"
2020.08.10,"119,000","116,000","122,000","114,500","94,694"
2020.08.07,"116,000","120,000","120,500","115,000","58,845"
2020.08.06,"119,500","117,000","122,000","116,000","68,205"
2020.08.05,"116,500","115,500","117,500","113,500","40,695"
2020.08.04,"115,500","113,500","119,000","113,500","64,460"
2020.08.03,"113,500","115,500","116,000","113,000","27,796"
2020.07.31,"116,500","115,500","117,000","113,000","68,656"
2020.07.30,"116,000","121,000","121,500","115,000","108,926"
2020.07.29,"120,500","125,000","126,500","119,000","231,753"
2020.07.28,"129,500","126,000","130,000","123,500","87,545"
2020.07.27,"124,500","123,000","128,000","121,500","55,380"
2020.07.24,"122,500","120,500","124,000","120,000","23,361"
2020.07.23,"122,500","126,500","127,000","120,500","40,837"
2020.07.22,"125,000","122,000","130,000","121,000","90,606"
2020.07.21,"121,000","124,500","126,000","120,000","63,773"
2020.07.20,"124,500","125,000","126,500","122,500","35,197"
2020.07.17,"124,500","128,000","131,000","123,000","38,619"
2020.07.16,"127,500","130,000","130,500","125,500","39,859"
2020.07.15,"129,000","126,000","132,500","126,000","109,855"
2020.07.14,"122,500","122,000","128,000","122,000","66,853"
2020.07.13,"124,000","116,000","125,000","115,000","92,819"
2020.07.10,"114,500","116,500","117,000","113,500","31,489"
2020.07.09,"117,500","117,500","118,500","115,500","55,246"
2020.07.08,"116,500","115,500","119,000","114,000","40,020"
2020.07.07,"115,500","112,000","118,000","110,500","67,198"
2020.07.06,"111,500","111,500","114,500","109,500","42,424"
2020.07.03,"111,000","111,500","113,000","109,500","18,186"
