날짜,종가,시가,고가,저가,거래량
2020.09.11,"74,100","74,900","74,900","73,800","50,353"
2020.09.10,"75,100","76,300","76,700","74,200","102,892"
2020.09.09,"75,600","76,400","76,400","74,700","179,643"
2020.09.08,"77,700","78,900","78,900","77,200","142,601"
2020.09.07,"78,000","78,900","80,200","77,100","264,594"
2020.09.04,"76,300","73,300","77,900","72,500","261,776"
2020.09.03,"76,200","76,800","77,200","75,700","120,220"
2020.09.02,"75,800","74,000","75,900","73,000","137,373"
2020.09.01,"72,900","73,100","73,900","72,100","96,267"
2020.08.31,"73,100","72,000","74,600","71,600","188,633"
2020.08.28,"71,500","72,100","72,400","70,600","102,254"
2020.08.27,"71,100","72,100","73,500","71,000","145,555"
2020.08.26,"72,000","72,900","73,400","71,600","119,148"
2020.08.25,"72,600","72,900","73,200","71,100","148,519"
2020.08.24,"72,400","72,100","73,400","71,200","96,608"
2020.08.21,"72,000","72,400","73,900","70,100","143,830"
2020.08.20,"71,400","75,900","76,900","70,900","219,701"
2020.08.19,"76,000","75,600","76,800","74,800","95,442"
2020.08.18,"75,600","76,100","78,300","74,200","171,617"
2020.08.14,"76,800","80,000","80,000","76,800","135,479"
2020.08.13,"79,200","79,100","80,000","77,600","174,720"
2020.08.12,"79,100","79,900","80,700","77,700","176,586"
2020.08.11,"79,600","77,700","81,000","77,300","364,904"
2020.08.10,"77,500","78,200","78,200","76,300","148,253"
2020.08.07,"78,300","78,500","79,700","77,900","206,350"
2020.08.06,"77,700","79,100","79,600","76,700","234,465"
2020.08.05,"78,900","80,500","80,500","78,000","207,802"
2020.08.04,"79,800","76,200","79,800","76,200","333,695"
2020.08.03,"75,900","76,500","77,000","74,700","140,363"
2020.07.31,"76,000","74,800","76,000","73,600","169,057"
2020.07.30,"74,700","75,600","75,600","73,600","152,301"
2020.07.29,"75,000","75,700","76,000","75,000","102,448"
2020.07.28,"76,300","76,200","77,300","75,100","138,461"
2020.07.27,"76,100","78,400","78,900","75,800","174,697"
2020.07.24,"77,300","74,200","78,300","74,000","440,432"
2020.07.23,"73,200","78,000","78,500","73,000","331,765"
2020.07.22,"76,300","77,500","77,600","74,800","141,672"
2020.07.21,"77,200","75,600","78,200","75,400","193,624"
2020.07.20,"74,800","75,200","75,700","72,200","182,694"
2020.07.17,"75,200","74,600","76,500","74,000","153,238"
2020.07.16,"75,300","79,400","79,500","74,600","301,044"
2020.07.15,"79,100","80,400","81,600","78,300","183,522"
2020.07.14,"80,200","80,000","81,600","78,900","120,998"
2020.07.13,"80,600","81,800","81,800","79,800","137,874"
2020.07.10,"80,900","81,100","81,500","79,400","145,989"
2020.07.09,"80,600","81,500","82,200","80,200","170,348"
2020.07.08,"81,000","81,500","84,500","80,000","312,101"
2020.07.07,"81,400","78,000","81,500","77,600","466,098"
2020.07.06,"77,600","73,000","78,700","72,700","498,369"
2020.07.03,"72,200","72,400","73,400","70,200","303,504"
