날짜,종가,시가,고가,저가,거래량
2020.09.11,"112,000","115,000","116,500","111,500","123,750"
2020.09.10,"115,000","117,000","117,500","112,000","262,121"
2020.09.09,"115,000","117,000","119,000","113,500","352,632"
2020.09.08,"120,000","127,500","136,000","118,500","1,305,998"
2020.09.07,"124,000","127,000","129,000","121,500","708,350"
2020.09.04,"126,500","112,000","133,000","109,500","2,501,985"
2020.09.03,"106,500","105,500","108,500","105,000","184,549"
2020.09.02,"105,500","102,000","107,000","101,500","403,669"
2020.09.01,"100,000","101,000","102,000","99,500","69,196"
2020.08.31,"101,000","100,500","101,000","97,600","179,939"
2020.08.28,"99,800","102,500","102,500","99,700","127,241"
2020.08.27,"103,000","102,500","106,000","102,000","320,229"
2020.08.26,"101,000","101,500","101,500","99,900","76,652"
2020.08.25,"101,000","101,000","101,500","99,500","64,856"
2020.08.24,"100,500","98,500","101,500","97,500","101,476"
2020.08.21,"99,400","99,100","99,500","97,400","52,281"
2020.08.20,"99,000","100,000","101,000","97,500","83,094"
2020.08.19,"101,000","99,700","101,000","99,400","139,460"
2020.08.18,"98,600","102,500","102,500","98,500","166,899"
2020.08.14,"102,000","102,000","102,000","100,000","81,182"
2020.08.13,"101,000","104,000","104,500","101,000","68,848"
2020.08.12,"103,000","101,000","103,500","101,000","101,423"
2020.08.11,"100,500","100,500","102,000","100,000","55,576"
2020.08.10,"100,500","102,500","102,500","100,000","108,229"
2020.08.07,"102,000","102,000","102,500","101,000","85,084"
2020.08.06,"102,500","104,500","105,000","101,500","229,034"
2020.08.05,"105,000","106,000","106,500","104,000","72,977"
2020.08.04,"104,500","105,000","106,000","103,500","137,812"
2020.08.03,"103,500","105,500","106,500","103,500","85,585"
2020.07.31,"104,500","106,000","110,000","104,000","152,062"
2020.07.30,"105,000","105,000","105,500","104,000","71,718"
2020.07.29,"105,000","105,500","108,000","104,000","68,630"
2020.07.28,"105,000","105,500","106,000","105,000","45,597"
2020.07.27,"105,000","105,500","106,500","104,500","71,992"
2020.07.24,"105,500","106,000","107,500","105,000","57,538"
2020.07.23,"107,000","107,000","107,500","105,500","58,451"
2020.07.22,"106,500","108,000","108,000","106,000","83,156"
2020.07.21,"109,000","106,500","110,000","106,000","117,421"
2020.07.20,"105,000","106,000","107,000","104,500","79,003"
2020.07.17,"105,000","106,000","107,000","104,500","53,868"
2020.07.16,"106,000","109,000","109,000","104,500","112,211"
2020.07.15,"109,000","111,500","111,500","106,000","156,309"
2020.07.14,"110,000","110,000","111,500","108,000","169,076"
2020.07.13,"110,000","109,500","110,000","107,000","132,011"
2020.07.10,"108,000","107,000","109,500","105,500","233,254"
2020.07.09,"106,000","106,500","106,500","103,500","95,731"
2020.07.08,"104,000","106,500","107,500","103,500","91,240"
2020.07.07,"106,500","108,000","109,500","105,000","151,703"
2020.07.06,"106,000","106,000","107,000","103,500","102,778"
2020.07.03,"105,000","102,000","106,000","101,000","132,024"
