날짜,종가,시가,고가,저가,거래량
2020.09.11,"30,000","29,900","30,100","29,850","61,721"
2020.09.10,"29,950","30,100","30,250","29,950","150,801"
2020.09.09,"30,000","29,950","30,300","29,900","139,132"
2020.09.08,"30,250","30,550","30,700","30,250","162,638"
2020.09.07,"30,450","29,950","30,650","29,800","157,429"
2020.09.04,"30,050","29,750","30,200","29,700","182,902"
2020.09.03,"30,400","30,400","30,600","30,200","188,061"
2020.09.02,"30,400","30,200","30,600","30,150","118,507"
2020.09.01,"30,150","29,900","30,350","29,850","138,944"
2020.08.31,"30,000","30,350","30,850","30,000","205,943"
2020.08.28,"30,550","30,100","30,550","30,050","152,839"
2020.08.27,"29,950","30,150","30,250","29,900","172,332"
2020.08.26,"30,250","30,650","30,850","30,050","153,616"
2020.08.25,"30,700","30,050","30,750","30,050","139,676"
2020.08.24,"29,950","30,300","30,450","29,600","182,575"
2020.08.21,"30,350","30,500","30,750","30,150","204,987"
2020.08.20,"30,400","30,900","31,100","30,400","283,892"
2020.08.19,"31,250","31,050","31,600","31,050","177,265"
2020.08.18,"31,000","32,950","33,000","30,900","408,673"
2020.08.14,"33,450","33,300","35,100","33,050","925,491"
2020.08.13,"32,450","32,350","33,250","32,150","416,554"
2020.08.12,"32,250","31,400","32,450","31,100","335,384"
2020.08.11,"31,450","30,550","31,550","30,450","322,720"
2020.08.10,"30,650","30,500","30,750","30,200","173,875"
2020.08.07,"30,500","30,700","31,250","30,500","188,709"
2020.08.06,"30,900","30,350","31,000","30,200","214,426"
2020.08.05,"30,350","30,700","30,800","30,200","307,625"
2020.08.04,"30,800","30,500","30,950","30,300","150,023"
2020.08.03,"30,500","31,000","31,150","30,450","174,780"
2020.07.31,"31,000","30,900","31,200","30,800","130,394"
2020.07.30,"30,900","31,050","31,400","30,800","181,555"
2020.07.29,"30,950","31,100","31,300","30,850","226,327"
2020.07.28,"31,350","31,500","31,750","31,300","195,308"
2020.07.27,"31,500","31,350","32,350","31,350","248,702"
2020.07.24,"31,750","32,400","32,400","31,650","381,876"
2020.07.23,"33,000","37,250","38,200","32,700","2,314,217"
2020.07.22,"31,300","31,850","31,950","31,200","253,991"
2020.07.21,"31,800","31,450","32,000","31,450","144,473"
2020.07.20,"31,550","31,450","31,750","31,150","107,553"
2020.07.17,"31,300","31,600","31,700","31,150","100,096"
2020.07.16,"31,450","31,350","31,550","31,100","85,376"
2020.07.15,"31,350","31,200","31,700","31,050","176,289"
2020.07.14,"30,850","30,600","30,900","30,300","134,051"
2020.07.13,"30,650","30,150","30,800","30,150","155,246"
2020.07.10,"30,250","31,300","31,550","30,100","229,318"
2020.07.09,"31,500","31,600","31,800","31,400","129,122"
2020.07.08,"31,600","31,500","31,850","31,450","118,482"
2020.07.07,"31,350","32,100","32,100","31,300","204,158"
2020.07.06,"31,800","31,850","32,200","31,350","142,433"
2020.07.03,"31,850","31,850","32,100","31,700","156,392"
