날짜,종가,시가,고가,저가,거래량
2020.09.11,"204,000","206,500","211,000","202,500","119,433"
2020.09.10,"208,000","211,000","213,000","202,000","392,944"
2020.09.09,"208,500","197,500","214,000","197,000","568,084"
2020.09.08,"200,500","204,500","207,000","199,500","382,137"
2020.09.07,"205,000","183,000","206,000","181,000","926,441"
2020.09.04,"183,000","178,000","183,500","178,000","130,752"
2020.09.03,"183,500","181,000","189,500","178,000","320,641"
2020.09.02,"180,500","189,500","189,500","178,000","248,537"
2020.09.01,"186,500","189,000","189,500","184,500","155,727"
2020.08.31,"189,500","187,000","192,000","185,500","470,660"
2020.08.28,"182,500","182,000","184,000","178,000","182,022"
2020.08.27,"180,000","173,500","183,000","172,500","369,517"
2020.08.26,"173,500","177,000","177,000","170,500","143,346"
2020.08.25,"175,500","173,000","179,500","172,500","176,596"
2020.08.24,"171,000","169,500","172,000","167,500","91,708"
2020.08.21,"171,500","171,000","172,500","169,000","126,895"
2020.08.20,"169,000","177,500","177,500","168,500","239,731"
2020.08.19,"179,500","178,000","180,000","174,500","107,471"
2020.08.18,"176,000","184,500","186,000","175,500","232,471"
2020.08.14,"188,000","191,500","192,000","184,500","131,356"
2020.08.13,"191,000","193,500","194,500","189,500","288,259"
2020.08.12,"189,500","190,500","191,500","184,500","192,140"
2020.08.11,"190,000","190,500","198,000","188,000","408,695"
2020.08.10,"190,000","174,000","193,000","173,000","722,396"
2020.08.07,"175,500","180,500","182,000","174,000","318,464"
2020.08.06,"179,000","172,000","184,000","171,000","555,578"
2020.08.05,"171,000","169,500","171,000","168,500","137,416"
2020.08.04,"169,500","168,500","171,500","168,000","122,149"
2020.08.03,"168,500","169,500","170,000","167,500","115,443"
2020.07.31,"168,500","170,000","172,000","168,000","133,395"
2020.07.30,"170,000","172,500","174,000","169,500","170,392"
2020.07.29,"171,500","170,500","173,500","170,000","110,746"
2020.07.28,"171,500","171,000","174,000","170,500","154,676"
2020.07.27,"171,000","173,000","175,000","170,500","100,484"
2020.07.24,"173,000","172,000","174,500","169,500","85,832"
2020.07.23,"174,500","181,500","181,500","172,500","248,643"
2020.07.22,"180,500","175,500","186,000","175,000","342,476"
2020.07.21,"175,000","174,000","178,000","173,500","128,500"
2020.07.20,"175,000","177,000","178,000","173,500","92,527"
2020.07.17,"176,500","177,000","178,500","176,000","89,964"
2020.07.16,"178,000","177,500","178,500","177,000","88,050"
2020.07.15,"177,500","180,000","182,500","174,500","216,708"
2020.07.14,"176,000","174,000","178,500","173,500","111,912"
2020.07.13,"176,000","169,000","177,500","167,000","207,859"
2020.07.10,"167,500","173,000","173,000","167,000","144,734"
2020.07.09,"173,000","178,500","178,500","172,500","142,749"
2020.07.08,"176,500","175,000","176,500","173,000","100,047"
2020.07.07,"175,000","173,000","179,000","172,500","157,186"
2020.07.06,"171,500","172,000","173,000","168,500","93,105"
2020.07.03,"172,000","169,000","172,500","168,000","118,528"
