날짜,종가,시가,고가,저가,거래량
2020.09.11,"234,000","240,000","240,000","234,000","30,138"
2020.09.10,"240,000","236,200","243,000","236,000","52,015"
2020.09.09,"234,400","238,400","239,900","234,400","80,033"
2020.09.08,"242,000","241,200","246,700","241,100","73,872"
2020.09.07,"241,200","246,100","249,200","237,800","150,793"
2020.09.04,"246,100","244,700","253,000","242,100","173,164"
2020.09.03,"258,000","255,700","275,100","254,500","309,904"
2020.09.02,"272,900","254,800","276,600","251,300","469,171"
2020.09.01,"251,800","250,200","253,200","243,900","157,864"
2020.08.31,"249,700","250,100","252,100","245,100","169,116"
2020.08.28,"246,200","243,000","249,600","240,000","198,256"
2020.08.27,"240,100","242,400","242,400","232,400","196,754"
2020.08.26,"239,000","239,000","250,200","237,300","322,078"
2020.08.25,"235,900","210,300","250,000","210,300","721,441"
2020.08.24,"212,800","205,000","214,400","199,400","188,280"
2020.08.21,"210,100","221,500","224,600","204,600","338,983"
2020.08.20,"226,100","242,600","249,500","221,000","341,519"
2020.08.19,"238,800","259,500","278,400","225,600","1,715,341"
2020.08.18,"243,100","243,100","243,100","243,100","161,901"
2020.08.14,"187,000","181,200","193,500","175,100","344,064"
2020.08.13,"179,700","174,500","183,200","172,800","194,274"
2020.08.12,"172,000","174,500","177,000","169,300","120,376"
2020.08.11,"177,300","180,100","180,800","176,700","112,835"
2020.08.10,"181,500","184,400","186,400","181,100","139,564"
2020.08.07,"186,000","185,100","215,000","180,800","782,201"
2020.08.06,"181,500","182,800","183,900","177,500","122,107"
2020.08.05,"181,000","178,000","183,000","175,300","157,808"
2020.08.04,"176,000","169,000","176,800","169,000","140,294"
2020.08.03,"169,000","173,000","173,000","168,000","84,759"
2020.07.31,"172,700","175,500","175,800","169,200","150,475"
2020.07.30,"172,900","167,000","189,800","165,200","834,594"
2020.07.29,"164,700","164,900","167,400","160,500","104,344"
2020.07.28,"164,000","168,000","168,200","159,500","271,055"
2020.07.27,"171,000","172,300","178,500","170,000","149,601"
2020.07.24,"171,900","173,500","179,400","169,200","202,982"
2020.07.23,"175,300","180,200","180,300","175,000","177,059"
2020.07.22,"180,500","184,100","184,100","179,600","117,621"
2020.07.21,"183,200","184,200","186,800","181,700","117,508"
2020.07.20,"183,100","184,300","185,200","179,400","140,362"
2020.07.17,"185,700","187,600","189,000","182,700","114,037"
2020.07.16,"187,300","184,500","191,400","181,600","140,923"
2020.07.15,"187,500","200,800","200,800","187,300","220,107"
2020.07.14,"200,000","192,400","200,000","185,600","452,600"
2020.07.13,"198,000","209,600","209,600","196,300","337,502"
2020.07.10,"204,400","198,900","209,900","191,500","907,888"
2020.07.09,"219,400","252,800","254,200","211,400","879,960"
2020.07.08,"252,600","233,000","275,000","233,000","1,765,588"
2020.07.07,"215,800","215,800","215,800","215,800","187,389"
2020.07.06,"166,000","173,900","174,000","156,600","763,070"
2020.07.03,"167,900","161,200","168,800","158,100","380,765"
