날짜,종가,시가,고가,저가,거래량
2020.09.11,"3,195","3,210","3,220","3,195","1,043,450"
2020.09.10,"3,235","3,245","3,255","3,215","2,222,261"
2020.09.09,"3,225","3,220","3,245","3,215","2,408,780"
2020.09.08,"3,275","3,290","3,340","3,270","2,338,381"
2020.09.07,"3,280","3,225","3,295","3,205","1,746,836"
2020.09.04,"3,225","3,180","3,240","3,180","2,816,813"
2020.09.03,"3,270","3,320","3,320","3,270","2,055,925"
2020.09.02,"3,290","3,250","3,315","3,230","2,342,864"
2020.09.01,"3,225","3,205","3,245","3,200","1,761,098"
2020.08.31,"3,205","3,290","3,335","3,205","3,338,072"
2020.08.28,"3,280","3,270","3,330","3,250","2,335,417"
2020.08.27,"3,250","3,320","3,325","3,215","2,894,258"
2020.08.26,"3,320","3,380","3,380","3,295","2,517,393"
2020.08.25,"3,390","3,305","3,420","3,290","2,656,094"
2020.08.24,"3,285","3,325","3,335","3,260","2,312,160"
2020.08.21,"3,325","3,290","3,355","3,255","2,669,353"
2020.08.20,"3,275","3,445","3,465","3,240","4,820,465"
2020.08.19,"3,485","3,520","3,585","3,485","2,486,157"
2020.08.18,"3,500","3,620","3,625","3,485","5,171,812"
2020.08.14,"3,580","3,570","3,615","3,505","3,943,513"
2020.08.13,"3,575","3,625","3,645","3,520","6,265,583"
2020.08.12,"3,600","3,480","3,600","3,420","7,962,588"
2020.08.11,"3,455","3,610","3,665","3,440","9,126,981"
2020.08.10,"3,500","3,410","3,510","3,380","5,735,708"
2020.08.07,"3,350","3,460","3,475","3,335","3,659,824"
2020.08.06,"3,410","3,495","3,565","3,385","5,862,913"
2020.08.05,"3,490","3,665","3,670","3,460","9,151,806"
2020.08.04,"3,455","3,155","3,455","3,145","10,319,453"
2020.08.03,"3,120","3,100","3,135","3,070","1,649,958"
2020.07.31,"3,080","3,125","3,140","3,080","2,296,211"
2020.07.30,"3,125","3,120","3,160","3,110","1,318,862"
2020.07.29,"3,115","3,140","3,150","3,110","2,086,062"
2020.07.28,"3,150","3,170","3,215","3,150","1,817,814"
2020.07.27,"3,155","3,150","3,225","3,150","1,670,894"
2020.07.24,"3,145","3,155","3,185","3,120","1,898,241"
2020.07.23,"3,185","3,290","3,295","3,180","2,941,090"
2020.07.22,"3,290","3,320","3,365","3,285","2,521,673"
2020.07.21,"3,305","3,265","3,320","3,220","3,571,480"
2020.07.20,"3,250","3,300","3,320","3,205","2,257,558"
2020.07.17,"3,285","3,190","3,320","3,190","3,968,128"
2020.07.16,"3,185","3,165","3,235","3,145","4,180,549"
2020.07.15,"3,150","3,180","3,205","3,105","3,092,134"
2020.07.14,"3,115","3,060","3,125","3,060","1,655,170"
2020.07.13,"3,080","3,015","3,095","2,970","2,219,604"
2020.07.10,"3,000","3,085","3,090","2,990","2,226,512"
2020.07.09,"3,085","3,105","3,125","3,080","1,494,392"
2020.07.08,"3,100","3,110","3,150","3,085","1,681,216"
2020.07.07,"3,145","3,185","3,185","3,100","1,604,726"
2020.07.06,"3,125","3,065","3,145","3,025","1,808,285"
2020.07.03,"3,060","3,075","3,095","3,030","1,136,600"
