날짜,종가,시가,고가,저가,거래량
2020.09.11,"9,200","9,020","9,210","9,000","1,539,884"
2020.09.10,"9,120","9,190","9,240","9,100","3,641,378"
2020.09.09,"9,100","9,270","9,380","9,060","4,518,196"
2020.09.08,"9,440","9,660","9,740","9,400","2,929,601"
2020.09.07,"9,600","9,450","9,720","9,310","3,138,137"
2020.09.04,"9,450","9,300","9,480","9,300","3,700,361"
2020.09.03,"9,720","9,870","9,890","9,660","2,638,814"
2020.09.02,"9,770","9,760","9,870","9,630","4,512,750"
2020.09.01,"9,590","9,320","9,630","9,310","3,155,048"
2020.08.31,"9,300","9,590","9,800","9,300","4,788,904"
2020.08.28,"9,490","9,560","9,750","9,410","4,148,733"
2020.08.27,"9,360","9,550","9,640","9,330","3,065,281"
2020.08.26,"9,560","9,700","9,750","9,410","3,003,282"
2020.08.25,"9,690","9,410","9,790","9,360","5,129,682"
2020.08.24,"9,320","9,250","9,380","9,070","2,659,507"
2020.08.21,"9,230","9,020","9,270","8,850","3,887,190"
2020.08.20,"8,890","9,220","9,410","8,830","5,406,199"
2020.08.19,"9,270","9,150","9,330","9,130","3,562,465"
2020.08.18,"9,020","9,150","9,490","8,920","5,376,324"
2020.08.14,"9,150","9,470","9,470","9,090","3,665,928"
2020.08.13,"9,480","9,490","9,580","9,270","4,635,390"
2020.08.12,"9,380","9,400","9,550","9,050","4,652,751"
2020.08.11,"9,430","9,660","9,930","9,400","8,424,606"
2020.08.10,"9,490","8,890","9,500","8,880","9,216,565"
2020.08.07,"8,810","8,980","9,020","8,620","5,127,224"
2020.08.06,"8,840","8,990","9,100","8,660","6,027,898"
2020.08.05,"8,960","9,060","9,190","8,800","6,962,066"
2020.08.04,"8,540","8,070","8,540","8,070","6,792,951"
2020.08.03,"8,020","7,990","8,080","7,900","2,843,507"
2020.07.31,"7,890","7,630","8,040","7,580","6,002,025"
2020.07.30,"7,460","7,580","7,650","7,460","1,945,831"
2020.07.29,"7,560","7,460","7,600","7,390","1,895,982"
2020.07.28,"7,540","7,570","7,660","7,480","2,233,695"
2020.07.27,"7,540","7,510","7,730","7,470","2,267,867"
2020.07.24,"7,530","7,600","7,770","7,470","2,832,089"
2020.07.23,"7,720","8,010","8,020","7,670","4,145,975"
2020.07.22,"8,040","8,030","8,290","8,000","3,419,288"
2020.07.21,"7,980","7,830","8,170","7,740","5,246,971"
2020.07.20,"7,710","7,950","7,960","7,610","3,282,676"
2020.07.17,"7,910","7,580","7,950","7,580","5,462,291"
2020.07.16,"7,570","7,360","7,720","7,360","4,437,326"
2020.07.15,"7,400","7,260","7,420","7,210","4,946,484"
2020.07.14,"7,070","7,090","7,130","6,950","2,820,530"
2020.07.13,"7,160","6,940","7,300","6,890","5,858,403"
2020.07.10,"6,850","6,990","6,990","6,850","2,153,521"
2020.07.09,"6,990","6,990","7,020","6,910","1,956,622"
2020.07.08,"6,960","6,900","6,970","6,870","1,603,216"
2020.07.07,"6,900","7,000","7,040","6,880","2,336,558"
2020.07.06,"6,890","6,810","6,930","6,740","1,858,072"
2020.07.03,"6,800","6,780","6,850","6,730","1,294,379"
