날짜,종가,시가,고가,저가,거래량
2020.09.11,"112,500","108,000","116,500","108,000","1,185,632"
2020.09.10,"108,500","110,000","110,500","108,000","619,678"
2020.09.09,"108,000","109,000","110,000","107,500","480,233"
2020.09.08,"111,000","109,500","112,000","109,000","441,253"
2020.09.07,"109,000","108,000","109,500","107,500","373,531"
2020.09.04,"107,500","106,500","108,500","106,000","534,339"
2020.09.03,"109,500","109,000","110,500","108,000","453,620"
2020.09.02,"108,500","110,500","111,000","107,000","605,126"
2020.09.01,"110,500","107,500","113,500","107,500","782,824"
2020.08.31,"108,000","112,000","114,000","108,000","1,059,470"
2020.08.28,"112,500","111,500","114,500","111,500","432,454"
2020.08.27,"111,000","115,500","115,500","111,000","741,838"
2020.08.26,"115,000","117,500","118,000","114,500","583,585"
2020.08.25,"118,000","117,500","119,000","116,000","589,944"
2020.08.24,"117,000","116,000","117,500","114,000","493,821"
2020.08.21,"115,500","115,500","118,500","114,000","711,139"
2020.08.20,"114,500","118,500","119,500","114,500","978,030"
2020.08.19,"120,500","118,500","121,500","117,500","823,147"
2020.08.18,"116,500","124,000","124,000","115,000","1,289,969"
2020.08.14,"124,000","127,500","129,000","120,500","1,478,454"
2020.08.13,"126,500","125,000","130,000","121,500","3,201,899"
2020.08.12,"119,500","111,500","120,000","111,000","1,779,300"
2020.08.11,"110,500","109,500","112,500","109,000","741,766"
2020.08.10,"109,500","106,000","111,000","105,500","713,622"
2020.08.07,"106,500","109,000","109,500","106,000","427,843"
2020.08.06,"108,500","109,500","111,000","108,000","569,838"
2020.08.05,"106,000","105,500","107,000","104,500","399,085"
2020.08.04,"105,000","104,000","106,500","104,000","316,832"
2020.08.03,"104,000","105,500","106,000","103,500","496,866"
2020.07.31,"106,000","108,500","109,000","106,000","427,425"
2020.07.30,"108,000","110,500","111,500","108,000","325,177"
2020.07.29,"110,500","107,500","111,000","107,000","493,854"
2020.07.28,"108,500","107,500","110,000","107,000","554,410"
2020.07.27,"106,500","105,500","108,500","105,500","244,253"
2020.07.24,"106,000","107,000","108,000","105,500","316,751"
2020.07.23,"108,000","110,500","110,500","107,500","324,123"
2020.07.22,"111,000","111,000","111,500","109,000","291,068"
2020.07.21,"110,000","108,000","111,000","108,000","374,236"
2020.07.20,"107,500","110,000","110,000","107,000","386,459"
2020.07.17,"110,000","109,000","110,500","108,500","233,421"
2020.07.16,"109,500","110,500","110,500","108,500","281,137"
2020.07.15,"111,000","110,000","112,000","109,000","426,006"
2020.07.14,"109,000","107,000","109,000","106,500","293,687"
2020.07.13,"108,000","105,500","108,000","105,000","368,363"
2020.07.10,"104,500","107,000","107,500","104,500","370,802"
2020.07.09,"107,000","109,000","109,500","106,500","529,951"
2020.07.08,"108,500","110,500","111,000","108,000","447,414"
2020.07.07,"110,500","114,000","114,000","109,500","469,616"
2020.07.06,"113,000","112,000","113,000","110,500","394,955"
2020.07.03,"112,000","114,500","116,000","110,000","711,497"
