날짜,종가,시가,고가,저가,거래량
2020.09.11,"63,400","62,700","63,700","62,200","302,638"
2020.09.10,"62,900","63,900","64,100","62,700","603,283"
2020.09.09,"63,200","63,000","63,600","62,700","660,525"
2020.09.08,"64,300","63,600","65,500","63,600","996,857"
2020.09.07,"63,200","63,000","64,200","62,600","615,367"
2020.09.04,"62,200","61,700","63,000","61,600","993,147"
2020.09.03,"64,300","64,100","65,300","63,200","805,461"
2020.09.02,"64,100","66,500","66,600","63,100","1,545,141"
2020.09.01,"65,600","60,900","66,600","60,700","2,641,377"
2020.08.31,"61,200","61,900","63,800","60,600","1,269,661"
2020.08.28,"60,500","60,000","62,400","59,400","1,069,308"
2020.08.27,"59,300","60,200","60,500","58,700","693,925"
2020.08.26,"60,200","61,100","61,600","59,800","724,543"
2020.08.25,"61,300","60,700","63,200","60,200","969,593"
2020.08.24,"60,100","59,000","60,200","57,800","968,817"
2020.08.21,"59,400","60,700","61,200","58,900","1,187,035"
2020.08.20,"59,600","61,500","62,400","59,400","1,612,953"
2020.08.19,"63,000","60,100","64,900","59,700","2,918,565"
2020.08.18,"59,100","64,500","66,800","58,700","3,076,232"
2020.08.14,"65,300","73,100","73,200","63,500","4,598,985"
2020.08.13,"71,900","61,100","75,900","60,600","7,226,406"
2020.08.12,"59,400","57,000","59,500","56,200","1,678,762"
2020.08.11,"56,300","55,900","58,200","54,400","1,791,625"
2020.08.10,"55,300","49,750","56,800","49,750","3,134,363"
2020.08.07,"49,250","50,600","50,600","48,350","799,344"
2020.08.06,"50,000","47,450","50,600","47,450","1,399,072"
2020.08.05,"47,400","47,400","47,800","47,200","339,550"
2020.08.04,"47,700","47,300","48,400","47,300","331,764"
2020.08.03,"47,350","47,500","47,800","47,150","380,733"
2020.07.31,"47,550","48,300","48,600","47,300","504,893"
2020.07.30,"48,100","48,950","49,650","47,950","602,830"
2020.07.29,"48,850","46,900","48,950","46,600","935,606"
2020.07.28,"47,100","46,600","47,250","46,500","414,355"
2020.07.27,"46,600","46,250","47,100","46,200","291,736"
2020.07.24,"46,300","46,100","46,800","46,100","282,820"
2020.07.23,"46,550","47,850","47,950","46,250","535,235"
2020.07.22,"47,950","47,550","49,100","47,450","724,625"
2020.07.21,"47,350","46,900","47,700","46,600","364,193"
2020.07.20,"46,950","46,750","47,100","46,200","242,019"
2020.07.17,"46,750","47,050","47,500","46,550","288,479"
2020.07.16,"47,050","46,250","47,250","46,150","490,218"
2020.07.15,"46,350","46,500","47,150","46,350","423,798"
2020.07.14,"46,050","45,350","46,100","45,250","241,717"
2020.07.13,"45,700","45,200","45,900","45,000","225,746"
2020.07.10,"44,900","45,900","46,050","44,800","362,303"
2020.07.09,"46,050","46,600","46,600","46,050","322,911"
2020.07.08,"46,150","46,000","46,650","46,000","250,973"
2020.07.07,"46,100","47,100","47,450","46,000","345,299"
2020.07.06,"46,650","45,400","46,750","45,250","333,176"
2020.07.03,"45,300","45,400","45,800","45,150","163,250"
