날짜,종가,시가,고가,저가,거래량
2020.09.11,"178,000","174,000","180,000","173,000","235,648"
2020.09.10,"174,500","179,000","181,000","174,000","405,860"
2020.09.09,"177,000","164,000","180,000","163,000","952,329"
2020.09.08,"166,000","159,000","170,500","159,000","496,328"
2020.09.07,"158,500","157,000","159,500","156,000","123,307"
2020.09.04,"157,000","155,500","159,000","155,500","152,981"
2020.09.03,"159,500","161,500","161,500","159,500","106,519"
2020.09.02,"161,500","159,500","161,500","159,000","110,943"
2020.09.01,"159,000","157,500","160,000","157,000","112,178"
2020.08.31,"157,500","160,000","163,000","157,500","274,563"
2020.08.28,"158,500","159,500","160,500","158,000","129,999"
2020.08.27,"159,000","161,500","163,000","159,000","157,082"
2020.08.26,"159,500","161,500","163,000","158,500","132,530"
2020.08.25,"161,500","160,500","161,500","158,500","134,536"
2020.08.24,"159,500","158,500","161,500","157,000","139,510"
2020.08.21,"158,000","159,500","160,500","155,500","175,466"
2020.08.20,"159,000","165,000","165,500","159,000","198,717"
2020.08.19,"166,000","168,000","168,000","166,000","93,726"
2020.08.18,"167,000","169,500","171,500","166,500","225,888"
2020.08.14,"169,000","170,500","172,000","167,500","153,695"
2020.08.13,"170,000","172,500","173,500","168,000","243,932"
2020.08.12,"172,500","165,500","172,500","165,000","291,858"
2020.08.11,"165,500","165,000","167,000","164,000","208,479"
2020.08.10,"164,500","166,000","166,500","164,000","194,407"
2020.08.07,"167,000","170,000","170,500","166,000","185,711"
2020.08.06,"169,500","169,000","171,500","168,500","157,527"
2020.08.05,"167,500","168,000","169,500","167,000","165,661"
2020.08.04,"167,500","167,500","170,000","167,000","125,955"
2020.08.03,"167,000","168,000","168,500","166,500","115,256"
2020.07.31,"166,500","170,000","171,000","166,500","216,569"
2020.07.30,"169,500","171,500","173,000","169,500","147,496"
2020.07.29,"171,500","172,500","174,000","171,000","96,495"
2020.07.28,"174,000","175,000","176,000","173,500","112,175"
2020.07.27,"173,500","171,000","176,500","171,000","99,521"
2020.07.24,"170,500","172,000","173,500","170,500","120,908"
2020.07.23,"173,500","177,000","177,000","173,500","145,642"
2020.07.22,"177,500","179,000","180,000","177,000","99,321"
2020.07.21,"180,000","180,000","181,000","178,500","90,356"
2020.07.20,"180,500","181,000","181,000","176,000","116,724"
2020.07.17,"180,500","179,000","182,500","178,500","100,801"
2020.07.16,"179,000","183,000","183,500","177,000","120,077"
2020.07.15,"183,000","186,000","187,500","182,500","127,883"
2020.07.14,"184,500","182,500","185,000","181,500","109,193"
2020.07.13,"183,500","180,000","184,000","177,500","183,988"
2020.07.10,"179,000","178,000","179,500","175,500","126,125"
2020.07.09,"177,500","180,000","180,000","175,500","138,180"
2020.07.08,"178,000","177,500","180,500","177,000","122,050"
2020.07.07,"177,000","179,500","180,000","176,500","105,224"
2020.07.06,"178,000","179,000","179,000","175,500","97,063"
2020.07.03,"177,500","176,500","178,500","175,000","91,334"
