날짜,종가,시가,고가,저가,거래량
2020.09.11,"58,600","59,300","59,400","58,500","9,024,144"
2020.09.10,"59,200","59,900","60,000","59,100","29,923,293"
2020.09.09,"58,400","58,200","59,300","57,800","30,597,399"
2020.09.08,"58,700","57,400","58,700","57,200","31,517,520"
2020.09.07,"56,500","56,100","57,300","55,800","18,685,880"
2020.09.04,"55,600","55,200","55,800","55,100","22,139,109"
2020.09.03,"56,400","55,600","56,700","55,500","28,384,920"
2020.09.02,"54,400","54,600","55,100","54,100","16,905,723"
2020.09.01,"54,200","54,100","54,800","54,100","19,363,117"
2020.08.31,"54,000","56,000","56,100","54,000","32,671,367"
2020.08.28,"55,400","56,100","56,300","55,400","14,619,888"
2020.08.27,"55,600","56,300","56,300","55,600","16,196,568"
2020.08.26,"56,400","56,400","56,500","55,700","17,651,593"
2020.08.25,"56,400","56,400","56,800","56,100","14,021,705"
2020.08.24,"56,100","55,800","56,600","55,400","15,055,896"
2020.08.21,"55,900","56,200","56,900","55,800","21,142,288"
2020.08.20,"55,400","57,600","57,600","55,300","30,386,029"
2020.08.19,"57,800","59,000","59,200","57,800","16,930,719"
2020.08.18,"58,400","58,900","59,900","58,000","25,307,825"
2020.08.14,"58,000","58,000","58,400","57,700","15,672,548"
2020.08.13,"58,700","59,400","59,600","58,000","22,089,460"
2020.08.12,"59,000","58,200","59,000","57,700","18,573,934"
2020.08.11,"58,200","58,000","59,500","57,800","24,907,912"
2020.08.10,"57,800","57,600","58,300","57,500","17,774,291"
2020.08.07,"57,500","57,900","58,400","57,100","18,751,717"
2020.08.06,"58,000","57,100","58,400","57,100","21,625,874"
2020.08.05,"56,900","57,300","57,500","56,300","17,739,706"
2020.08.04,"57,300","57,200","58,100","57,000","19,419,694"
2020.08.03,"56,800","57,800","57,900","56,700","21,158,940"
2020.07.31,"57,900","59,500","59,600","57,700","21,943,345"
2020.07.30,"59,000","59,700","60,100","59,000","19,285,354"
2020.07.29,"59,000","60,300","60,400","58,600","36,476,611"
2020.07.28,"58,600","57,000","58,800","56,400","48,431,566"
2020.07.27,"55,600","54,300","55,700","54,300","21,054,421"
2020.07.24,"54,200","54,000","54,400","53,700","10,994,535"
2020.07.23,"54,100","54,700","54,700","53,800","16,214,932"
2020.07.22,"54,700","55,300","55,500","54,700","12,885,057"
2020.07.21,"55,300","55,200","55,400","54,800","18,297,260"
2020.07.20,"54,200","54,800","54,800","54,000","10,507,530"
2020.07.17,"54,400","54,200","54,700","54,100","10,096,174"
2020.07.16,"53,800","54,800","54,800","53,800","16,779,127"
2020.07.15,"54,700","54,400","55,000","54,300","24,051,450"
2020.07.14,"53,800","53,700","53,800","53,200","14,269,484"
2020.07.13,"53,400","53,300","53,800","53,100","12,240,188"
2020.07.10,"52,700","53,100","53,200","52,300","13,714,746"
2020.07.09,"52,800","53,200","53,600","52,800","17,054,850"
2020.07.08,"53,000","53,600","53,900","52,900","19,664,652"
2020.07.07,"53,400","55,800","55,900","53,400","30,760,032"
2020.07.06,"55,000","54,000","55,000","53,800","19,856,623"
2020.07.03,"53,600","53,000","53,600","52,700","11,887,868"
