날짜,종가,시가,고가,저가,거래량
2020.09.11,"30,900","31,000","31,300","30,800","164,244"
2020.09.10,"31,200","31,500","31,550","31,150","464,792"
2020.09.09,"31,050","31,000","31,250","30,900","411,517"
2020.09.08,"31,650","32,300","32,600","31,500","521,844"
2020.09.07,"32,150","31,400","32,400","31,100","646,773"
2020.09.04,"31,400","31,100","31,850","31,000","663,119"
2020.09.03,"32,250","32,650","32,650","32,000","587,589"
2020.09.02,"32,300","31,300","32,800","31,000","1,407,330"
2020.09.01,"30,950","30,250","31,100","30,200","442,959"
2020.08.31,"30,150","31,050","31,500","30,150","688,817"
2020.08.28,"30,750","30,850","31,300","30,550","708,396"
2020.08.27,"30,400","31,200","31,300","30,350","585,378"
2020.08.26,"31,300","31,450","31,450","30,650","525,112"
2020.08.25,"31,450","30,100","31,450","29,950","735,176"
2020.08.24,"29,750","29,300","29,850","28,850","399,877"
2020.08.21,"29,450","29,350","29,800","29,050","434,418"
2020.08.20,"29,200","30,300","30,300","29,000","819,439"
2020.08.19,"30,400","30,500","30,900","30,200","562,526"
2020.08.18,"30,300","31,700","31,750","30,000","1,017,382"
2020.08.14,"31,950","32,850","32,950","31,800","737,640"
2020.08.13,"32,950","33,500","33,550","32,500","722,402"
2020.08.12,"33,000","32,650","33,250","31,650","997,755"
2020.08.11,"32,650","33,350","34,050","32,600","1,363,497"
2020.08.10,"33,000","31,300","33,000","31,200","1,479,089"
2020.08.07,"31,100","31,550","31,750","30,600","767,329"
2020.08.06,"31,050","30,950","31,700","30,900","1,141,338"
2020.08.05,"30,700","30,950","31,150","29,950","1,316,408"
2020.08.04,"29,800","28,950","30,050","28,950","801,768"
2020.08.03,"28,800","29,150","29,250","28,800","342,806"
2020.07.31,"28,950","29,400","29,450","28,950","344,497"
2020.07.30,"29,300","29,450","29,600","29,150","324,698"
2020.07.29,"29,250","29,500","29,700","29,050","358,149"
2020.07.28,"29,550","29,500","29,950","29,350","440,454"
2020.07.27,"29,400","28,700","29,650","28,700","405,583"
2020.07.24,"28,800","28,600","29,100","28,400","406,350"
2020.07.23,"29,000","29,450","29,600","28,600","581,682"
2020.07.22,"29,600","30,000","30,650","29,550","659,046"
2020.07.21,"29,900","29,350","30,000","28,800","876,224"
2020.07.20,"29,050","29,450","29,650","28,550","410,974"
2020.07.17,"29,250","28,800","29,250","28,750","618,226"
2020.07.16,"28,700","28,550","29,100","28,400","759,175"
2020.07.15,"28,350","28,600","28,650","28,050","644,975"
2020.07.14,"28,000","27,550","28,000","27,400","307,446"
2020.07.13,"27,800","27,200","27,850","26,850","524,846"
2020.07.10,"26,700","27,550","27,550","26,700","327,676"
2020.07.09,"27,400","27,600","27,600","27,350","335,912"
2020.07.08,"27,500","27,300","27,500","27,200","350,653"
2020.07.07,"27,300","27,600","27,650","27,150","438,095"
2020.07.06,"27,250","26,650","27,250","26,350","449,390"
2020.07.03,"26,750","26,750","26,900","26,450","313,899"
