날짜,종가,시가,고가,저가,거래량
2020.09.11,"28,400","28,400","28,500","28,300","58,049"
2020.09.10,"28,400","28,800","28,800","28,400","188,752"
2020.09.09,"28,650","28,650","28,700","28,400","131,588"
2020.09.08,"28,800","28,850","29,050","28,650","127,337"
2020.09.07,"28,650","29,050","29,050","28,600","134,434"
2020.09.04,"28,600","28,300","28,600","28,100","143,834"
2020.09.03,"28,700","29,000","29,050","28,700","136,951"
2020.09.02,"28,950","28,950","29,000","28,650","100,825"
2020.09.01,"28,850","28,650","29,000","28,600","105,561"
2020.08.31,"28,750","29,150","29,200","28,500","258,331"
2020.08.28,"29,150","29,100","29,200","28,750","149,013"
2020.08.27,"28,900","29,300","29,450","28,500","174,804"
2020.08.26,"29,450","29,750","29,850","29,250","104,172"
2020.08.25,"29,750","29,600","29,750","29,300","146,647"
2020.08.24,"29,350","28,850","29,350","28,500","125,106"
2020.08.21,"28,850","29,000","29,350","28,850","153,556"
2020.08.20,"28,850","29,900","30,300","28,800","297,463"
2020.08.19,"29,900","29,700","30,100","29,500","187,959"
2020.08.18,"29,150","30,200","30,350","29,150","405,777"
2020.08.14,"30,050","30,500","30,600","29,650","234,710"
2020.08.13,"29,950","30,000","30,550","29,500","439,032"
2020.08.12,"29,700","29,400","29,700","28,900","283,877"
2020.08.11,"29,350","29,350","29,700","29,100","213,417"
2020.08.10,"29,250","28,400","29,450","28,350","289,188"
2020.08.07,"28,600","28,800","28,800","28,400","151,534"
2020.08.06,"28,650","28,450","28,800","28,300","191,322"
2020.08.05,"28,300","28,250","28,350","28,150","134,065"
2020.08.04,"28,200","28,150","28,550","28,100","173,294"
2020.08.03,"28,100","28,300","28,450","28,000","152,316"
2020.07.31,"28,300","28,650","28,900","28,200","165,178"
2020.07.30,"28,850","28,600","28,950","28,350","196,129"
2020.07.29,"28,700","28,200","28,750","28,050","229,601"
2020.07.28,"28,050","28,100","28,700","28,000","220,003"
2020.07.27,"28,150","28,000","28,450","28,000","73,313"
2020.07.24,"28,100","28,300","28,350","27,900","88,015"
2020.07.23,"28,300","28,600","28,650","28,200","137,291"
2020.07.22,"28,550","28,450","29,650","28,450","277,546"
2020.07.21,"28,350","28,650","28,750","28,350","216,279"
2020.07.20,"28,550","28,750","28,800","28,400","59,245"
2020.07.17,"28,750","28,950","28,950","28,700","65,289"
2020.07.16,"28,750","28,850","29,000","28,650","100,639"
2020.07.15,"28,700","29,000","29,150","28,650","128,980"
2020.07.14,"28,800","28,750","28,950","28,550","152,519"
2020.07.13,"28,300","28,150","28,450","28,000","97,863"
2020.07.10,"28,000","28,500","28,550","27,950","190,985"
2020.07.09,"28,400","28,400","28,650","28,350","103,425"
2020.07.08,"28,400","28,450","28,500","28,150","96,783"
2020.07.07,"28,300","28,950","29,150","28,250","181,711"
2020.07.06,"28,900","28,950","29,050","28,300","123,249"
2020.07.03,"28,700","28,800","28,950","28,500","65,172"
