날짜,종가,시가,고가,저가,거래량
2020.09.11,"187,000","183,000","187,500","183,000","38,938"
2020.09.10,"185,000","185,000","188,000","183,500","122,392"
2020.09.09,"186,000","183,000","186,000","181,500","90,418"
2020.09.08,"184,000","183,500","185,000","182,500","84,396"
2020.09.07,"183,500","181,000","185,500","180,000","97,572"
2020.09.04,"182,000","184,000","186,500","180,500","112,624"
2020.09.03,"188,000","189,500","192,000","186,500","74,969"
2020.09.02,"191,500","192,500","194,000","187,000","106,307"
2020.09.01,"191,000","185,500","196,500","185,500","281,291"
2020.08.31,"187,000","185,500","188,500","185,000","226,029"
2020.08.28,"184,000","182,000","185,000","180,000","146,839"
2020.08.27,"180,000","180,500","182,000","178,500","132,017"
2020.08.26,"182,000","183,000","184,500","179,000","86,680"
2020.08.25,"184,500","180,500","185,500","179,000","130,220"
2020.08.24,"178,500","178,000","180,000","173,500","101,751"
2020.08.21,"178,500","180,500","184,000","177,500","102,036"
2020.08.20,"177,500","185,500","186,500","177,500","177,302"
2020.08.19,"187,500","179,000","189,500","178,500","225,856"
2020.08.18,"179,500","186,500","187,000","179,000","197,936"
2020.08.14,"189,000","188,000","191,000","182,500","315,731"
2020.08.13,"187,000","180,000","192,000","180,000","563,113"
2020.08.12,"178,500","173,500","179,500","173,500","212,097"
2020.08.11,"174,500","165,000","175,000","165,000","311,788"
2020.08.10,"165,500","163,500","167,000","162,500","319,365"
2020.08.07,"164,500","166,000","166,500","163,000","127,567"
2020.08.06,"166,500","163,000","168,000","163,000","187,204"
2020.08.05,"164,500","166,000","166,500","163,500","155,241"
2020.08.04,"167,000","166,000","168,500","164,500","197,838"
2020.08.03,"167,000","171,500","171,500","167,000","122,085"
2020.07.31,"171,500","175,000","175,500","170,500","197,887"
2020.07.30,"175,500","179,000","179,500","175,500","97,472"
2020.07.29,"178,500","174,000","181,000","172,500","172,710"
2020.07.28,"175,500","177,000","178,000","174,000","177,633"
2020.07.27,"177,000","176,500","180,000","176,000","80,894"
2020.07.24,"177,000","177,000","178,500","176,000","67,862"
2020.07.23,"179,000","183,000","183,000","178,500","123,044"
2020.07.22,"183,000","182,500","187,500","182,500","75,776"
2020.07.21,"183,500","182,500","184,000","181,000","86,932"
2020.07.20,"182,000","185,000","186,500","181,500","63,137"
2020.07.17,"185,500","186,500","188,000","185,000","77,182"
2020.07.16,"185,000","181,000","186,500","180,000","124,634"
2020.07.15,"180,500","182,000","184,500","180,500","95,956"
2020.07.14,"180,500","182,000","184,000","179,500","73,438"
2020.07.13,"182,500","180,500","186,000","178,000","84,562"
2020.07.10,"178,000","187,500","187,500","178,000","113,945"
2020.07.09,"185,500","185,500","187,500","184,500","91,334"
2020.07.08,"185,500","191,000","191,000","185,000","71,506"
2020.07.07,"187,500","191,000","191,000","186,500","85,226"
2020.07.06,"187,500","185,000","189,500","180,500","82,337"
2020.07.03,"183,000","181,000","183,000","181,000","40,387"
