날짜,종가,시가,고가,저가,거래량
2020.09.11,"301,500","298,500","307,500","296,500","711,069"
2020.09.10,"298,500","299,500","302,500","294,000","1,246,969"
2020.09.09,"298,500","314,500","322,000","298,000","2,482,466"
2020.09.08,"318,000","303,000","322,000","297,000","2,698,135"
2020.09.07,"305,000","295,000","306,000","291,000","1,016,576"
2020.09.04,"294,000","292,000","297,000","292,000","612,252"
2020.09.03,"299,500","300,500","301,500","297,500","497,412"
2020.09.02,"300,500","299,500","304,000","298,000","547,657"
2020.09.01,"298,000","297,000","302,000","295,000","668,602"
2020.08.31,"297,000","305,000","305,500","296,500","1,079,872"
2020.08.28,"304,500","306,000","308,000","303,500","557,944"
2020.08.27,"304,500","310,500","311,000","304,000","722,862"
2020.08.26,"310,500","312,000","319,500","309,000","1,262,116"
2020.08.25,"306,500","310,500","311,000","304,500","600,050"
2020.08.24,"310,000","304,500","311,000","301,500","814,190"
2020.08.21,"301,000","308,000","308,500","296,000","1,037,558"
2020.08.20,"305,000","303,000","317,000","301,000","1,708,375"
2020.08.19,"304,000","314,000","314,500","303,000","880,282"
2020.08.18,"304,000","307,000","316,000","301,500","1,163,773"
2020.08.14,"304,500","308,000","312,000","300,000","1,037,943"
2020.08.13,"308,500","302,500","320,000","301,500","1,754,825"
2020.08.12,"302,000","312,500","313,500","301,000","1,121,637"
2020.08.11,"314,000","315,500","318,500","312,500","693,402"
2020.08.10,"315,000","321,000","324,000","313,500","1,221,244"
2020.08.07,"314,500","311,000","317,000","307,500","963,799"
2020.08.06,"311,000","319,500","320,000","309,500","832,683"
2020.08.05,"315,000","304,000","315,000","303,500","1,063,211"
2020.08.04,"302,000","299,500","307,000","297,000","891,486"
2020.08.03,"299,000","294,000","301,500","283,500","1,521,548"
2020.07.31,"296,500","300,000","306,000","296,000","823,746"
2020.07.30,"300,000","299,500","311,000","287,000","2,723,830"
2020.07.29,"301,500","314,500","317,000","298,000","1,903,406"
2020.07.28,"317,500","323,500","324,000","316,000","666,062"
2020.07.27,"317,000","320,000","321,000","316,500","507,367"
2020.07.24,"319,000","317,500","328,000","317,000","789,309"
2020.07.23,"322,000","321,500","326,000","317,000","707,386"
2020.07.22,"321,500","322,500","323,000","315,000","748,686"
2020.07.21,"321,500","326,500","331,000","318,000","1,217,900"
2020.07.20,"323,000","336,500","339,500","322,500","1,391,199"
2020.07.17,"328,000","318,000","330,000","315,000","1,241,089"
2020.07.16,"315,000","313,500","321,500","310,500","734,412"
2020.07.15,"316,000","325,000","326,500","314,000","972,746"
2020.07.14,"324,000","327,000","331,500","322,000","842,821"
2020.07.13,"329,000","326,500","329,500","321,000","775,224"
2020.07.10,"324,500","328,500","331,500","316,500","1,042,448"
2020.07.09,"324,000","322,500","328,000","317,500","1,637,528"
2020.07.08,"311,500","312,500","316,000","308,500","709,785"
2020.07.07,"308,500","305,500","316,000","303,000","1,003,857"
2020.07.06,"305,500","308,500","313,000","304,500","759,792"
2020.07.03,"309,500","311,500","312,000","300,500","760,954"
