날짜,종가,시가,고가,저가,거래량
2020.09.11,"28,350","28,100","28,600","28,100","790,410"
2020.09.10,"28,500","28,550","28,750","28,450","1,994,874"
2020.09.09,"28,400","28,500","28,650","28,300","4,212,332"
2020.09.08,"29,050","29,100","29,350","29,000","2,761,485"
2020.09.07,"29,100","29,550","29,600","29,000","3,761,770"
2020.09.04,"29,650","29,600","29,700","29,400","2,284,285"
2020.09.03,"30,000","30,400","30,400","29,950","1,618,528"
2020.09.02,"30,200","30,000","30,200","29,850","1,293,580"
2020.09.01,"30,050","29,600","30,200","29,550","1,751,652"
2020.08.31,"29,650","30,350","30,700","29,550","3,547,431"
2020.08.28,"30,300","30,400","30,900","30,200","2,354,079"
2020.08.27,"30,000","30,600","30,650","30,000","2,229,578"
2020.08.26,"30,700","31,200","31,300","30,500","1,469,718"
2020.08.25,"31,400","31,150","31,500","30,800","1,377,196"
2020.08.24,"30,700","30,750","30,900","30,100","1,091,079"
2020.08.21,"30,750","30,350","31,100","30,350","1,344,811"
2020.08.20,"30,250","31,050","31,400","30,200","1,790,921"
2020.08.19,"31,400","31,800","32,000","31,300","1,456,392"
2020.08.18,"31,600","32,600","32,650","31,000","2,923,648"
2020.08.14,"32,700","33,700","33,750","32,600","2,294,223"
2020.08.13,"33,800","33,600","33,950","33,100","3,437,220"
2020.08.12,"33,800","33,350","34,050","32,300","4,929,263"
2020.08.11,"32,850","31,300","32,850","31,200","5,025,552"
2020.08.10,"30,850","30,400","30,900","30,200","2,038,273"
2020.08.07,"30,200","30,800","30,800","30,050","1,604,496"
2020.08.06,"30,700","30,000","31,200","30,000","2,473,278"
2020.08.05,"30,000","30,200","30,300","29,900","1,295,186"
2020.08.04,"30,200","29,800","30,400","29,800","1,274,251"
2020.08.03,"29,900","30,100","30,150","29,800","1,649,493"
2020.07.31,"30,100","30,800","31,100","30,050","2,110,091"
2020.07.30,"30,950","31,300","31,650","30,800","1,905,955"
2020.07.29,"31,050","30,550","31,200","30,400","1,461,720"
2020.07.28,"30,750","30,550","30,950","30,450","1,723,733"
2020.07.27,"30,500","30,200","30,850","30,200","1,240,217"
2020.07.24,"30,500","30,200","30,650","30,050","1,214,228"
2020.07.23,"30,500","30,750","30,900","30,100","1,496,348"
2020.07.22,"30,450","30,800","31,500","30,400","2,739,196"
2020.07.21,"30,400","30,350","30,750","29,900","1,730,397"
2020.07.20,"30,450","29,750","30,500","29,500","1,742,844"
2020.07.17,"29,750","30,050","30,100","29,600","1,027,988"
2020.07.16,"30,050","30,050","30,350","29,850","1,622,128"
2020.07.15,"29,800","29,700","30,100","29,500","1,810,430"
2020.07.14,"29,400","29,450","29,600","29,050","1,493,337"
2020.07.13,"29,600","29,450","29,800","29,000","1,498,269"
2020.07.10,"29,000","29,550","29,700","28,900","1,721,373"
2020.07.09,"29,800","30,000","30,200","29,750","2,614,486"
2020.07.08,"30,000","30,200","30,250","29,900","1,143,131"
2020.07.07,"30,150","30,600","30,600","29,950","1,604,570"
2020.07.06,"30,300","29,900","30,300","29,400","1,494,743"
2020.07.03,"30,050","30,100","30,450","29,700","1,038,768"
