날짜,종가,시가,고가,저가,거래량
2020.09.11,"50,100","50,000","50,700","50,000","40,595"
2020.09.10,"50,000","50,600","50,700","50,000","147,509"
2020.09.09,"50,300","50,600","51,100","50,300","107,877"
2020.09.08,"51,000","51,000","51,600","50,700","111,885"
2020.09.07,"50,900","51,000","51,400","50,800","112,413"
2020.09.04,"51,200","50,900","51,400","50,800","109,176"
2020.09.03,"52,100","52,400","52,500","51,800","88,264"
2020.09.02,"52,100","52,200","52,900","51,600","105,201"
2020.09.01,"51,500","50,900","52,100","50,800","98,344"
2020.08.31,"51,000","52,000","52,600","51,000","194,625"
2020.08.28,"51,800","52,800","53,300","51,700","124,138"
2020.08.27,"52,700","53,800","53,900","52,300","120,121"
2020.08.26,"53,700","55,200","55,200","53,200","109,331"
2020.08.25,"55,000","53,500","55,300","53,400","84,127"
2020.08.24,"53,200","53,500","54,200","52,100","91,097"
2020.08.21,"53,500","53,800","55,100","52,900","121,919"
2020.08.20,"53,700","55,800","56,200","53,600","163,356"
2020.08.19,"56,500","56,400","57,700","54,900","190,757"
2020.08.18,"56,400","58,800","58,800","55,100","266,151"
2020.08.14,"59,700","59,800","60,800","57,400","369,840"
2020.08.13,"59,000","59,500","59,800","58,100","346,918"
2020.08.12,"58,200","56,200","58,700","56,200","307,948"
2020.08.11,"56,200","55,100","56,900","54,600","237,166"
2020.08.10,"55,100","57,400","57,400","53,900","178,930"
2020.08.07,"55,100","53,600","56,400","53,200","290,766"
2020.08.06,"53,600","53,200","53,800","52,800","90,533"
2020.08.05,"53,200","52,100","53,900","52,100","124,725"
2020.08.04,"52,100","51,800","52,700","51,700","68,535"
2020.08.03,"51,800","52,500","52,800","51,600","113,264"
2020.07.31,"53,300","54,100","54,500","53,200","119,041"
2020.07.30,"54,200","53,700","55,200","53,600","130,708"
2020.07.29,"53,900","52,500","54,200","52,500","84,171"
2020.07.28,"53,100","53,600","54,000","53,000","84,062"
2020.07.27,"53,800","53,000","53,800","52,700","68,087"
2020.07.24,"53,400","52,000","53,500","51,600","98,751"
2020.07.23,"52,300","53,400","53,600","52,200","124,447"
2020.07.22,"53,700","54,500","55,200","53,600","112,918"
2020.07.21,"54,900","54,100","55,700","54,100","135,715"
2020.07.20,"54,100","54,900","54,900","53,700","168,182"
2020.07.17,"54,800","55,500","55,500","54,500","115,109"
2020.07.16,"54,700","53,100","55,000","52,800","187,835"
2020.07.15,"53,300","53,600","54,000","53,000","125,662"
2020.07.14,"53,100","51,300","53,500","51,300","135,550"
2020.07.13,"51,700","51,300","52,200","50,700","76,690"
2020.07.10,"51,000","52,600","52,600","50,900","131,518"
2020.07.09,"52,600","52,500","52,800","51,600","160,746"
2020.07.08,"52,500","52,200","53,100","52,000","123,365"
2020.07.07,"52,200","53,700","53,700","52,100","170,979"
2020.07.06,"53,200","53,500","53,900","52,700","138,486"
2020.07.03,"53,300","52,400","54,000","51,500","277,439"
