날짜,종가,시가,고가,저가,거래량
2020.09.11,"166,500","166,000","169,000","165,500","79,577"
2020.09.10,"166,000","168,000","168,500","166,000","191,392"
2020.09.09,"167,000","167,500","169,000","166,500","188,396"
2020.09.08,"170,000","170,500","172,000","169,000","135,229"
2020.09.07,"170,000","171,500","171,500","168,500","133,506"
2020.09.04,"169,500","168,500","170,500","166,000","235,920"
2020.09.03,"172,000","173,000","173,500","171,000","214,555"
2020.09.02,"171,500","170,000","174,500","169,500","264,065"
2020.09.01,"169,000","168,000","171,000","168,000","222,471"
2020.08.31,"168,000","171,000","172,000","167,500","264,276"
2020.08.28,"170,500","171,500","174,000","169,500","210,366"
2020.08.27,"171,500","172,500","172,500","168,500","270,982"
2020.08.26,"173,000","176,500","176,500","171,000","310,399"
2020.08.25,"178,000","176,500","179,000","174,500","278,665"
2020.08.24,"176,000","173,000","176,500","168,500","371,220"
2020.08.21,"174,000","173,500","178,000","171,500","294,186"
2020.08.20,"172,500","179,000","180,500","170,500","475,380"
2020.08.19,"182,000","179,500","184,500","176,000","489,881"
2020.08.18,"176,500","192,500","194,000","175,000","867,824"
2020.08.14,"196,500","194,000","197,500","187,500","795,049"
2020.08.13,"187,500","186,000","192,500","184,000","1,022,663"
2020.08.12,"182,000","174,500","182,000","174,000","894,705"
2020.08.11,"174,000","167,500","176,000","167,500","689,627"
2020.08.10,"168,000","171,500","171,500","165,000","295,625"
2020.08.07,"169,500","167,500","174,500","166,500","496,387"
2020.08.06,"167,500","166,000","168,500","164,500","219,583"
2020.08.05,"165,000","163,000","166,000","163,000","193,685"
2020.08.04,"163,000","160,500","164,500","160,500","188,454"
2020.08.03,"160,500","165,000","165,500","159,500","367,015"
2020.07.31,"166,000","166,500","168,000","163,500","251,624"
2020.07.30,"166,000","163,000","169,500","163,000","314,375"
2020.07.29,"163,500","162,500","165,000","161,500","184,972"
2020.07.28,"163,000","164,500","166,000","162,000","167,352"
2020.07.27,"164,500","163,500","166,000","163,500","104,358"
2020.07.24,"163,500","165,000","166,500","163,500","182,640"
2020.07.23,"165,500","167,000","167,500","163,000","181,610"
2020.07.22,"167,500","170,500","170,500","166,000","183,774"
2020.07.21,"171,000","165,500","171,000","165,500","446,891"
2020.07.20,"165,000","166,000","166,500","163,000","206,010"
2020.07.17,"165,000","165,000","165,500","163,500","115,773"
2020.07.16,"165,000","161,500","165,500","161,000","275,129"
2020.07.15,"162,000","166,000","166,500","161,000","216,995"
2020.07.14,"164,000","160,000","164,500","159,000","287,892"
2020.07.13,"160,000","158,000","162,000","157,000","182,566"
2020.07.10,"157,000","161,500","161,500","156,000","278,371"
2020.07.09,"162,500","163,000","163,000","159,000","305,135"
2020.07.08,"162,000","163,500","165,000","162,000","184,342"
2020.07.07,"163,500","164,000","165,000","161,000","237,400"
2020.07.06,"163,000","167,000","167,500","162,500","315,204"
2020.07.03,"167,000","166,500","172,000","164,000","386,468"
