날짜,종가,시가,고가,저가,거래량
2020.09.11,"35,250","35,850","36,350","35,050","453,899"
2020.09.10,"36,250","34,300","36,400","33,800","1,639,538"
2020.09.09,"33,200","32,850","33,500","32,450","256,479"
2020.09.08,"33,450","32,900","33,700","32,750","257,044"
2020.09.07,"32,700","32,300","32,900","31,900","144,099"
2020.09.04,"32,200","32,100","32,700","32,000","393,210"
2020.09.03,"33,250","32,850","33,550","32,850","161,821"
2020.09.02,"32,650","32,750","33,100","32,500","129,510"
2020.09.01,"32,700","33,150","33,250","32,350","204,394"
2020.08.31,"33,150","33,300","33,900","33,050","168,551"
2020.08.28,"33,100","33,200","33,350","32,700","224,159"
2020.08.27,"33,150","34,100","34,100","33,100","252,572"
2020.08.26,"33,750","33,900","34,000","33,300","214,393"
2020.08.25,"34,200","33,700","34,250","33,400","271,370"
2020.08.24,"33,600","31,700","33,650","31,450","389,392"
2020.08.21,"31,550","31,350","32,000","31,050","326,195"
2020.08.20,"31,050","32,950","33,350","30,900","439,739"
2020.08.19,"32,950","33,000","33,450","32,400","284,890"
2020.08.18,"32,900","34,350","34,350","32,700","421,616"
2020.08.14,"34,450","35,100","35,250","34,100","251,904"
2020.08.13,"34,800","34,750","35,600","34,550","405,452"
2020.08.12,"34,500","34,650","34,650","34,000","251,561"
2020.08.11,"34,250","34,700","35,000","34,100","294,945"
2020.08.10,"34,550","34,900","35,200","34,500","221,475"
2020.08.07,"34,900","35,600","35,700","34,600","233,524"
2020.08.06,"35,450","35,350","36,000","35,300","229,294"
2020.08.05,"35,300","35,450","35,450","34,850","169,519"
2020.08.04,"35,250","35,850","35,950","35,150","179,057"
2020.08.03,"35,650","35,200","35,800","34,800","229,709"
2020.07.31,"35,200","36,050","36,050","35,200","297,634"
2020.07.30,"35,850","35,200","35,850","34,650","412,178"
2020.07.29,"34,750","35,250","35,300","34,200","360,630"
2020.07.28,"35,100","34,200","35,150","34,050","456,891"
2020.07.27,"33,950","33,600","34,250","33,500","153,259"
2020.07.24,"33,650","33,750","34,200","33,450","166,435"
2020.07.23,"34,000","34,050","34,200","33,650","212,683"
2020.07.22,"33,900","34,100","34,500","33,650","241,255"
2020.07.21,"34,350","35,050","35,100","33,900","319,466"
2020.07.20,"34,750","33,850","34,750","33,750","266,154"
2020.07.17,"33,750","33,650","34,100","33,550","128,688"
2020.07.16,"33,600","34,000","34,300","33,400","184,747"
2020.07.15,"33,900","33,800","33,900","33,350","201,723"
2020.07.14,"33,400","33,100","33,650","32,900","121,913"
2020.07.13,"33,250","33,350","33,350","32,900","95,777"
2020.07.10,"32,850","33,750","33,800","32,800","193,335"
2020.07.09,"33,750","33,600","33,750","33,350","128,187"
2020.07.08,"33,400","33,500","34,000","33,300","129,452"
2020.07.07,"33,450","34,500","34,600","33,200","226,993"
2020.07.06,"33,900","33,050","33,950","33,050","197,689"
2020.07.03,"33,000","33,000","33,100","32,700","121,581"
