날짜,종가,시가,고가,저가,거래량
2020.09.11,"86,800","87,300","88,300","86,600","23,159"
2020.09.10,"87,300","88,100","88,400","87,200","69,890"
2020.09.09,"88,100","87,200","89,100","87,100","49,343"
2020.09.08,"87,200","87,100","87,900","86,600","48,326"
2020.09.07,"87,000","86,100","87,400","86,000","39,435"
2020.09.04,"86,000","87,400","87,800","86,000","91,571"
2020.09.03,"87,900","88,300","88,700","87,600","52,605"
2020.09.02,"88,200","89,000","89,500","87,100","62,694"
2020.09.01,"88,000","87,200","89,000","87,200","63,568"
2020.08.31,"87,200","90,300","91,300","87,200","82,319"
2020.08.28,"89,600","90,100","91,100","88,900","38,164"
2020.08.27,"89,800","91,900","92,200","89,800","57,171"
2020.08.26,"92,300","94,400","94,800","92,000","47,046"
2020.08.25,"94,900","94,700","95,600","94,300","42,798"
2020.08.24,"95,300","96,000","96,900","94,200","44,418"
2020.08.21,"95,500","95,500","98,000","94,900","48,947"
2020.08.20,"95,700","98,600","102,500","95,700","67,150"
2020.08.19,"100,000","101,000","103,000","99,500","34,202"
2020.08.18,"103,000","99,000","104,500","96,100","74,043"
2020.08.14,"98,000","95,100","98,600","94,500","60,906"
2020.08.13,"94,900","93,800","95,700","93,500","55,474"
2020.08.12,"94,800","94,100","95,000","92,300","35,646"
2020.08.11,"95,300","89,800","95,300","89,700","76,888"
2020.08.10,"90,100","89,900","91,300","89,200","39,194"
2020.08.07,"91,100","92,200","93,200","90,400","50,121"
2020.08.06,"93,000","90,500","93,000","90,400","45,527"
2020.08.05,"90,800","90,100","91,400","90,100","29,575"
2020.08.04,"90,500","89,500","92,000","89,400","39,664"
2020.08.03,"89,300","89,900","91,300","89,000","46,427"
2020.07.31,"90,500","91,000","92,000","89,600","49,148"
2020.07.30,"91,000","91,200","92,300","90,000","42,766"
2020.07.29,"92,400","86,300","93,400","86,300","172,587"
2020.07.28,"85,800","84,800","86,600","84,700","70,920"
2020.07.27,"84,700","85,000","86,500","84,300","22,236"
2020.07.24,"85,000","84,600","85,000","84,400","28,930"
2020.07.23,"85,000","85,600","85,700","84,600","59,542"
2020.07.22,"85,700","85,600","86,500","85,600","32,377"
2020.07.21,"85,900","87,600","87,800","85,900","43,538"
2020.07.20,"88,200","88,000","88,500","86,700","35,635"
2020.07.17,"87,700","87,800","88,400","87,000","32,524"
2020.07.16,"87,500","86,200","87,500","86,100","37,732"
2020.07.15,"86,700","85,600","87,800","85,600","44,722"
2020.07.14,"85,900","84,600","86,200","84,200","46,304"
2020.07.13,"85,100","85,100","85,400","84,100","44,544"
2020.07.10,"85,000","88,400","88,400","85,000","46,784"
2020.07.09,"87,700","89,800","89,900","87,700","53,255"
2020.07.08,"89,800","89,100","89,800","87,000","45,975"
2020.07.07,"88,300","88,900","89,800","87,500","51,655"
2020.07.06,"88,600","89,500","89,800","88,100","33,526"
2020.07.03,"89,100","87,900","89,700","87,800","27,567"
