날짜,종가,시가,고가,저가,거래량
2020.09.11,"813,000","827,000","839,000","812,000","68,030"
2020.09.10,"830,000","803,000","839,000","798,000","172,103"
2020.09.09,"791,000","803,000","809,000","791,000","102,424"
2020.09.08,"811,000","814,000","818,000","809,000","54,468"
2020.09.07,"812,000","816,000","819,000","809,000","69,441"
2020.09.04,"813,000","813,000","825,000","808,000","123,738"
2020.09.03,"835,000","848,000","850,000","833,000","70,056"
2020.09.02,"850,000","840,000","855,000","834,000","108,559"
2020.09.01,"828,000","821,000","834,000","819,000","98,347"
2020.08.31,"825,000","859,000","862,000","822,000","135,345"
2020.08.28,"856,000","865,000","865,000","843,000","99,519"
2020.08.27,"863,000","822,000","867,000","821,000","232,351"
2020.08.26,"818,000","827,000","830,000","816,000","93,233"
2020.08.25,"826,000","838,000","841,000","817,000","101,156"
2020.08.24,"841,000","830,000","842,000","810,000","106,150"
2020.08.21,"823,000","799,000","825,000","792,000","158,623"
2020.08.20,"783,000","833,000","843,000","780,000","271,930"
2020.08.19,"841,000","836,000","849,000","822,000","175,606"
2020.08.18,"834,000","877,000","887,000","824,000","170,816"
2020.08.14,"872,000","898,000","898,000","859,000","133,502"
2020.08.13,"897,000","840,000","905,000","834,000","363,276"
2020.08.12,"850,000","836,000","850,000","827,000","94,342"
2020.08.11,"840,000","827,000","846,000","812,000","113,783"
2020.08.10,"841,000","866,000","866,000","835,000","112,532"
2020.08.07,"865,000","860,000","885,000","856,000","141,611"
2020.08.06,"854,000","846,000","854,000","840,000","98,102"
2020.08.05,"846,000","841,000","847,000","836,000","69,372"
2020.08.04,"846,000","852,000","860,000","827,000","122,293"
2020.08.03,"844,000","815,000","844,000","813,000","152,000"
2020.07.31,"811,000","832,000","832,000","810,000","101,033"
2020.07.30,"825,000","817,000","832,000","807,000","137,745"
2020.07.29,"812,000","797,000","824,000","796,000","179,741"
2020.07.28,"794,000","788,000","803,000","786,000","177,440"
2020.07.27,"785,000","797,000","807,000","785,000","145,319"
2020.07.24,"802,000","805,000","828,000","796,000","197,544"
2020.07.23,"811,000","844,000","850,000","805,000","339,183"
2020.07.22,"861,000","852,000","866,000","835,000","93,362"
2020.07.21,"859,000","860,000","876,000","856,000","127,020"
2020.07.20,"859,000","880,000","881,000","848,000","117,063"
2020.07.17,"880,000","872,000","897,000","871,000","84,865"
2020.07.16,"879,000","915,000","923,000","875,000","199,187"
2020.07.15,"928,000","945,000","958,000","925,000","110,775"
2020.07.14,"946,000","950,000","965,000","938,000","91,158"
2020.07.13,"965,000","949,000","978,000","931,000","117,007"
2020.07.10,"944,000","947,000","975,000","940,000","128,027"
2020.07.09,"947,000","955,000","959,000","943,000","130,821"
2020.07.08,"945,000","956,000","962,000","936,000","132,370"
2020.07.07,"962,000","976,000","980,000","960,000","187,793"
2020.07.06,"995,000","943,000","997,000","941,000","138,049"
2020.07.03,"944,000","961,000","963,000","941,000","81,378"
