날짜,종가,시가,고가,저가,거래량
2020.09.11,"30,550","30,800","31,200","29,800","108,426"
2020.09.10,"31,050","30,300","31,550","30,300","210,881"
2020.09.09,"30,100","30,100","30,850","30,000","154,888"
2020.09.08,"30,850","32,050","32,250","30,800","177,654"
2020.09.07,"32,150","29,550","32,300","29,400","357,587"
2020.09.04,"29,800","29,250","30,650","29,250","232,787"
2020.09.03,"30,450","31,100","31,400","30,300","184,464"
2020.09.02,"31,050","31,750","32,500","30,700","227,111"
2020.09.01,"31,700","31,050","31,950","30,700","334,208"
2020.08.31,"31,400","30,050","32,000","29,900","546,551"
2020.08.28,"29,500","28,650","30,800","28,650","273,215"
2020.08.27,"29,000","28,500","29,300","27,450","333,601"
2020.08.26,"28,650","29,600","29,600","28,200","293,326"
2020.08.25,"29,850","30,050","30,450","29,450","210,500"
2020.08.24,"30,000","27,750","30,250","27,100","659,663"
2020.08.21,"28,000","24,800","28,650","24,400","788,018"
2020.08.20,"24,700","26,000","26,200","24,650","242,358"
2020.08.19,"26,300","26,100","27,250","26,100","281,153"
2020.08.18,"26,300","27,200","27,600","26,300","278,779"
2020.08.14,"27,300","26,950","27,850","26,100","299,685"
2020.08.13,"26,950","26,850","27,400","26,150","274,998"
2020.08.12,"26,750","25,900","26,750","25,150","347,891"
2020.08.11,"25,650","24,900","25,750","24,600","333,347"
2020.08.10,"24,900","23,500","25,050","23,300","320,605"
2020.08.07,"23,650","24,150","24,200","23,450","159,427"
2020.08.06,"24,150","24,000","24,500","23,950","120,043"
2020.08.05,"23,950","23,850","24,150","23,600","94,453"
2020.08.04,"23,850","23,500","24,000","23,400","136,473"
2020.08.03,"23,300","24,100","24,100","23,250","141,244"
2020.07.31,"24,150","24,450","24,550","23,900","144,267"
2020.07.30,"24,450","24,400","24,550","24,300","99,143"
2020.07.29,"24,400","24,400","24,650","24,200","153,291"
2020.07.28,"24,550","24,650","25,050","24,500","109,867"
2020.07.27,"24,700","24,600","25,100","24,500","88,201"
2020.07.24,"24,600","24,700","24,800","24,400","108,833"
2020.07.23,"24,900","25,250","25,300","24,700","140,741"
2020.07.22,"25,300","25,350","25,750","25,200","113,456"
2020.07.21,"25,600","25,150","25,750","25,150","124,328"
2020.07.20,"25,150","25,150","25,400","24,850","97,700"
2020.07.17,"25,150","25,600","25,850","25,000","132,765"
2020.07.16,"25,400","26,000","26,200","25,250","161,513"
2020.07.15,"26,000","25,950","26,800","25,500","217,774"
2020.07.14,"25,350","25,100","25,400","24,700","104,123"
2020.07.13,"25,200","24,700","25,250","24,650","106,301"
2020.07.10,"24,550","25,550","25,600","24,400","223,127"
2020.07.09,"25,550","26,050","26,200","25,550","117,372"
2020.07.08,"26,000","26,550","26,750","25,850","101,899"
2020.07.07,"26,400","26,350","26,600","26,000","88,897"
2020.07.06,"26,100","26,350","26,600","25,700","85,065"
2020.07.03,"26,000","26,250","26,400","25,800","79,800"
