날짜,종가,시가,고가,저가,거래량
2020.09.11,"8,380","8,380","8,430","8,370","484,255"
2020.09.10,"8,420","8,420","8,480","8,380","1,764,579"
2020.09.09,"8,420","8,450","8,480","8,360","1,414,235"
2020.09.08,"8,490","8,520","8,550","8,430","1,565,828"
2020.09.07,"8,460","8,530","8,530","8,450","1,419,269"
2020.09.04,"8,460","8,460","8,530","8,420","1,638,579"
2020.09.03,"8,590","8,640","8,670","8,580","1,074,525"
2020.09.02,"8,620","8,680","8,680","8,530","1,453,357"
2020.09.01,"8,580","8,480","8,630","8,470","1,328,052"
2020.08.31,"8,460","8,710","8,740","8,460","2,450,013"
2020.08.28,"8,640","8,670","8,790","8,620","1,399,571"
2020.08.27,"8,610","8,720","8,750","8,610","1,033,160"
2020.08.26,"8,800","8,760","8,800","8,610","1,590,558"
2020.08.25,"8,810","8,760","8,850","8,700","1,499,954"
2020.08.24,"8,680","8,640","8,700","8,500","1,293,520"
2020.08.21,"8,590","8,480","8,690","8,480","1,172,932"
2020.08.20,"8,450","8,710","8,760","8,450","1,834,558"
2020.08.19,"8,760","8,750","8,860","8,750","1,080,761"
2020.08.18,"8,760","9,000","9,070","8,760","2,145,369"
2020.08.14,"9,100","9,210","9,210","9,040","1,551,834"
2020.08.13,"9,210","9,200","9,300","9,110","2,968,102"
2020.08.12,"9,240","9,150","9,300","8,980","3,014,579"
2020.08.11,"9,050","8,990","9,100","8,900","3,535,877"
2020.08.10,"8,890","8,650","8,890","8,600","2,647,901"
2020.08.07,"8,640","8,680","8,710","8,530","1,753,193"
2020.08.06,"8,670","8,550","8,790","8,550","2,423,276"
2020.08.05,"8,560","8,570","8,610","8,500","1,170,169"
2020.08.04,"8,570","8,380","8,570","8,380","1,390,921"
2020.08.03,"8,390","8,490","8,510","8,390","1,485,135"
2020.07.31,"8,500","8,660","8,700","8,470","2,645,106"
2020.07.30,"8,680","8,680","8,850","8,650","1,842,447"
2020.07.29,"8,670","8,570","8,730","8,560","1,462,380"
2020.07.28,"8,680","8,750","8,790","8,630","2,168,806"
2020.07.27,"8,780","8,720","8,940","8,720","780,121"
2020.07.24,"8,800","8,900","8,900","8,750","709,116"
2020.07.23,"8,820","8,860","8,880","8,770","1,475,174"
2020.07.22,"8,860","9,000","9,200","8,860","2,029,753"
2020.07.21,"8,940","8,960","9,070","8,850","1,532,040"
2020.07.20,"8,970","8,800","9,000","8,720","1,509,594"
2020.07.17,"8,820","8,890","8,930","8,800","1,170,759"
2020.07.16,"8,890","8,730","8,910","8,720","1,888,066"
2020.07.15,"8,790","8,590","8,830","8,580","2,362,682"
2020.07.14,"8,500","8,520","8,550","8,420","1,966,804"
2020.07.13,"8,600","8,440","8,610","8,400","1,955,637"
2020.07.10,"8,410","8,700","8,700","8,390","2,350,749"
2020.07.09,"8,710","8,810","8,830","8,710","2,074,990"
2020.07.08,"8,810","8,980","8,980","8,780","1,711,153"
2020.07.07,"8,930","9,150","9,160","8,910","1,441,525"
2020.07.06,"9,060","9,100","9,100","8,850","1,133,052"
2020.07.03,"8,950","8,950","8,990","8,880","682,717"
