날짜,종가,시가,고가,저가,거래량
2020.09.11,"65,900","64,500","66,400","64,000","341,803"
2020.09.10,"64,500","64,300","66,100","63,600","602,924"
2020.09.09,"64,000","65,200","65,200","64,000","432,780"
2020.09.08,"65,500","65,200","66,600","65,000","470,223"
2020.09.07,"65,200","65,800","65,900","64,600","422,577"
2020.09.04,"65,200","64,700","65,900","64,600","662,065"
2020.09.03,"66,900","66,800","67,400","66,100","463,029"
2020.09.02,"66,700","66,900","67,800","66,100","492,204"
2020.09.01,"66,300","66,700","67,300","65,700","510,318"
2020.08.31,"67,000","67,700","68,300","66,500","779,423"
2020.08.28,"67,400","67,900","68,600","66,800","629,506"
2020.08.27,"67,300","67,000","68,700","65,800","1,016,151"
2020.08.26,"66,700","67,600","68,400","66,000","633,076"
2020.08.25,"67,600","65,400","67,800","64,600","936,800"
2020.08.24,"65,500","67,300","67,300","65,200","595,451"
2020.08.21,"65,900","67,000","67,400","64,000","967,030"
2020.08.20,"65,900","72,000","72,900","65,700","3,488,971"
2020.08.19,"65,700","63,700","66,100","62,600","960,406"
2020.08.18,"62,200","65,000","66,000","61,400","888,836"
2020.08.14,"64,000","65,200","66,300","63,900","600,278"
2020.08.13,"65,200","67,100","67,300","64,600","791,432"
2020.08.12,"66,600","69,000","69,100","65,700","1,064,355"
2020.08.11,"69,200","67,600","72,500","66,800","2,424,343"
2020.08.10,"66,800","66,800","69,600","66,000","1,512,886"
2020.08.07,"66,800","66,100","67,600","65,300","1,172,477"
2020.08.06,"66,100","68,700","69,300","66,000","2,297,068"
2020.08.05,"67,700","59,800","71,800","59,200","12,395,002"
2020.08.04,"58,500","58,600","58,700","57,300","801,937"
2020.08.03,"58,500","61,500","62,200","58,100","2,221,859"
2020.07.31,"57,300","55,600","57,500","54,600","1,673,292"
2020.07.30,"55,700","56,100","56,800","55,200","618,688"
2020.07.29,"56,400","55,700","59,700","54,800","1,969,984"
2020.07.28,"56,300","57,300","57,500","55,300","1,006,262"
2020.07.27,"56,700","57,700","59,300","55,600","2,184,663"
2020.07.24,"56,500","54,200","61,500","54,000","7,266,218"
2020.07.23,"53,300","52,900","55,100","52,400","1,836,779"
2020.07.22,"52,500","51,700","52,500","50,900","382,165"
2020.07.21,"51,600","51,400","52,200","51,200","590,682"
2020.07.20,"51,000","50,900","51,300","50,800","208,794"
2020.07.17,"50,800","51,000","51,300","50,800","224,004"
2020.07.16,"51,100","51,300","51,400","50,900","219,702"
2020.07.15,"51,400","52,000","52,400","51,000","303,263"
2020.07.14,"51,800","51,600","53,200","51,200","471,753"
2020.07.13,"51,300","51,400","51,800","50,700","310,355"
2020.07.10,"51,000","51,000","51,800","50,800","267,388"
2020.07.09,"50,900","51,400","51,400","50,800","302,062"
2020.07.08,"50,900","52,000","52,100","50,700","450,728"
2020.07.07,"52,100","52,400","52,800","51,600","308,275"
2020.07.06,"52,300","52,200","52,700","51,700","252,477"
2020.07.03,"52,300","52,800","55,100","52,300","807,638"
