날짜,종가,시가,고가,저가,거래량
2020.09.11,"149,500","147,500","153,500","147,000","497,799"
2020.09.10,"145,500","140,000","155,000","138,000","1,288,453"
2020.09.09,"138,000","130,500","140,000","130,500","627,612"
2020.09.08,"133,000","133,500","135,000","130,500","347,278"
2020.09.07,"132,500","128,500","135,500","127,500","552,803"
2020.09.04,"127,000","120,500","128,500","120,500","392,895"
2020.09.03,"125,500","129,500","129,500","124,500","306,930"
2020.09.02,"128,000","128,000","131,000","126,000","436,905"
2020.09.01,"126,000","123,000","127,000","121,000","495,842"
2020.08.31,"120,000","118,000","125,000","118,000","631,479"
2020.08.28,"116,500","116,000","119,000","115,000","313,164"
2020.08.27,"114,500","117,000","117,000","113,500","345,121"
2020.08.26,"118,500","118,500","119,500","115,500","224,054"
2020.08.25,"119,500","116,500","120,000","115,500","363,862"
2020.08.24,"115,500","117,500","119,000","114,500","288,446"
2020.08.21,"118,000","120,500","121,500","117,000","304,862"
2020.08.20,"119,000","125,000","125,000","117,000","431,942"
2020.08.19,"125,500","123,500","127,000","122,500","313,889"
2020.08.18,"123,500","129,000","132,500","123,000","522,691"
2020.08.14,"130,500","125,500","134,000","124,500","763,902"
2020.08.13,"122,500","127,500","128,000","121,000","495,379"
2020.08.12,"125,500","122,000","128,000","121,500","508,769"
2020.08.11,"122,000","121,500","125,500","120,500","525,187"
2020.08.10,"121,000","114,000","123,500","114,000","562,619"
2020.08.07,"114,500","116,500","117,000","113,500","189,831"
2020.08.06,"116,000","114,000","116,500","113,500","213,853"
2020.08.05,"114,000","114,000","115,000","113,000","126,980"
2020.08.04,"113,500","113,500","116,500","113,500","153,413"
2020.08.03,"113,500","114,500","114,500","112,500","115,085"
2020.07.31,"114,000","114,500","117,000","114,000","205,801"
2020.07.30,"115,000","115,500","117,500","114,500","164,752"
2020.07.29,"115,500","110,000","115,500","109,500","307,984"
2020.07.28,"111,000","111,500","112,500","110,000","219,664"
2020.07.27,"111,000","110,000","112,500","110,000","178,617"
2020.07.24,"110,500","112,000","113,000","109,500","293,367"
2020.07.23,"113,500","116,000","116,000","112,500","217,810"
2020.07.22,"116,500","118,000","120,500","116,000","279,042"
2020.07.21,"118,000","113,500","118,500","113,000","426,375"
2020.07.20,"113,000","113,500","115,000","113,000","126,991"
2020.07.17,"113,000","115,000","115,000","112,500","103,293"
2020.07.16,"114,500","113,500","115,500","112,000","161,509"
2020.07.15,"113,500","115,500","116,000","113,000","204,274"
2020.07.14,"114,500","113,500","115,500","112,000","276,821"
2020.07.13,"113,500","111,000","115,000","110,000","378,812"
2020.07.10,"109,000","110,000","114,500","108,500","442,958"
2020.07.09,"109,000","107,000","111,500","105,500","413,362"
2020.07.08,"106,500","106,000","107,000","105,500","134,155"
2020.07.07,"105,500","108,500","108,500","105,500","183,089"
2020.07.06,"107,500","107,500","108,000","105,500","171,981"
2020.07.03,"107,500","107,500","108,500","106,000","115,808"
