날짜,종가,시가,고가,저가,거래량
2020.09.11,"18,850","18,700","18,950","18,650","119,332"
2020.09.10,"18,800","19,100","19,250","18,650","522,642"
2020.09.09,"19,000","18,800","19,500","18,500","697,973"
2020.09.08,"19,000","18,850","19,150","18,700","437,853"
2020.09.07,"18,800","18,200","19,000","18,000","562,617"
2020.09.04,"18,200","18,050","18,450","17,950","483,827"
2020.09.03,"18,750","19,100","19,100","18,600","475,064"
2020.09.02,"19,000","18,950","19,100","18,700","499,769"
2020.09.01,"18,800","18,350","18,950","18,300","773,439"
2020.08.31,"18,250","18,300","19,050","18,200","1,108,284"
2020.08.28,"17,950","18,000","18,050","17,600","490,935"
2020.08.27,"17,800","17,450","17,950","17,400","714,088"
2020.08.26,"17,400","17,550","17,700","17,100","460,926"
2020.08.25,"17,700","17,250","17,800","17,150","645,847"
2020.08.24,"17,100","17,100","17,200","16,750","420,502"
2020.08.21,"17,050","17,200","17,350","16,900","490,753"
2020.08.20,"17,050","18,000","18,000","16,850","736,928"
2020.08.19,"17,800","17,650","18,000","17,400","614,521"
2020.08.18,"17,600","18,850","19,000","17,600","896,760"
2020.08.14,"18,850","18,850","19,050","18,600","499,373"
2020.08.13,"18,800","19,250","19,550","18,650","762,660"
2020.08.12,"19,250","18,550","19,250","18,300","771,328"
2020.08.11,"18,550","18,500","18,650","18,300","509,794"
2020.08.10,"18,350","18,550","18,850","18,300","724,716"
2020.08.07,"18,550","18,950","19,050","18,300","693,543"
2020.08.06,"19,000","18,650","19,150","18,500","525,059"
2020.08.05,"18,650","18,650","18,900","18,450","487,746"
2020.08.04,"18,700","18,650","18,900","18,450","460,199"
2020.08.03,"18,650","19,200","19,250","18,600","503,603"
2020.07.31,"19,200","20,100","20,100","18,800","1,074,189"
2020.07.30,"20,200","20,000","20,400","19,850","753,308"
2020.07.29,"20,000","19,900","20,350","19,500","1,201,111"
2020.07.28,"19,800","18,250","19,800","18,200","2,419,211"
2020.07.27,"18,200","17,200","18,350","17,200","723,239"
2020.07.24,"17,300","17,400","17,600","17,200","547,697"
2020.07.23,"17,650","17,700","17,750","17,500","351,554"
2020.07.22,"17,700","18,050","18,100","17,600","470,676"
2020.07.21,"18,050","18,150","18,200","17,850","388,145"
2020.07.20,"18,150","18,150","18,200","17,900","385,813"
2020.07.17,"17,950","17,950","18,100","17,800","478,325"
2020.07.16,"17,850","17,850","17,900","17,550","424,643"
2020.07.15,"17,750","17,300","17,800","17,250","681,983"
2020.07.14,"17,200","17,000","17,250","16,850","292,310"
2020.07.13,"17,050","17,150","17,150","16,750","398,356"
2020.07.10,"16,900","17,200","17,250","16,750","331,050"
2020.07.09,"17,150","17,300","17,450","17,150","300,138"
2020.07.08,"17,200","17,300","17,550","17,100","346,556"
2020.07.07,"17,350","17,900","17,900","17,300","517,492"
2020.07.06,"17,800","17,900","17,950","17,550","365,897"
2020.07.03,"17,900","17,700","18,000","17,350","495,011"
