날짜,종가,시가,고가,저가,거래량
2020.09.11,"376,000","382,000","384,000","375,500","521,571"
2020.09.10,"385,500","392,000","396,500","384,000","936,708"
2020.09.09,"384,000","381,500","388,000","379,000","935,573"
2020.09.08,"390,000","393,500","398,500","380,500","1,020,539"
2020.09.07,"392,000","401,500","401,500","391,000","928,939"
2020.09.04,"402,000","390,000","404,500","389,500","1,168,529"
2020.09.03,"410,000","415,500","416,000","404,000","739,215"
2020.09.02,"412,000","405,500","412,500","401,500","921,655"
2020.09.01,"401,500","413,500","416,000","400,000","1,100,736"
2020.08.31,"407,000","410,500","420,500","401,000","1,629,751"
2020.08.28,"405,500","413,500","416,000","400,000","1,506,996"
2020.08.27,"410,500","396,500","413,000","396,000","1,981,840"
2020.08.26,"392,000","380,500","394,000","378,000","1,351,029"
2020.08.25,"381,000","384,500","385,000","377,000","887,733"
2020.08.24,"380,000","374,500","382,500","367,500","969,648"
2020.08.21,"370,000","370,000","373,500","362,000","1,021,460"
2020.08.20,"364,500","376,000","383,000","359,500","1,686,740"
2020.08.19,"376,500","384,500","385,000","372,000","1,359,266"
2020.08.18,"378,000","371,500","389,500","367,500","3,032,037"
2020.08.14,"362,500","361,000","366,000","358,000","825,802"
2020.08.13,"360,500","359,000","365,000","356,500","1,117,859"
2020.08.12,"354,000","348,500","356,500","347,500","729,434"
2020.08.11,"352,500","351,500","357,000","347,500","750,285"
2020.08.10,"356,000","346,000","358,500","341,500","1,086,391"
2020.08.07,"353,000","368,000","370,000","350,500","1,899,111"
2020.08.06,"364,000","358,500","372,500","357,500","1,848,898"
2020.08.05,"370,500","366,000","371,000","362,500","1,075,879"
2020.08.04,"370,000","378,500","384,000","361,000","1,714,642"
2020.08.03,"366,000","347,500","366,000","347,000","1,636,803"
2020.07.31,"343,500","336,000","344,000","335,500","1,078,837"
2020.07.30,"332,000","336,000","337,000","331,500","615,872"
2020.07.29,"331,500","329,000","333,000","325,000","618,435"
2020.07.28,"329,500","332,000","336,000","328,500","873,063"
2020.07.27,"326,500","321,000","329,500","320,500","603,322"
2020.07.24,"324,500","325,000","333,000","322,000","907,643"
2020.07.23,"329,500","316,500","329,500","315,000","1,260,435"
2020.07.22,"318,000","310,500","321,500","306,000","1,159,298"
2020.07.21,"316,000","323,500","326,000","311,500","1,676,630"
2020.07.20,"310,000","325,000","325,000","310,000","1,534,422"
2020.07.17,"325,000","319,000","327,000","314,000","1,268,587"
2020.07.16,"322,000","332,000","335,500","319,000","1,941,508"
2020.07.15,"337,500","344,000","349,500","332,000","1,487,417"
2020.07.14,"343,000","340,500","346,500","340,000","1,212,519"
2020.07.13,"352,000","359,000","361,000","345,000","1,391,744"
2020.07.10,"355,500","351,000","368,000","345,500","2,566,935"
2020.07.09,"355,500","335,000","355,500","332,000","2,463,503"
2020.07.08,"328,000","312,000","328,000","305,000","1,869,663"
2020.07.07,"310,500","306,500","318,000","304,000","1,552,820"
2020.07.06,"300,500","298,000","307,500","297,000","1,344,851"
2020.07.03,"294,000","289,500","297,000","284,000","1,604,493"
