날짜,종가,시가,고가,저가,거래량
2020.09.11,"124,300","128,400","128,400","123,900","46,143"
2020.09.10,"126,400","128,300","129,500","123,700","99,422"
2020.09.09,"125,800","127,900","130,600","125,800","78,298"
2020.09.08,"127,900","129,500","135,000","127,900","130,562"
2020.09.07,"129,800","133,200","133,600","129,500","101,364"
2020.09.04,"128,800","121,800","134,800","120,400","270,678"
2020.09.03,"126,100","128,000","131,700","124,300","157,776"
2020.09.02,"126,500","120,000","129,900","118,100","325,911"
2020.09.01,"114,200","111,400","114,800","111,300","56,476"
2020.08.31,"111,100","111,500","114,500","110,600","61,174"
2020.08.28,"111,600","112,600","114,800","111,000","92,231"
2020.08.27,"111,100","112,500","113,500","110,600","48,622"
2020.08.26,"112,400","112,300","113,100","110,300","53,697"
2020.08.25,"112,800","112,000","112,800","109,100","66,094"
2020.08.24,"110,100","107,300","111,600","107,200","83,559"
2020.08.21,"107,200","106,400","109,000","104,500","89,337"
2020.08.20,"105,900","109,100","110,000","105,100","81,531"
2020.08.19,"110,200","110,400","111,200","108,300","91,452"
2020.08.18,"108,600","117,500","118,500","107,500","161,715"
2020.08.14,"117,900","117,000","120,800","117,000","104,523"
2020.08.13,"117,300","120,000","120,900","117,300","93,731"
2020.08.12,"118,900","117,500","118,900","116,000","141,730"
2020.08.11,"116,800","124,900","125,000","115,800","327,214"
2020.08.10,"124,900","127,700","127,700","123,500","105,706"
2020.08.07,"125,900","126,900","129,400","123,500","109,758"
2020.08.06,"126,200","126,000","127,500","125,000","69,440"
2020.08.05,"127,300","127,400","128,700","125,700","84,123"
2020.08.04,"125,700","124,700","127,500","124,100","72,465"
2020.08.03,"124,500","121,200","124,700","120,300","56,483"
2020.07.31,"120,600","123,000","123,000","119,000","61,802"
2020.07.30,"122,500","123,600","125,900","121,900","69,605"
2020.07.29,"122,700","122,000","123,800","121,500","62,922"
2020.07.28,"122,400","121,800","124,100","121,700","35,903"
2020.07.27,"121,700","123,400","125,800","121,700","42,206"
2020.07.24,"125,500","125,000","126,300","123,000","58,168"
2020.07.23,"126,400","123,700","128,300","123,600","77,345"
2020.07.22,"124,900","126,900","127,200","124,800","60,822"
2020.07.21,"124,800","123,200","127,400","123,200","89,174"
2020.07.20,"125,000","126,900","128,000","123,000","46,198"
2020.07.17,"126,900","124,000","128,200","123,300","77,186"
2020.07.16,"123,300","125,300","125,700","122,200","63,350"
2020.07.15,"124,300","129,000","129,100","124,300","95,367"
2020.07.14,"128,500","128,000","130,100","126,100","89,340"
2020.07.13,"129,200","130,800","130,800","127,200","105,467"
2020.07.10,"129,000","128,500","133,000","126,000","153,890"
2020.07.09,"129,000","129,000","131,300","126,400","139,913"
2020.07.08,"128,800","131,300","132,500","128,600","246,900"
2020.07.07,"131,800","136,000","137,000","131,600","114,378"
2020.07.06,"136,000","125,000","136,100","124,800","249,906"
2020.07.03,"123,500","124,600","124,600","121,700","91,357"
