날짜,종가,시가,고가,저가,거래량
2020.09.11,"100,500","99,600","102,500","99,500","32,466"
2020.09.10,"100,000","99,600","102,000","99,400","76,414"
2020.09.09,"99,300","98,500","100,500","98,200","68,239"
2020.09.08,"100,500","100,000","101,000","99,300","75,030"
2020.09.07,"100,000","101,000","101,000","99,100","89,921"
2020.09.04,"100,500","100,000","102,000","99,800","137,066"
2020.09.03,"104,500","106,500","107,500","103,500","90,481"
2020.09.02,"107,000","109,500","109,500","105,500","76,088"
2020.09.01,"107,500","103,000","108,500","101,500","168,564"
2020.08.31,"102,000","103,000","104,000","101,000","92,025"
2020.08.28,"103,000","104,500","105,000","101,500","110,294"
2020.08.27,"103,500","104,500","105,000","101,500","139,420"
2020.08.26,"105,500","108,000","108,500","103,500","161,411"
2020.08.25,"108,000","107,500","108,000","105,000","126,514"
2020.08.24,"106,500","104,500","108,000","102,500","129,926"
2020.08.21,"106,500","106,500","109,000","103,000","195,465"
2020.08.20,"104,500","109,000","110,000","102,500","284,860"
2020.08.19,"110,500","114,500","117,000","107,500","380,276"
2020.08.18,"112,000","113,500","118,500","109,500","536,692"
2020.08.14,"115,000","107,500","118,000","107,000","993,196"
2020.08.13,"101,000","99,000","108,000","95,500","830,092"
2020.08.12,"98,100","92,900","98,300","92,500","319,910"
2020.08.11,"92,900","91,000","93,000","90,300","128,080"
2020.08.10,"90,900","90,900","91,200","89,900","87,527"
2020.08.07,"90,900","90,700","92,600","90,500","85,874"
2020.08.06,"90,900","90,600","91,400","89,900","78,218"
2020.08.05,"90,100","90,800","92,200","90,000","86,238"
2020.08.04,"90,000","90,200","91,100","89,300","82,544"
2020.08.03,"90,200","92,800","92,800","89,800","100,424"
2020.07.31,"92,800","94,000","94,500","92,200","52,910"
2020.07.30,"94,000","92,500","95,000","91,800","110,751"
2020.07.29,"92,400","90,600","92,900","90,400","57,079"
2020.07.28,"90,900","90,700","92,300","90,700","61,835"
2020.07.27,"90,600","90,000","91,400","90,000","59,357"
2020.07.24,"90,500","90,400","91,900","90,200","63,720"
2020.07.23,"91,100","92,900","92,900","90,700","111,524"
2020.07.22,"93,200","94,300","94,700","92,100","83,127"
2020.07.21,"94,400","94,400","96,000","93,800","78,125"
2020.07.20,"94,600","97,000","97,300","94,000","60,748"
2020.07.17,"96,600","93,800","96,900","93,700","109,384"
2020.07.16,"93,800","93,100","94,200","92,600","145,737"
2020.07.15,"91,800","101,500","102,000","90,200","377,829"
2020.07.14,"99,900","99,300","101,000","98,000","69,962"
2020.07.13,"99,900","97,100","102,000","96,000","123,416"
2020.07.10,"95,500","99,000","99,000","94,600","110,255"
2020.07.09,"98,600","100,500","100,500","98,500","92,218"
2020.07.08,"100,000","100,500","101,500","98,600","70,036"
2020.07.07,"99,900","104,000","104,000","99,500","95,806"
2020.07.06,"102,500","102,000","103,000","99,900","89,846"
2020.07.03,"101,500","96,700","102,000","96,400","129,768"
