날짜,종가,시가,고가,저가,거래량
2020.09.11,"78,400","78,600","80,300","78,200","97,735"
2020.09.10,"78,600","78,600","79,400","78,300","182,106"
2020.09.09,"79,100","79,300","79,600","77,600","169,677"
2020.09.08,"79,000","78,900","79,400","78,100","150,046"
2020.09.07,"78,800","78,800","79,700","78,200","180,810"
2020.09.04,"79,400","80,300","81,000","78,600","193,239"
2020.09.03,"81,000","81,100","81,100","80,100","143,972"
2020.09.02,"81,100","82,700","82,700","79,000","133,986"
2020.09.01,"80,400","79,000","81,100","79,000","201,835"
2020.08.31,"79,800","82,300","83,400","79,100","280,479"
2020.08.28,"82,700","83,200","85,100","81,600","145,092"
2020.08.27,"83,100","83,700","85,600","83,000","164,174"
2020.08.26,"84,000","85,200","85,400","83,600","135,283"
2020.08.25,"86,500","84,000","87,200","83,500","161,554"
2020.08.24,"84,100","84,100","85,200","82,800","129,134"
2020.08.21,"83,100","84,200","85,300","82,900","179,738"
2020.08.20,"84,400","86,900","87,900","82,800","230,565"
2020.08.19,"88,400","82,700","89,700","82,100","346,343"
2020.08.18,"82,900","83,800","84,300","81,800","279,197"
2020.08.14,"82,400","83,700","84,900","82,300","208,253"
2020.08.13,"85,300","88,500","89,000","83,500","334,010"
2020.08.12,"88,700","86,700","88,700","84,300","224,769"
2020.08.11,"88,000","79,700","93,300","79,700","738,135"
2020.08.10,"79,600","78,200","80,000","77,500","224,475"
2020.08.07,"79,700","79,200","79,900","78,100","217,759"
2020.08.06,"79,500","76,600","80,200","76,600","523,107"
2020.08.05,"74,200","74,900","75,600","73,700","208,386"
2020.08.04,"75,200","75,000","76,300","74,600","250,665"
2020.08.03,"74,600","75,600","75,800","74,600","356,863"
2020.07.31,"76,700","77,700","78,800","76,100","262,869"
2020.07.30,"77,700","77,500","79,700","77,100","240,073"
2020.07.29,"77,800","74,500","78,100","74,400","197,288"
2020.07.28,"75,600","74,200","76,700","74,100","316,122"
2020.07.27,"74,600","74,200","76,000","74,000","171,888"
2020.07.24,"74,500","75,800","76,700","73,900","162,524"
2020.07.23,"76,000","76,500","78,000","75,400","186,029"
2020.07.22,"77,500","78,300","79,600","77,000","185,962"
2020.07.21,"78,300","81,400","82,700","78,300","287,261"
2020.07.20,"80,100","77,800","80,600","76,000","409,778"
2020.07.17,"76,400","74,800","76,900","73,700","268,462"
2020.07.16,"74,000","72,700","75,200","72,100","261,003"
2020.07.15,"70,900","72,000","72,500","70,300","157,919"
2020.07.14,"71,400","70,900","71,600","70,000","105,025"
2020.07.13,"71,100","70,000","71,400","70,000","124,581"
2020.07.10,"70,000","71,400","71,600","70,000","144,472"
2020.07.09,"71,300","72,500","72,900","71,300","195,475"
2020.07.08,"72,200","73,100","74,100","72,000","171,011"
2020.07.07,"73,300","75,000","76,100","73,300","254,488"
2020.07.06,"75,700","77,900","77,900","75,000","200,830"
2020.07.03,"76,500","74,100","76,500","74,000","212,854"
