날짜,종가,시가,고가,저가,거래량
2020.09.11,"108,500","107,000","110,000","107,000","33,034"
2020.09.10,"109,000","109,500","110,000","107,000","98,234"
2020.09.09,"108,000","111,000","111,500","107,500","117,050"
2020.09.08,"113,000","113,500","116,500","112,000","117,682"
2020.09.07,"114,000","114,000","116,500","112,000","74,329"
2020.09.04,"114,000","111,000","115,000","110,500","114,413"
2020.09.03,"116,000","119,000","119,500","115,000","92,715"
2020.09.02,"117,500","114,500","118,500","113,500","179,184"
2020.09.01,"112,000","110,000","113,000","108,500","127,170"
2020.08.31,"109,000","110,000","111,000","106,500","83,943"
2020.08.28,"108,000","112,000","112,500","107,000","99,012"
2020.08.27,"108,500","110,500","112,000","108,000","74,892"
2020.08.26,"111,500","113,000","113,000","108,500","101,464"
2020.08.25,"111,500","107,500","112,000","106,500","129,447"
2020.08.24,"105,000","105,000","107,500","102,000","88,634"
2020.08.21,"105,500","105,000","107,500","102,500","94,028"
2020.08.20,"103,500","107,000","109,500","102,000","135,876"
2020.08.19,"107,000","107,500","109,500","105,000","127,919"
2020.08.18,"107,500","110,500","112,000","105,500","129,154"
2020.08.14,"110,500","113,000","116,000","110,000","103,575"
2020.08.13,"113,000","115,500","116,500","111,000","156,915"
2020.08.12,"113,000","115,000","119,000","111,000","212,072"
2020.08.11,"117,000","119,500","124,500","114,500","296,476"
2020.08.10,"118,000","106,000","120,000","106,000","451,774"
2020.08.07,"107,000","106,000","107,500","103,000","123,958"
2020.08.06,"105,000","106,000","108,000","102,500","193,700"
2020.08.05,"105,000","110,500","113,000","102,000","513,471"
2020.08.04,"100,000","96,500","101,000","96,500","166,732"
2020.08.03,"96,200","97,000","97,600","95,900","63,493"
2020.07.31,"96,000","97,000","97,700","96,000","45,509"
2020.07.30,"97,200","98,400","98,400","96,700","54,047"
2020.07.29,"96,900","98,400","98,800","96,800","51,993"
2020.07.28,"97,800","97,500","98,900","97,200","97,102"
2020.07.27,"96,600","95,100","100,500","95,100","112,538"
2020.07.24,"95,700","96,000","97,400","94,300","86,296"
2020.07.23,"97,000","97,900","98,700","94,700","130,059"
2020.07.22,"97,800","100,500","102,500","96,900","117,106"
2020.07.21,"100,500","100,500","102,500","98,500","148,634"
2020.07.20,"98,700","103,000","103,500","98,000","159,468"
2020.07.17,"103,000","94,800","104,500","94,500","224,420"
2020.07.16,"94,200","95,500","97,000","93,900","92,926"
2020.07.15,"94,100","95,600","97,700","93,200","151,640"
2020.07.14,"92,900","90,900","93,000","90,300","91,320"
2020.07.13,"92,800","86,500","92,800","85,500","202,359"
2020.07.10,"85,200","86,000","86,000","84,200","81,581"
2020.07.09,"86,000","84,600","87,300","84,400","100,508"
2020.07.08,"84,200","87,600","88,000","84,100","166,962"
2020.07.07,"88,200","89,700","90,600","87,300","87,354"
2020.07.06,"88,700","85,500","88,800","85,100","92,884"
2020.07.03,"85,500","85,900","86,500","85,100","44,175"
