날짜,종가,시가,고가,저가,거래량
2020.09.11,"86,400","87,500","87,500","86,200","142,259"
2020.09.10,"88,100","87,700","88,100","86,000","334,653"
2020.09.09,"86,700","87,300","88,400","86,700","392,876"
2020.09.08,"89,300","88,900","90,200","87,300","428,182"
2020.09.07,"88,600","90,300","90,300","88,500","338,924"
2020.09.04,"89,900","85,000","90,400","85,000","542,635"
2020.09.03,"89,700","88,900","90,100","88,500","425,585"
2020.09.02,"88,700","89,000","89,700","87,500","439,567"
2020.09.01,"88,900","89,700","90,400","88,200","406,340"
2020.08.31,"89,000","91,600","92,000","88,500","594,295"
2020.08.28,"90,700","90,300","92,000","89,500","480,075"
2020.08.27,"90,200","92,100","94,000","90,000","858,708"
2020.08.26,"91,700","90,700","93,000","88,900","782,081"
2020.08.25,"90,700","91,200","91,500","89,500","435,676"
2020.08.24,"90,300","87,700","91,400","86,900","524,848"
2020.08.21,"88,500","88,800","90,000","86,500","660,034"
2020.08.20,"87,400","89,900","92,900","86,500","719,228"
2020.08.19,"90,500","90,000","91,400","88,600","557,205"
2020.08.18,"88,800","91,200","94,300","87,600","1,024,762"
2020.08.14,"93,100","96,800","96,900","92,400","1,012,271"
2020.08.13,"98,000","97,600","102,500","95,300","1,432,117"
2020.08.12,"95,200","95,000","96,800","93,700","766,961"
2020.08.11,"95,600","95,100","98,700","93,900","1,017,661"
2020.08.10,"96,800","98,300","99,400","92,200","1,674,106"
2020.08.07,"96,000","88,800","96,400","88,500","2,719,370"
2020.08.06,"87,700","87,000","90,500","85,800","2,131,634"
2020.08.05,"85,700","78,000","87,500","77,900","4,159,184"
2020.08.04,"77,500","79,200","79,600","76,500","619,952"
2020.08.03,"78,400","77,200","78,800","76,300","1,009,793"
2020.07.31,"75,600","73,000","76,400","73,000","1,104,541"
2020.07.30,"72,600","72,100","73,200","71,700","221,954"
2020.07.29,"72,000","72,500","72,700","71,600","291,480"
2020.07.28,"72,900","72,300","73,900","72,000","485,592"
2020.07.27,"71,500","70,400","73,500","70,400","417,534"
2020.07.24,"71,300","72,500","72,900","70,700","690,966"
2020.07.23,"73,800","74,500","74,900","73,000","477,455"
2020.07.22,"73,300","73,900","73,900","71,500","900,121"
2020.07.21,"74,500","76,900","77,200","73,800","779,441"
2020.07.20,"75,600","76,600","77,000","74,700","370,314"
2020.07.17,"76,400","74,700","76,400","73,500","555,802"
2020.07.16,"75,800","77,800","78,000","75,000","589,168"
2020.07.15,"77,400","78,900","78,900","76,600","582,350"
2020.07.14,"78,400","78,700","79,000","77,600","562,603"
2020.07.13,"80,100","81,000","81,100","79,300","424,072"
2020.07.10,"80,500","82,000","82,300","79,500","893,260"
2020.07.09,"82,900","76,700","83,500","76,300","1,224,524"
2020.07.08,"76,700","76,300","77,500","76,300","343,792"
2020.07.07,"76,500","79,200","79,400","76,500","682,559"
2020.07.06,"78,000","77,200","78,400","76,400","496,437"
2020.07.03,"77,400","78,300","79,000","77,200","542,891"
