날짜,종가,시가,고가,저가,거래량
2020.09.11,"28,000","27,650","28,100","27,600","462,542"
2020.09.10,"27,850","28,000","28,150","27,850","1,395,051"
2020.09.09,"27,700","27,700","27,850","27,400","1,407,002"
2020.09.08,"28,050","28,200","28,600","28,000","1,292,266"
2020.09.07,"28,050","28,000","28,250","27,650","1,525,584"
2020.09.04,"27,950","27,500","27,950","27,500","1,207,726"
2020.09.03,"28,050","28,650","28,750","28,000","1,854,711"
2020.09.02,"28,500","28,750","28,800","28,200","1,030,671"
2020.09.01,"28,500","28,200","28,750","28,200","1,247,607"
2020.08.31,"28,200","29,250","29,400","28,200","1,820,975"
2020.08.28,"28,950","29,100","29,700","28,900","1,455,320"
2020.08.27,"28,700","28,950","28,950","28,450","1,167,842"
2020.08.26,"29,150","29,300","29,500","28,600","948,210"
2020.08.25,"29,350","28,900","29,450","28,700","1,188,982"
2020.08.24,"28,450","28,150","28,800","28,000","915,900"
2020.08.21,"28,350","27,850","28,850","27,850","1,282,208"
2020.08.20,"27,800","28,800","28,900","27,650","2,282,005"
2020.08.19,"29,050","29,200","29,700","29,050","1,318,610"
2020.08.18,"29,050","30,500","30,550","29,050","2,370,890"
2020.08.14,"30,800","31,600","31,650","30,800","1,662,551"
2020.08.13,"31,950","31,800","31,950","31,200","2,544,845"
2020.08.12,"31,900","31,700","32,100","31,100","2,713,547"
2020.08.11,"31,250","30,750","31,350","30,300","3,158,361"
2020.08.10,"30,250","29,400","30,400","29,350","2,067,079"
2020.08.07,"29,300","29,550","29,550","28,900","1,505,492"
2020.08.06,"29,350","28,900","30,400","28,850","2,849,679"
2020.08.05,"28,800","29,100","29,300","28,700","1,472,458"
2020.08.04,"29,200","29,450","29,900","29,100","1,125,598"
2020.08.03,"29,550","29,500","29,700","29,050","1,282,160"
2020.07.31,"29,500","30,050","30,300","29,500","1,194,365"
2020.07.30,"30,100","30,050","30,450","29,800","1,990,458"
2020.07.29,"29,700","28,450","29,700","28,350","1,880,761"
2020.07.28,"28,700","28,750","28,950","28,250","1,765,082"
2020.07.27,"28,750","28,850","29,450","28,600","1,014,520"
2020.07.24,"28,850","29,000","29,400","28,600","2,174,768"
2020.07.23,"28,650","28,650","28,800","28,200","1,236,184"
2020.07.22,"28,900","30,300","30,600","28,800","2,106,286"
2020.07.21,"29,900","29,800","30,100","29,050","2,598,705"
2020.07.20,"29,550","28,100","29,550","27,850","2,844,468"
2020.07.17,"28,000","27,900","28,200","27,750","795,349"
2020.07.16,"28,050","28,050","28,300","27,750","1,376,852"
2020.07.15,"27,800","27,850","28,300","27,500","1,937,812"
2020.07.14,"27,400","27,200","27,400","26,800","1,208,861"
2020.07.13,"27,200","26,250","27,200","25,950","1,447,994"
2020.07.10,"25,750","26,500","26,500","25,650","1,574,122"
2020.07.09,"26,500","26,800","26,950","26,500","1,438,669"
2020.07.08,"26,800","26,900","27,200","26,800","1,070,425"
2020.07.07,"27,100","27,750","28,100","27,050","1,868,278"
2020.07.06,"27,600","27,300","27,600","26,700","1,453,333"
2020.07.03,"27,250","27,450","27,600","27,150","793,889"
